task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O1_s62_LR_SRC_AB,62,O1,LR_SRC_AB,RIM_ONE_r3,old,40,40,0.9648764423179574,0.34648378809833047,0.4890626142705258,0.41777320118442807
O1_s62_LR_SRC_AB,62,O1,LR_SRC_AB,Drishti_GS,current,25,25,0.9856602205480521,0.6872976908992446,0.7425025322113049,0.7149001115552747
O2_s62_F_FULL,62,O2,F_FULL,Drishti_GS,old,25,25,0.9619251170863318,0.4076018054289649,0.3891557463060943,0.3983787758675296
O2_s62_F_FULL,62,O2,F_FULL,RIM_ONE_r3,current,40,40,0.9879806684177084,0.7335142104878016,0.6537936273708389,0.6936539189293203
O2_s62_F_CONV,62,O2,F_CONV,Drishti_GS,old,25,25,0.9629896874757535,0.38192387410502915,0.4321840830888325,0.4070539785969309
O2_s62_F_CONV,62,O2,F_CONV,RIM_ONE_r3,current,40,40,0.9901827532263061,0.7442245862098987,0.6634086830610206,0.7038166346354597
O2_s62_LR_FREE,62,O2,LR_FREE,Drishti_GS,old,25,25,0.9691420973326066,0.46613263389059784,0.5213589706172393,0.4937458022539185
O2_s62_LR_FREE,62,O2,LR_FREE,RIM_ONE_r3,current,40,40,0.9876856018703755,0.730756904383367,0.6832634777142316,0.7070101910487993
O2_s62_LR_RAND,62,O2,LR_RAND,Drishti_GS,old,25,25,0.9685170616993193,0.4461799634252679,0.5297834719158618,0.487981717670565
O2_s62_LR_RAND,62,O2,LR_RAND,RIM_ONE_r3,current,40,40,0.9868790992491553,0.7297946982594945,0.6875817011634713,0.7086881997114829
O2_s62_LR_SRC_A,62,O2,LR_SRC_A,Drishti_GS,old,25,25,0.9675259476335785,0.4280429373553089,0.37923251740913066,0.40363772738221976
O2_s62_LR_SRC_A,62,O2,LR_SRC_A,RIM_ONE_r3,current,40,40,0.9876848477145301,0.7255805282880814,0.672818788200396,0.6991996582442387
O2_s62_LR_SRC_AB,62,O2,LR_SRC_AB,Drishti_GS,old,25,25,0.9645904927071891,0.4111625767230826,0.504330885978155,0.45774673135061883
O2_s62_LR_SRC_AB,62,O2,LR_SRC_AB,RIM_ONE_r3,current,40,40,0.9860237676341,0.7018644292240548,0.6641767695534818,0.6830205993887682
O1_s63_F_FULL,63,O1,F_FULL,RIM_ONE_r3,old,40,40,0.97129426849207,0.5587858051372026,0.5332771972643273,0.5460315012007649
O1_s63_F_FULL,63,O1,F_FULL,Drishti_GS,current,25,25,0.981033205288872,0.7047283624078582,0.7620849992752633,0.7334066808415608
O1_s63_F_CONV,63,O1,F_CONV,RIM_ONE_r3,old,40,40,0.9685158320619973,0.4942741473566602,0.5314422318474956,0.5128581896020779
O1_s63_F_CONV,63,O1,F_CONV,Drishti_GS,current,25,25,0.98676226116547,0.7023754786773773,0.7647312334963519,0.7335533560868646
O1_s63_LR_FREE,63,O1,LR_FREE,RIM_ONE_r3,old,40,40,0.9733044224505836,0.3768619267850914,0.4943302853951034,0.43559610609009736
O1_s63_LR_FREE,63,O1,LR_FREE,Drishti_GS,current,25,25,0.9879259669248809,0.6926085705198416,0.7403160259391277,0.7164622982294848
O1_s63_LR_RAND,63,O1,LR_RAND,RIM_ONE_r3,old,40,40,0.9683497618014354,0.3136522506712465,0.4816826244015118,0.3976674375363791
O1_s63_LR_RAND,63,O1,LR_RAND,Drishti_GS,current,25,25,0.9881631874211455,0.6832899423022024,0.7260892976519626,0.7046896199770825
O1_s63_LR_SRC_A,63,O1,LR_SRC_A,RIM_ONE_r3,old,40,40,0.9662842681798459,0.29666534310113335,0.4850403624907059,0.3908528527959197
O1_s63_LR_SRC_A,63,O1,LR_SRC_A,Drishti_GS,current,25,25,0.9856290101439399,0.6810411292683887,0.7366647041061168,0.7088529166872527
O1_s63_LR_SRC_AB,63,O1,LR_SRC_AB,RIM_ONE_r3,old,40,40,0.9723238611108715,0.47068596969002446,0.5740054028707708,0.5223456862803976
O1_s63_LR_SRC_AB,63,O1,LR_SRC_AB,Drishti_GS,current,25,25,0.9886930628078369,0.6939858652599205,0.6725407766688356,0.6832633209643779
O2_s63_F_FULL,63,O2,F_FULL,Drishti_GS,old,25,25,0.9647770157405263,0.42975202094847087,0.42643782906001837,0.4280949250042447
