arm,order,seed,domain,metric,source_score,old_score,absolute_forget
LR_SRC_A,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.46809297583753634,0.11064104088084864
LR_SRC_A,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.4506811712817001,0.24246637635545348
LR_SRC_AB,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.5149912562554757,0.2180784420978077
LR_SRC_AB,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.5480584570659672,0.13634126907552246
LR_SRC_AB,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.3254912150976038,0.32489169857432276
LR_SRC_AB,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.5138235520196968,0.23459504914275564
LR_SRC_AB,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.34648378809833047,0.3754113314893529
LR_SRC_AB,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.4890626142705258,0.17850944133827107
LR_SRC_AB,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.4111625767230826,0.2403680694358194
LR_SRC_AB,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.504330885978155,0.2145852881648257
LR_SRC_AB,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.47068596969002446,0.252477306534678
LR_SRC_AB,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.5740054028707708,0.07258915104158348
LR_SRC_AB,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.4069755683989328,0.1717584483194522
LR_SRC_AB,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.4177363698175131,0.2754111778196405
STATIC_SOURCE,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.7330696983532834,0.0
STATIC_SOURCE,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.6843997261414897,0.0
STATIC_SOURCE,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.6503829136719266,0.0
STATIC_SOURCE,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.7484186011624524,0.0
STATIC_SOURCE,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.7218951195876834,0.0
STATIC_SOURCE,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.6675720556087968,0.0
STATIC_SOURCE,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.651530646158902,0.0
STATIC_SOURCE,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.7189161741429807,0.0
STATIC_SOURCE,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.7231632762247024,0.0
STATIC_SOURCE,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.6465945539123543,0.0
STATIC_SOURCE,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.578734016718385,0.0
STATIC_SOURCE,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.6931475476371536,0.0
