arm,order,seed,Final,Incoming,Old,Forget
F_FULL,O1,61,0.6405381542234545,0.7256201525373911,0.555456155909518,0.15327855633786858
F_FULL,O1,62,0.6088181501730069,0.7229122336781181,0.4947240666678957,0.20000952093034452
F_FULL,O1,63,0.6397190910211629,0.7334066808415608,0.5460315012007649,0.13884741386776334
F_FULL,O2,61,0.5972288386751761,0.7238691992898778,0.47058847806047444,0.2288122793567151
F_FULL,O2,62,0.546016347398425,0.6936539189293203,0.3983787758675296,0.28684463428341195
F_FULL,O2,63,0.5685473119672892,0.7089996989303339,0.4280949250042447,0.2078458571735246
F_CONV,O1,61,0.6537334058594697,0.7244018867904355,0.583064924928504,0.12566978731888256
F_CONV,O1,62,0.6309125647752412,0.730879167913536,0.5309459616369464,0.16378762596129381
F_CONV,O1,63,0.6232057728444712,0.7335533560868646,0.5128581896020779,0.17202072546645042
F_CONV,O2,61,0.5946630818839522,0.7196850053368216,0.4696411584310829,0.22975959898610665
F_CONV,O2,62,0.5554353066161953,0.7038166346354597,0.4070539785969309,0.2781694315540107
F_CONV,O2,63,0.5833223230433212,0.7057238997789039,0.46092074630773844,0.17502003587003084
LR_FREE,O1,61,0.655587088270138,0.7250466160637142,0.5861275604765617,0.12260715177082493
LR_FREE,O1,62,0.5970166745566717,0.7320619603324446,0.4619713887808989,0.23276219881734134
LR_FREE,O1,63,0.576029202159791,0.7164622982294848,0.43559610609009736,0.24928280897843091
LR_FREE,O2,61,0.5785875708371938,0.6955064365800605,0.46166870509432706,0.23773205232286249
LR_FREE,O2,62,0.6003779966513589,0.7070101910487993,0.4937458022539185,0.19147760789702306
LR_FREE,O2,63,0.5706321146222934,0.6743052202267164,0.46695900901787035,0.16898177315989893
LR_RAND,O1,61,0.6370741138536895,0.7127762530801958,0.5613719746271831,0.14736273762020347
LR_RAND,O1,62,0.6030587867494777,0.7132238210694333,0.492893752429522,0.20183983516871823
LR_RAND,O1,63,0.5511785287567308,0.7046896199770825,0.3976674375363791,0.28721147753214915
LR_RAND,O2,61,0.5956631420558928,0.7142927378708237,0.47703354624096184,0.2223672111762277
LR_RAND,O2,62,0.5983349586910239,0.7086881997114829,0.487981717670565,0.1972416924803766
LR_RAND,O2,63,0.5398666416302049,0.6551296213493443,0.42460366191106547,0.21133712026670382
LR_SRC_A,O1,61,0.6653197956706444,0.7382885101270369,0.5923510812142518,0.11638363103313476
LR_SRC_A,O1,62,0.5933643555137793,0.7474591795675862,0.4392695314599724,0.25546405613826784
LR_SRC_A,O1,63,0.5498528847415862,0.7088529166872527,0.3908528527959197,0.2940260622726086
LR_SRC_A,O2,61,0.5917003111350108,0.7139658173056165,0.469434804964405,0.22996595245278456
LR_SRC_A,O2,62,0.5514186928132292,0.6991996582442387,0.40363772738221976,0.2815856827687218
LR_SRC_A,O2,63,0.5522245856541104,0.6450620977486027,0.45938707355961816,0.17655370861815112
LR_SRC_AB,O1,61,0.6178238876222881,0.7041229185838547,0.5315248566607215,0.17720985558666513
LR_SRC_AB,O1,62,0.5663366563698513,0.7149001115552747,0.41777320118442807,0.27696038641381215
LR_SRC_AB,O1,63,0.6028045036223877,0.6832633209643779,0.5223456862803976,0.1625332287881307
LR_SRC_AB,O2,61,0.5404079866569086,0.6611585897551668,0.41965738355865034,0.2797433738585392
LR_SRC_AB,O2,62,0.5703836653696935,0.6830205993887682,0.45774673135061883,0.22747667880032274
LR_SRC_AB,O2,63,0.5376173368995519,0.6628787046908808,0.41235596910822303,0.22358481306954625
STATIC_SOURCE,O1,61,0.5585907271344311,0.4084467420214757,0.7087347122473866,0.0
STATIC_SOURCE,O1,62,0.5888964638150993,0.4830593400319585,0.6947335875982402,0.0
STATIC_SOURCE,O1,63,0.5547745327866134,0.42467015050469853,0.6848789150685283,0.0
STATIC_SOURCE,O2,61,0.5744571668086368,0.449513576200084,0.6994007574171895,0.0
STATIC_SOURCE,O2,62,0.5360880419090279,0.38695267366711417,0.6852234101509416,0.0
STATIC_SOURCE,O2,63,0.4969097403933549,0.35787869860894056,0.6359407821777693,0.0
