arm,baseline,order,metric,lower_95,upper_95,crosses_zero,analysis_seed,replicates
DPR_FINITE_SIGN_U,F_CONV,both,Final,-0.006504569540126086,0.006001489108210085,True,2026091302,2000
DPR_FINITE_SIGN_U,F_CONV,both,Incoming,-0.0039724524226955795,0.008222593859359941,True,2026091302,2000
DPR_FINITE_SIGN_U,F_CONV,both,Old,-0.012278232991929884,0.007412894794676316,True,2026091302,2000
DPR_FINITE_SIGN_U,F_CONV,both,Forget,-0.00741289479467632,0.012278232991929877,True,2026091302,2000
DPR_FINITE_SIGN_U,F_CONV,O1,Final,-0.009707911883930042,0.003453168640054312,True,2026091302,2000
DPR_FINITE_SIGN_U,F_CONV,O1,Incoming,-0.010433810155869739,0.0026620939818863495,True,2026091302,2000
DPR_FINITE_SIGN_U,F_CONV,O1,Old,-0.01386770306382883,0.009062880892023676,True,2026091302,2000
DPR_FINITE_SIGN_U,F_CONV,O1,Forget,-0.009062880892023681,0.013867703063828828,True,2026091302,2000
DPR_FINITE_SIGN_U,F_CONV,O2,Final,-0.006145497600232964,0.012062416963580227,True,2026091302,2000
DPR_FINITE_SIGN_U,F_CONV,O2,Incoming,-0.002004563199996679,0.018972376212982985,True,2026091302,2000
DPR_FINITE_SIGN_U,F_CONV,O2,Old,-0.01764291546337957,0.012816931531767228,True,2026091302,2000
DPR_FINITE_SIGN_U,F_CONV,O2,Forget,-0.012816931531767231,0.01764291546337954,True,2026091302,2000
