arm,baseline,order,seed,domain,role,n,mean,q00,q05,q25,q50,q75,q95,q100,harm_below_minus005,harm_below_minus001
DPR_FINITE_SIGN_U,F_CONV,O1,71,RIM_ONE_r3,old,40,-0.00025220104621061776,-0.15607464970574536,-0.06860450374223767,-0.04303124511296491,-0.00329980854497941,0.035901935290485104,0.10222158068414743,0.1671364126674273,9,18
DPR_FINITE_SIGN_U,F_CONV,O1,71,Drishti_GS,current,25,0.007263641630607407,-0.08274734972563591,-0.04479817454390027,-0.017737571528363638,0.0021741677875619647,0.044656507036699766,0.06318147404134547,0.07655876229013459,1,8
DPR_FINITE_SIGN_U,F_CONV,O1,72,RIM_ONE_r3,old,40,-0.001084657275071997,-0.033217004775105585,-0.02799004658817826,-0.01284994792663291,-0.0029225282390482055,0.006375918300170293,0.03351792518430108,0.06825780032366563,0,15
DPR_FINITE_SIGN_U,F_CONV,O1,72,Drishti_GS,current,25,-0.007600508638619146,-0.06883045456338388,-0.05293358394711296,-0.01589652220607951,-0.005887034999807028,0.004651365209826119,0.02531340191602134,0.0285155921149316,2,10
DPR_FINITE_SIGN_U,F_CONV,O1,73,RIM_ONE_r3,old,40,-0.005535114297894942,-0.24533919008040606,-0.17882822487384653,-0.036121100477380985,0.011833022921883873,0.026370605810578332,0.07505736155653958,0.16328053192578174,7,13
DPR_FINITE_SIGN_U,F_CONV,O1,73,Drishti_GS,current,25,-0.011563503505529663,-0.055773333061523656,-0.05113929676531787,-0.02810823837394827,-0.005650296794762255,0.0018129316635355774,0.018746015752289468,0.02016122326241243,2,9
DPR_FINITE_SIGN_U,F_CONV,O2,71,RIM_ONE_r3,current,40,0.005736268001330094,-0.09688758856497792,-0.08037299297534523,-0.010418399972845771,0.0013338770139946776,0.018617492421193593,0.07424225819043481,0.24839245568420903,3,10
DPR_FINITE_SIGN_U,F_CONV,O2,71,Drishti_GS,old,25,0.032565855274973625,-0.05751160502459812,-0.037279363652742,-0.007226593004744708,0.036401114806718704,0.056820949812211585,0.11964432126050138,0.15016333809806387,1,6
DPR_FINITE_SIGN_U,F_CONV,O2,72,RIM_ONE_r3,current,40,0.013955501987748342,-0.13010599994443262,-0.07644642529341328,-0.002676742484346184,0.015846545487760155,0.03223983699704194,0.07455604933210756,0.27200025021495494,4,7
DPR_FINITE_SIGN_U,F_CONV,O2,72,Drishti_GS,old,25,-0.0153307096262234,-0.19555751354370177,-0.12622322564941063,-0.04369399120042572,-0.018054745124322147,0.014963979309936815,0.16475351043967426,0.20155746914466782,6,16
DPR_FINITE_SIGN_U,F_CONV,O2,73,RIM_ONE_r3,current,40,0.005152724885360233,-0.089406958246399,-0.06052179877009454,-0.018489053633981373,0.0022522696113068674,0.0198382711963756,0.07665889688065058,0.1503313702507858,4,13
DPR_FINITE_SIGN_U,F_CONV,O2,73,Drishti_GS,old,25,-0.025510337184265385,-0.24387025679506824,-0.17253791502965213,-0.07548493499000475,-0.0077860224025527724,0.02201440991894843,0.08757640772827496,0.10896847662684733,7,12
