seed,stage_index,domain,partition,method,registered_count,counts,mass,source_null_mass,target_null_mass,full_null_aware_support_error,AA_conditional_error,support_constant_term,minimum_raw_output_norm,all_original_rows_used,finite
0,1,RIM_ONE_r3,fit,T0,102400,"{'AA': 102400, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.030540109571438476,0.030540109571438476,0.0,0.9999999999999998,102400,True
0,1,RIM_ONE_r3,fit,T1,102400,"{'AA': 102400, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.02422566942998001,0.02422566942998001,0.0,0.9999999999999994,102400,True
0,1,RIM_ONE_r3,fit,T2,102400,"{'AA': 102400, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.015573487665910957,0.015573487665910957,0.0,0.8526360434987901,102400,True
0,1,RIM_ONE_r3,holdout,T0,26624,"{'AA': 26624, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.02998367543701185,0.02998367543701185,0.0,0.9999999999999998,26624,True
0,1,RIM_ONE_r3,holdout,T1,26624,"{'AA': 26624, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.023995339143220572,0.023995339143220572,0.0,0.9999999999999994,26624,True
0,1,RIM_ONE_r3,holdout,T2,26624,"{'AA': 26624, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.015318585602923158,0.015318585602923158,0.0,0.8692079433126279,26624,True
0,2,Drishti_GS,fit,T0,65536,"{'AA': 65536, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.011224964046137204,0.011224964046137204,0.0,0.9999999999999998,65536,True
0,2,Drishti_GS,fit,T1,65536,"{'AA': 65536, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.00947963986325627,0.00947963986325627,0.0,0.999999999999999,65536,True
0,2,Drishti_GS,fit,T2,65536,"{'AA': 65536, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.006275737810360657,0.006275737810360657,0.0,0.9386114036507414,65536,True
0,2,Drishti_GS,holdout,T0,18432,"{'AA': 18432, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.011654665800646946,0.011654665800646946,0.0,0.9999999999999998,18432,True
0,2,Drishti_GS,holdout,T1,18432,"{'AA': 18432, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.009759667106370976,0.009759667106370976,0.0,0.9999999999999991,18432,True
0,2,Drishti_GS,holdout,T2,18432,"{'AA': 18432, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.006373999769341959,0.006373999769341959,0.0,0.9501304403793235,18432,True
1,1,RIM_ONE_r3,fit,T0,102400,"{'AA': 102400, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,3.961999998913721e-17,3.961999998913721e-17,0.0,0.9999999999999998,102400,True
1,1,RIM_ONE_r3,fit,T1,102400,"{'AA': 102400, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,3.6705122448410897e-16,3.6705122448410897e-16,0.0,0.9999999999999989,102400,True
1,1,RIM_ONE_r3,fit,T2,102400,"{'AA': 102400, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,7.772947628576595e-09,7.772947628576595e-09,0.0,0.9999667735553228,102400,True
1,1,RIM_ONE_r3,holdout,T0,26624,"{'AA': 26624, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,3.911884838494807e-17,3.911884838494807e-17,0.0,0.9999999999999998,26624,True
1,1,RIM_ONE_r3,holdout,T1,26624,"{'AA': 26624, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,3.597591308724706e-16,3.597591308724706e-16,0.0,0.9999999999999989,26624,True
1,1,RIM_ONE_r3,holdout,T2,26624,"{'AA': 26624, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,7.833799162820215e-09,7.833799162820215e-09,0.0,0.999967011065558,26624,True
1,2,Drishti_GS,fit,T0,65536,"{'AA': 65536, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.004879293160887524,0.004879293160887524,0.0,0.9999999999999998,65536,True
1,2,Drishti_GS,fit,T1,65536,"{'AA': 65536, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.0039357355306474315,0.0039357355306474315,0.0,0.9999999999999983,65536,True
1,2,Drishti_GS,fit,T2,65536,"{'AA': 65536, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.002821508069610659,0.002821508069610659,0.0,0.9101844529745582,65536,True
