seed,stage_index,domain,method,W_frobenius_norm,b_norm,singular_values,spectral_norm,condition_number,finite
0,1,RIM_ONE_r3,T0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,True
0,1,RIM_ONE_r3,T1,0.4686967847985593,0.0,"[1.0000000000000009, 1.0000000000000007, 1.0000000000000007, 1.0000000000000004, 1.0000000000000004, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0, 1.0, 0.9999999999999999, 0.9999999999999997, 0.9999999999999996]",1.0000000000000009,1.0000000000000013,True
0,1,RIM_ONE_r3,T2,1.1349724307844904,0.2678629795372205,"[1.422054370752771, 1.3179727850775576, 1.1658586037603906, 1.1377622561679277, 1.0680312774293936, 1.034018011838819, 1.015133810017956, 0.9372790683525157, 0.8915248730809284, 0.8666989570141854, 0.8127937607754112, 0.803663751569683, 0.7349448866839657, 0.6980263109684123, 0.6415348022230238, 0.582706378696205]",1.422054370752771,2.4404304170045164,True
0,2,Drishti_GS,T0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,True
0,2,Drishti_GS,T1,0.28775666717312437,0.0,"[1.0000000000000004, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0, 1.0, 1.0, 0.9999999999999998, 0.9999999999999998, 0.9999999999999997, 0.9999999999999997, 0.9999999999999996, 0.9999999999999994]",1.0000000000000004,1.000000000000001,True
0,2,Drishti_GS,T2,0.6993549782292452,0.14043723945343226,"[1.315411758989731, 1.147024524833673, 1.0959552865590592, 1.0545527316275938, 1.023840717458538, 0.9921966315617742, 0.9741899405824452, 0.947052771695145, 0.9400898400522011, 0.9215741584485653, 0.917061964050545, 0.8856343909720894, 0.8496400782089774, 0.8314077752422538, 0.7862026914117272, 0.7384503810053619]",1.315411758989731,1.781313670931913,True
1,1,RIM_ONE_r3,T0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,True
1,1,RIM_ONE_r3,T1,7.36459842312265e-15,0.0,"[1.0000000000000002, 1.0000000000000002, 1.0, 1.0, 0.9999999999999999, 0.9999999999999999, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999997, 0.9999999999999997, 0.9999999999999997, 0.9999999999999997, 0.9999999999999996, 0.9999999999999996, 0.9999999999999996]",1.0000000000000002,1.0000000000000007,True
1,1,RIM_ONE_r3,T2,0.00019636410170744063,3.760139044962827e-05,"[1.0000986999904016, 1.000038815702696, 1.0000364705699243, 1.000035402285788, 1.0000351508855752, 1.000034870302102, 1.0000345931268886, 1.00003458249394, 1.000034282076969, 1.0000335213356106, 1.0000333470135252, 1.0000328648160426, 1.0000319928742534, 1.000030783310992, 1.0000183331521872, 0.9999526192217028]",1.0000986999904016,1.0001460876904473,True
1,2,Drishti_GS,T0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,True
1,2,Drishti_GS,T1,0.20460382045210374,0.0,"[1.0000000000000004, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999998, 0.9999999999999996, 0.9999999999999994, 0.9999999999999989]",1.0000000000000004,1.0000000000000016,True
