seed,source_stage,target_stage,source_domain,kind,method,foreground_macro_angular_error,class_id,mean_angular_error,matched_angles,matching,inactive_oracle_slots,units
0,0,1,REFUGE,immediate,T0,0.18796559521310396,0,0.14341845537097486,"[0.17760197356216373, 0.10923493717978602]","[[0, 0], [1, 1]]",0,radians
0,0,1,REFUGE,immediate,T0,0.18796559521310396,1,0.15907804312750307,"[0.147371154292745, 0.1707849319622611]","[[0, 0], [1, 1]]",0,radians
0,0,1,REFUGE,immediate,T0,0.18796559521310396,2,0.21685314729870486,"[0.3440699017889772, 0.08963639280843252]","[[0, 0], [1, 1]]",0,radians
0,0,1,REFUGE,immediate,T1,0.16261309360793197,0,0.08954188514883782,"[0.10512568515199312, 0.07395808514568251]","[[0, 0], [1, 1]]",0,radians
0,0,1,REFUGE,immediate,T1,0.16261309360793197,1,0.1103476940123406,"[0.11097017297240001, 0.1097252150522812]","[[0, 0], [1, 1]]",0,radians
0,0,1,REFUGE,immediate,T1,0.16261309360793197,2,0.21487849320352337,"[0.2955640731133048, 0.13419291329374194]","[[0, 0], [1, 1]]",0,radians
0,0,1,REFUGE,immediate,T2,0.1216536262270176,0,0.06677044823297117,"[0.08484079296369597, 0.04870010350224637]","[[0, 0], [1, 1]]",0,radians
0,0,1,REFUGE,immediate,T2,0.1216536262270176,1,0.07653951198320405,"[0.06489134996013628, 0.08818767400627184]","[[0, 0], [1, 1]]",0,radians
0,0,1,REFUGE,immediate,T2,0.1216536262270176,2,0.16676774047083115,"[0.20399505846652977, 0.12954042247513256]","[[0, 0], [1, 1]]",0,radians
0,1,2,RIM_ONE_r3,immediate,T0,0.20694260760259092,0,0.059672714459745896,"[0.07804090889093528, 0.041304520028556516]","[[0, 1], [1, 0]]",0,radians
0,1,2,RIM_ONE_r3,immediate,T0,0.20694260760259092,1,0.08279651325128082,"[0.05109600148931324, 0.1144970250132484]","[[0, 1], [1, 0]]",0,radians
0,1,2,RIM_ONE_r3,immediate,T0,0.20694260760259092,2,0.331088701953901,"[0.11717331556550116, 0.5450040883423009]","[[0, 1], [1, 0]]",0,radians
0,1,2,RIM_ONE_r3,immediate,T1,0.22030497856380932,0,0.03833562920888341,"[0.052509134416223936, 0.02416212400154287]","[[0, 1], [1, 0]]",0,radians
0,1,2,RIM_ONE_r3,immediate,T1,0.22030497856380932,1,0.09217592889326111,"[0.06887394746253492, 0.1154779103239873]","[[0, 1], [1, 0]]",0,radians
0,1,2,RIM_ONE_r3,immediate,T1,0.22030497856380932,2,0.34843402823435754,"[0.13653696908153962, 0.5603310873871754]","[[0, 1], [1, 0]]",0,radians
0,1,2,RIM_ONE_r3,immediate,T2,0.23911763240429174,0,0.04047636544655765,"[0.05773379250687344, 0.023218938386241863]","[[0, 1], [1, 0]]",0,radians
0,1,2,RIM_ONE_r3,immediate,T2,0.23911763240429174,1,0.11193299843682009,"[0.07044980231979267, 0.1534161945538475]","[[0, 1], [1, 0]]",0,radians
0,1,2,RIM_ONE_r3,immediate,T2,0.23911763240429174,2,0.3663022663717634,"[0.1082524368018666, 0.6243520959416602]","[[0, 1], [1, 0]]",0,radians
1,0,1,REFUGE,immediate,T0,0.033157106160866895,0,0.01954415567581745,"[0.016823128740395963, 0.02226518261123894]","[[0, 0], [1, 1]]",0,radians
1,0,1,REFUGE,immediate,T0,0.033157106160866895,1,0.024716573134199574,"[0.011343301621298145, 0.038089844647101]","[[0, 0], [1, 1]]",0,radians
1,0,1,REFUGE,immediate,T0,0.033157106160866895,2,0.041597639187534216,"[0.04777152930623782, 0.035423749068830605]","[[0, 1], [1, 0]]",0,radians
1,0,1,REFUGE,immediate,T1,0.0331571061609006,0,0.01954415567584642,"[0.016823128740428957, 0.02226518261126388]","[[0, 0], [1, 1]]",0,radians
1,0,1,REFUGE,immediate,T1,0.0331571061609006,1,0.02471657313424747,"[0.011343301621376445, 0.038089844647118495]","[[0, 0], [1, 1]]",0,radians
