stage_index,domain,partition,units,registered_count,counts,mass,source_null_mass,target_null_mass,maximum_case_mismatch_fraction
1,RIM_ONE_r3,fit,3,307200,"{'AA': 307200, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.0
1,RIM_ONE_r3,holdout,3,79872,"{'AA': 79872, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.0
2,Drishti_GS,fit,3,196608,"{'AA': 196607, 'A_NULL': 0, 'NULL_A': 1, 'NULL_NULL': 0}","{'AA': 0.9999949137369791, 'A_NULL': 0.0, 'NULL_A': 5.086263020833333e-06, 'NULL_NULL': 0.0}",5.086263020833333e-06,0.0,0.00048828125
2,Drishti_GS,holdout,3,55296,"{'AA': 55295, 'A_NULL': 0, 'NULL_A': 1, 'NULL_NULL': 0}","{'AA': 0.9999819155092592, 'A_NULL': 0.0, 'NULL_A': 1.8084490740740736e-05, 'NULL_NULL': 0.0}",1.8084490740740736e-05,0.0,0.00048828125
