seed,stage_index,domain,partition,role,case_id,coordinate_uid_hash,null_coordinate_hash,first_null_coordinates,mismatch_fraction,null_normalized,source_minimum_positive_norm,source_full_map_exact_zero_count,source_full_map_nonfinite_count,source_registered_nonfinite_count,source_null_count,target_minimum_positive_norm,target_full_map_exact_zero_count,target_full_map_nonfinite_count,target_registered_nonfinite_count,target_null_count,registered_count,counts,mass,source_null_mass,target_null_mass
0,1,RIM_ONE_r3,fit,train_unlabeled,RIM_ONE_r3_test_G-24-L,35ff03d2e05cde9605a35c33cf815519f7c393715cdab7e90b041fd09f89cbb1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],0.0,False,0.6955447752952189,0,0,0,0,0.7805561055102987,0,0,0,0,2048,"{'AA': 2048, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0
0,1,RIM_ONE_r3,fit,train_unlabeled,RIM_ONE_r3_train_S-10-R,05ce144117b24132dd4a9d681dc2c7b5fd9b1fe978e38c3b3c27dab919654ed2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],0.0,False,0.4786973675835639,0,0,0,0,0.45705766510323004,0,0,0,0,2048,"{'AA': 2048, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0
0,1,RIM_ONE_r3,fit,train_unlabeled,RIM_ONE_r3_train_N-87-L,ab8437392b2c5ba71044c5f82ff04dac247c542bd11b4dea8b2b0248964e2a25,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],0.0,False,0.8146230098821652,0,0,0,0,0.8633310241053738,0,0,0,0,2048,"{'AA': 2048, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0
0,1,RIM_ONE_r3,fit,train_unlabeled,RIM_ONE_r3_train_N-80-R,debf37c8a18a3bfc088e17abd4de2ea8a770aeb1e35fdd9954141519a1f06a43,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],0.0,False,0.7640499528974902,0,0,0,0,0.9167055611269307,0,0,0,0,2048,"{'AA': 2048, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0
0,1,RIM_ONE_r3,fit,train_unlabeled,RIM_ONE_r3_train_N-59-L,120e4a983939cc2f3c5e78724f2fb10e70bdb1fd5d1f56e9f110987ec3839c96,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],0.0,False,0.8301522525428395,0,0,0,0,0.8782486458631431,0,0,0,0,2048,"{'AA': 2048, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0
0,1,RIM_ONE_r3,fit,train_unlabeled,RIM_ONE_r3_test_N-78-R,31157d2cd2d661055fffefa35207149dbe18ad6901ab72bc9ba82e95e4d2ca1f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],0.0,False,0.6486376713206944,0,0,0,0,0.6670167521985819,0,0,0,0,2048,"{'AA': 2048, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0
0,1,RIM_ONE_r3,fit,train_unlabeled,RIM_ONE_r3_test_N-17-L,633025af9ec8d2fd3f9435ae02952ea335cf9121874f73f48af90083182b8529,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],0.0,False,0.6098797649338314,0,0,0,0,0.720744506679375,0,0,0,0,2048,"{'AA': 2048, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0
0,1,RIM_ONE_r3,fit,train_unlabeled,RIM_ONE_r3_test_S-32-L,fe3060119ee529a8d85a77a25fb775ed39ac7138e1a8f07944407ab0710dde57,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],0.0,False,0.6292055387846434,0,0,0,0,0.7525673242197103,0,0,0,0,2048,"{'AA': 2048, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0
0,1,RIM_ONE_r3,fit,train_unlabeled,RIM_ONE_r3_train_G-32-L,d4aa9dcbf218417dd7c875ee70df328202267fefddb17d826136a6f38e5140bf,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],0.0,False,0.5207926365582832,0,0,0,0,0.6121876145991344,0,0,0,0,2048,"{'AA': 2048, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0
0,1,RIM_ONE_r3,fit,train_unlabeled,RIM_ONE_r3_train_G-39-L,36aea5cdb0988065739013a21e4511542054a1d1e473a52a488c8d07fa59a3ff,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],0.0,False,0.9167039069946602,0,0,0,0,0.9962840005851383,0,0,0,0,2048,"{'AA': 2048, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0
