seed,units,registered_count,counts,mass,source_null_mass,target_null_mass,maximum_case_mismatch_fraction
0,4,212992,"{'AA': 212992, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.0
1,4,212992,"{'AA': 212992, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.0
2,4,212992,"{'AA': 212990, 'A_NULL': 0, 'NULL_A': 2, 'NULL_NULL': 0}","{'AA': 0.9999826219346788, 'A_NULL': 0.0, 'NULL_A': 1.737806532118055e-05, 'NULL_NULL': 0.0}",1.737806532118055e-05,0.0,0.00048828125
