seed,delta_final_average_dice,delta_bwt,delta_incoming_dice,delta_previous_site_dice
0,0.006543684171210318,0.002170245942616167,0.005096853542799318,0.0066959790909062455
1,0.0010556150697627054,-0.020286231346349104,0.014579769300662071,-0.010771614846723732
2,-0.014237780922458532,-0.009714986838513462,-0.007761123030116224,-0.01254330084002242
