seed,transition,update_batch,variant,virtual_step_norm,raw_gradient_norm,objective,loss_sup,loss_assim_r0,loss_relation_r0,loss_ifc_continuous,loss_pfc_continuous,kappa_i,kappa_p,previous_val_loss_before,previous_val_loss_after,previous_val_loss_delta,previous_val_dice_before,previous_val_dice_after,previous_val_dice_delta,current_val_loss_before,current_val_loss_after,current_val_loss_delta,current_val_dice_before,current_val_dice_after,current_val_dice_delta,checkpoint_or_model_mutated
0,REFUGE->RIM_ONE_r3,0,C0,0.001,0.9699146747589111,0.0540037527680397,0.01610710099339485,0.021819960325956345,0.016076693311333656,0.5851904153823853,0.24074730277061462,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6221467182040215,0.0019546300172805786,0.7369811721146107,0.7362874485552311,-0.0006937235593795776,0.4998316541314125,0.5018956679850817,0.0020640138536691666,0.7476552985608578,0.7468655481934547,-0.0007897503674030304,False
0,REFUGE->RIM_ONE_r3,0,C1,0.001,0.9890003800392151,0.09559153020381927,0.01610710099339485,0.021819960325956345,0.016076693311333656,0.5851904153823853,0.24074730277061462,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.622097784653306,0.0019056964665651321,0.7369811721146107,0.7363079972565174,-0.0006731748580932617,0.4998316541314125,0.5018644947558641,0.0020328406244516373,0.7476552985608578,0.7468915469944477,-0.0007637515664100647,False
0,REFUGE->RIM_ONE_r3,0,C2,0.001,2.1939923763275146,0.27764183282852173,0.01610710099339485,0.021819960325956345,0.016076693311333656,0.5851904153823853,0.24074730277061462,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6211375389248133,0.0009454507380723953,0.7369811721146107,0.7366760745644569,-0.0003050975501537323,0.4998316541314125,0.5005464870482683,0.0007148329168558121,0.7476552985608578,0.7473632805049419,-0.0002920180559158325,False
0,REFUGE->RIM_ONE_r3,0,C3,0.001,2.2238259315490723,0.3192296028137207,0.01610710099339485,0.021819960325956345,0.016076693311333656,0.5851904153823853,0.24074730277061462,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6211224365979433,0.0009303484112024307,0.7369811721146107,0.7366810999810696,-0.0003000721335411072,0.4998316541314125,0.5005410350859165,0.0007093809545040131,0.7476552985608578,0.7473725602030754,-0.0002827383577823639,False
0,REFUGE->RIM_ONE_r3,0,C4,0.001,2.1234076023101807,0.45118117332458496,0.01610710099339485,0.021819960325956345,0.016076693311333656,0.5851904153823853,0.24074730277061462,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6209465842694044,0.0007544960826635361,0.7369811721146107,0.7367858365178108,-0.00019533559679985046,0.4998316541314125,0.500815961509943,0.0009843073785305023,0.7476552985608578,0.7474029436707497,-0.0002523548901081085,False
0,REFUGE->RIM_ONE_r3,0,C5,0.001,1.8830368518829346,0.4596565365791321,0.01610710099339485,0.021819960325956345,0.016076693311333656,0.5851904153823853,0.24074730277061462,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6208485960960388,0.0006565079092979431,0.7369811721146107,0.736782144755125,-0.00019902735948562622,0.4998316541314125,0.5002500917762518,0.0004184376448392868,0.7476552985608578,0.7475525327026844,-0.00010276585817337036,False
0,REFUGE->RIM_ONE_r3,1,C0,0.001,0.28972241282463074,0.032474614679813385,0.017510956153273582,0.004288995638489723,0.010674661956727505,0.5712812542915344,0.2326531559228897,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6196253933012486,-0.0005666948854923248,0.7369811721146107,0.7373231835663319,0.0003420114517211914,0.4998316541314125,0.4991309717297554,-0.0007006824016571045,0.7476552985608578,0.7479623518884182,0.0003070533275604248,False
0,REFUGE->RIM_ONE_r3,1,C1,0.001,0.29196086525917053,0.07307390868663788,0.017510956153273582,0.004288995638489723,0.010674661956727505,0.5712812542915344,0.2326531559228897,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6194342449307442,-0.0007578432559967041,0.7369811721146107,0.7374034263193607,0.00042225420475006104,0.4998316541314125,0.4989916794002056,-0.0008399747312068939,0.7476552985608578,0.7480200864374638,0.00036478787660598755,False
0,REFUGE->RIM_ONE_r3,1,C2,0.001,2.0719802379608154,0.2485937774181366,0.017510956153273582,0.004288995638489723,0.010674661956727505,0.5712812542915344,0.2326531559228897,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.62091257981956,0.0007204916328191757,0.7369811721146107,0.7368202768266201,-0.00016089528799057007,0.4998316541314125,0.5007720291614532,0.000940375030040741,0.7476552985608578,0.747381679713726,-0.0002736188471317291,False
0,REFUGE->RIM_ONE_r3,1,C3,0.001,2.0784740447998047,0.2891930937767029,0.017510956153273582,0.004288995638489723,0.010674661956727505,0.5712812542915344,0.2326531559228897,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6208822950720787,0.0006902068853378296,0.7369811721146107,0.7368320450186729,-0.00014912709593772888,0.4998316541314125,0.500752916559577,0.0009212624281644821,0.7476552985608578,0.7473881356418133,-0.00026716291904449463,False
0,REFUGE->RIM_ONE_r3,1,C4,0.001,1.5969098806381226,0.42397642135620117,0.017510956153273582,0.004288995638489723,0.010674661956727505,0.5712812542915344,0.2326531559228897,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6198078487068415,-0.00038423947989940643,0.7369811721146107,0.7372253015637398,0.00024412944912910461,0.4998316541314125,0.4999051205813885,7.346644997596741e-05,0.7476552985608578,0.7477399222552776,8.462369441986084e-05,False
0,REFUGE->RIM_ONE_r3,1,C5,0.001,1.6640212535858154,0.4339362382888794,0.017510956153273582,0.004288995638489723,0.010674661956727505,0.5712812542915344,0.2326531559228897,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6199089959263802,-0.0002830922603607178,0.7369811721146107,0.7371686957776546,0.00018752366304397583,0.4998316541314125,0.4999989252537489,0.00016727112233638763,0.7476552985608578,0.7476769089698792,2.1610409021377563e-05,False
0,REFUGE->RIM_ONE_r3,2,C0,0.001,0.4235030710697174,0.03326043486595154,0.016155516728758812,0.0035597248934209347,0.013545192778110504,0.5827450752258301,0.1961703896522522,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6206951681524515,0.00050307996571064,0.7369811721146107,0.7366482019424438,-0.00033297017216682434,0.4998316541314125,0.5003315825015306,0.0004999283701181412,0.7476552985608578,0.747282974421978,-0.000372324138879776,False
0,REFUGE->RIM_ONE_r3,2,C1,0.001,0.4189981520175934,0.07467442750930786,0.016155516728758812,0.0035597248934209347,0.013545192778110504,0.5827450752258301,0.1961703896522522,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6204723622649908,0.00028027407824993134,0.7369811721146107,0.7367394268512726,-0.000241745263338089,0.4998316541314125,0.5001258570700884,0.00029420293867588043,0.7476552985608578,0.747360922396183,-0.0002943761646747589,False
0,REFUGE->RIM_ONE_r3,2,C2,0.001,1.6320301294326782,0.21548956632614136,0.016155516728758812,0.0035597248934209347,0.013545192778110504,0.5827450752258301,0.1961703896522522,0.07106708362698555,0.9289329163730145,0.6201920881867409,0.6218313686549664,0.0016392804682254791,0.7369811721146107,0.7365119531750679,-0.0004692189395427704,0.4998316541314125,0.5013217069208622,0.0014900527894496918,0.7476552985608578,0.7471429221332073,-0.0005123764276504517,False
