seed,transition,layer,channels,mean_alpha,alpha_q25,alpha_q75,alpha_iqr,ess_alpha,ess_alpha_over_d,ess_beta,ess_beta_over_d,zero_evidence_count,content_mean,style_mean
0,REFUGE->RIM_ONE_r3,dec3,64,0.07898928970098495,8.072527998592705e-05,0.04689762741327286,0.04681690213328693,10.724625587463379,0.1675722748041153,61.74396896362305,0.9647495150566101,0,3.4706784668436796e-10,0.1817387044429779
0,REFUGE->RIM_ONE_r3,dec1,16,0.06314487755298615,7.885283412178978e-05,0.0016882357886061072,0.0016093829544843175,2.041402578353882,0.12758766114711761,15.517961502075195,0.9698725938796997,2,4.245183198026137e-12,0.11360405385494232
0,RIM_ONE_r3->Drishti_GS,dec3,64,0.09885476529598236,0.00018079960136674345,0.07604123651981354,0.0758604369184468,11.550698280334473,0.18047966063022614,60.684017181396484,0.9481877684593201,0,6.82506495763846e-10,0.22594931721687317
0,RIM_ONE_r3->Drishti_GS,dec1,16,0.12609252333641052,0.0007625185535289347,0.12970854341983795,0.12894602486630902,4.069973945617676,0.25437337160110474,15.079779624938965,0.9424862265586853,4,1.1027010901609735e-11,0.05450873821973801
1,REFUGE->RIM_ONE_r3,dec3,64,0.1174561083316803,0.00012543551565613598,0.1120893731713295,0.11196393765567336,13.213470458984375,0.20646047592163086,59.92068862915039,0.9362607598304749,0,1.2139340643813057e-09,0.15258827805519104
1,REFUGE->RIM_ONE_r3,dec1,16,0.06291332840919495,1.4474818271992262e-05,0.0008154427632689476,0.0008009679449969553,2.0264720916748047,0.1266545057296753,15.5177001953125,0.9698562622070312,2,3.307977589767086e-12,0.06866160780191422
1,RIM_ONE_r3->Drishti_GS,dec3,64,0.10231560468673706,0.0012956141727045178,0.09162628650665283,0.09033067233394831,12.741615295410156,0.1990877389907837,60.8214225769043,0.9503347277641296,0,6.860615409109982e-10,0.1440775841474533
1,RIM_ONE_r3->Drishti_GS,dec1,16,0.0015213743317872286,0.00019143990357406437,0.0018027937039732933,0.001611353800399229,6.794016361236572,0.42462602257728577,15.999950408935547,0.9999969005584717,0,7.298266158084488e-12,0.11382129043340683
2,REFUGE->RIM_ONE_r3,dec3,64,0.08490118384361267,1.7511249097879045e-05,0.0696871355175972,0.06966962426849932,13.58712387084961,0.21229881048202515,62.01924514770508,0.9690507054328918,0,3.728200526076364e-10,0.1649325042963028
2,REFUGE->RIM_ONE_r3,dec1,16,0.03180471435189247,6.616800419578794e-06,0.001162189757451415,0.0011555729570318363,1.0357446670532227,0.06473404169082642,15.754383087158203,0.9846489429473877,1,5.395171722571979e-12,0.06797918677330017
2,RIM_ONE_r3->Drishti_GS,dec3,64,0.13037149608135223,0.0004518087662290782,0.11247721314430237,0.11202540437807329,15.183847427368164,0.23724761605262756,59.687171936035156,0.9326120615005493,0,7.374522104086623e-10,0.2629629969596863
2,RIM_ONE_r3->Drishti_GS,dec1,16,0.001527097774669528,8.225752389989793e-05,0.001456722035072744,0.001374464511172846,4.049976348876953,0.25312352180480957,15.999890327453613,0.9999931454658508,0,7.001003075879364e-12,0.15348860621452332
