seed,memory_source,class_id,pixels,median_nearest_prototype_distance,median_global_prototype_distance,nearest_distance_reduction,global_ncm_accuracy_all_foreground,max_over_site_ncm_accuracy_all_foreground,own_site_top_mode_rate,site0_occupancy,site1_occupancy,site_mode_entropy,site_conditioned_global_reconstruction_ratio
0,labeled,1,106996,0.5356073379516602,0.5576088428497314,0.03945687945985532,0.8135469555854797,0.8116083741188049,0.3438165783882141,13959,93037,0.38726556301116943,0.9605431205401447
0,labeled,2,41052,0.21427589654922485,0.21914273500442505,0.022208532056067987,0.8135469555854797,0.8116083741188049,0.5715921521186829,24291,16761,0.6762290000915527,0.977791467943932
0,combined,1,106996,0.48315680027008057,0.5329065918922424,0.093355556825654,0.8113922476768494,0.8063803911209106,0.24336424469947815,105,106891,0.007778221275657415,0.906644443174346
0,combined,2,41052,0.19403910636901855,0.21098452806472778,0.08031594473368475,0.8113922476768494,0.8063803911209106,0.44689661264419556,8082,32970,0.49603575468063354,0.9196840552663152
1,labeled,1,106618,0.35581278800964355,0.36306148767471313,0.019965487696023798,0.8064768314361572,0.7967978715896606,0.2389371395111084,14549,92069,0.3984833359718323,0.9800345123039762
1,labeled,2,36786,0.1381075382232666,0.1645476222038269,0.16068347646986159,0.8064768314361572,0.7967978715896606,0.4046376347541809,15198,21588,0.6779832243919373,0.8393165235301384
1,combined,1,106618,0.3284015655517578,0.3487401604652405,0.05832019715294545,0.8140358924865723,0.8054656982421875,0.2334502637386322,12158,94460,0.3548656702041626,0.9416798028470545
1,combined,2,36786,0.1379948854446411,0.16644370555877686,0.17092157386564255,0.8140358924865723,0.8054656982421875,0.3615777790546417,10968,25818,0.6092945337295532,0.8290784261343574
2,labeled,1,104009,0.2806174159049988,0.2936573624610901,0.04440531116538626,0.8411094546318054,0.8371421098709106,0.7251391410827637,65999,38010,0.6564891338348389,0.9555946888346137
2,labeled,2,38907,0.21031737327575684,0.21814489364624023,0.035882207644874264,0.8411094546318054,0.8371421098709106,0.7491196990013123,27571,11336,0.6033661961555481,0.9641177923551257
2,combined,1,104009,0.28113263845443726,0.28815627098083496,0.024374387211808513,0.8422009944915771,0.8376458883285522,0.7228605151176453,66012,37997,0.656420111656189,0.9756256127881915
2,combined,2,38907,0.20916038751602173,0.21771246194839478,0.03928151083239406,0.8422009944915771,0.8376458883285522,0.7345464825630188,25420,13487,0.6453463435173035,0.9607184891676059
