seed,memory_source,source_site,source_site_index,later_site,later_site_index,class_id,source_model_self_cosine,later_model_static_cosine,cosine_degradation
0,labeled,REFUGE,0,RIM_ONE_r3,1,1,0.9947810173034668,0.49829041957855225,0.49649059772491455
0,labeled,REFUGE,0,RIM_ONE_r3,1,2,0.9881361126899719,0.3294824957847595,0.6586536169052124
0,labeled,REFUGE,0,Drishti_GS,2,1,0.9947810173034668,0.340320885181427,0.6544601321220398
0,labeled,REFUGE,0,Drishti_GS,2,2,0.9881361126899719,0.5241260528564453,0.4640100598335266
0,labeled,RIM_ONE_r3,1,Drishti_GS,2,1,0.9660407900810242,0.08164547383785248,0.8843953162431717
0,labeled,RIM_ONE_r3,1,Drishti_GS,2,2,0.9209433794021606,0.4789908528327942,0.44195252656936646
0,combined,REFUGE,0,RIM_ONE_r3,1,1,0.9949788451194763,0.49349814653396606,0.5014806985855103
0,combined,REFUGE,0,RIM_ONE_r3,1,2,0.9804601073265076,0.3133733570575714,0.6670867502689362
0,combined,REFUGE,0,Drishti_GS,2,1,0.9949788451194763,0.33119404315948486,0.6637848019599915
0,combined,REFUGE,0,Drishti_GS,2,2,0.9804601073265076,0.5503048300743103,0.43015527725219727
0,combined,RIM_ONE_r3,1,Drishti_GS,2,1,0.9882704615592957,0.14835238456726074,0.8399180769920349
0,combined,RIM_ONE_r3,1,Drishti_GS,2,2,0.9359731078147888,0.5624063611030579,0.37356674671173096
1,labeled,REFUGE,0,RIM_ONE_r3,1,1,0.9989701509475708,0.25520092248916626,0.7437692284584045
1,labeled,REFUGE,0,RIM_ONE_r3,1,2,0.9808722734451294,0.12346190214157104,0.8574103713035583
1,labeled,REFUGE,0,Drishti_GS,2,1,0.9989701509475708,0.2903803288936615,0.7085898220539093
1,labeled,REFUGE,0,Drishti_GS,2,2,0.9808722734451294,-0.2346249520778656,1.215497225522995
1,labeled,RIM_ONE_r3,1,Drishti_GS,2,1,0.9830759763717651,-0.4254293739795685,1.4085053503513336
1,labeled,RIM_ONE_r3,1,Drishti_GS,2,2,0.9016009569168091,-0.22935695946216583,1.130957916378975
1,combined,REFUGE,0,RIM_ONE_r3,1,1,0.9991541504859924,0.26090574264526367,0.7382484078407288
1,combined,REFUGE,0,RIM_ONE_r3,1,2,0.971424400806427,0.08847839385271072,0.8829460069537163
1,combined,REFUGE,0,Drishti_GS,2,1,0.9991541504859924,0.28755274415016174,0.7116014063358307
1,combined,REFUGE,0,Drishti_GS,2,2,0.971424400806427,-0.23398476839065552,1.2054091691970825
1,combined,RIM_ONE_r3,1,Drishti_GS,2,1,0.9908000230789185,-0.4175948202610016,1.40839484333992
1,combined,RIM_ONE_r3,1,Drishti_GS,2,2,0.9307867288589478,-0.21843604743480682,1.1492227762937546
2,labeled,REFUGE,0,RIM_ONE_r3,1,1,0.999113917350769,0.6664139032363892,0.3327000141143799
2,labeled,REFUGE,0,RIM_ONE_r3,1,2,0.991702675819397,0.38973164558410645,0.6019710302352905
2,labeled,REFUGE,0,Drishti_GS,2,1,0.999113917350769,-0.3168327212333679,1.315946638584137
2,labeled,REFUGE,0,Drishti_GS,2,2,0.991702675819397,-0.1502920538187027,1.1419947296380997
2,labeled,RIM_ONE_r3,1,Drishti_GS,2,1,0.9866771101951599,-0.6215704679489136,1.6082475781440735
2,labeled,RIM_ONE_r3,1,Drishti_GS,2,2,0.9059575796127319,-0.44735586643218994,1.3533134460449219
2,combined,REFUGE,0,RIM_ONE_r3,1,1,0.9981520175933838,0.6557232737541199,0.3424287438392639
2,combined,REFUGE,0,RIM_ONE_r3,1,2,0.9874855875968933,0.36852362751960754,0.6189619600772858
2,combined,REFUGE,0,Drishti_GS,2,1,0.9981520175933838,-0.2971881330013275,1.2953401505947113
2,combined,REFUGE,0,Drishti_GS,2,2,0.9874855875968933,-0.12822744250297546,1.1157130300998688
2,combined,RIM_ONE_r3,1,Drishti_GS,2,1,0.9893649220466614,-0.62947678565979,1.6188417077064514
2,combined,RIM_ONE_r3,1,Drishti_GS,2,2,0.9084351658821106,-0.4472751319408417,1.3557102978229523
