candidate,seed,stage_index,point_kind,class_id,requested_coverage,achieved_coverage,reason,predicted_retained_fraction,true_retained_fraction,true_class_recall,predicted_composition,true_composition,predicted_full_mass,true_full_mass
R0,0,0,matched_global,0,0.21221327040847338,0.21221327040847338,,0.25421400709733505,0.23669717502526205,0.23562867347980726,0.9943276454263884,0.9815282569541468,0.8300467936197674,0.8799991861978903
R0,0,0,matched_global,1,0.21221327040847338,0.21221327040847338,,0.003568425512264349,0.03957470622878234,0.001255715858249799,0.0015853831571654403,0.016406366842514924,0.0942822943793403,0.08797661675347221
R0,0,0,matched_global,2,0.21221327040847338,0.21221327040847338,,0.011461597955929905,0.013686533281379707,0.002613210903484846,0.004086971416446043,0.002065376203338085,0.07567091200086797,0.03202419704861111
R0,0,0,registered,0,0.05,0.0500000678163697,,0.06018699398621255,0.056164571895012366,0.05612041384340432,0.9991590723211369,0.9884942104841982,0.8300467936197674,0.8799991861978903
R0,0,0,registered,1,0.05,0.0500000678163697,,5.1069988181973114e-05,0.005893153920392704,2.235467150966493e-05,9.629978257950513e-05,0.010369180814370665,0.0942822943793403,0.08797661675347221
R0,0,0,registered,2,0.05,0.0500000678163697,,0.0004920179277352034,0.0017746116184119134,4.235349924610771e-06,0.0007446278962837793,0.001136608701431343,0.07567091200086797,0.03202419704861111
R0,0,0,registered,0,0.1,0.10000000000161557,,0.12024636877634139,0.11208053318882509,0.11189203302436909,0.9981011284722222,0.9863077799479165,0.8300467936197674,0.8799991861978903
R0,0,0,registered,1,0.1,0.10000000000161557,,0.0003517355524082375,0.01410579772259857,0.00012950292460771408,0.0003316243489583331,0.012409803602430547,0.0942822943793403,0.08797661675347221
R0,0,0,registered,2,0.1,0.10000000000161557,,0.0020711355755848003,0.0040045233537194845,0.00016306097209751463,0.0015672471788194435,0.0012824164496527772,0.07567091200086797,0.03202419704861111
R0,0,0,registered,0,0.2,0.20000000000834584,,0.2397047993151454,0.22319590854459814,0.222269668366104,0.9948310004340278,0.9820610894097221,0.8300467936197674,0.8799991861978903
R0,0,0,registered,1,0.2,0.20000000000834584,,0.002940480446308538,0.036362571188066004,0.0010529821131793893,0.0013861762152777726,0.01599527994791661,0.0942822943793403,0.08797661675347221
R0,0,0,registered,2,0.2,0.20000000000834584,,0.009998091077985301,0.01213851288393447,0.0021282633371169125,0.0037828233506944312,0.0019436306423611042,0.07567091200086797,0.03202419704861111
R0,0,0,registered,0,0.3,0.3000000678114527,,0.35776685361817684,0.3331358936680372,0.3306252810933655,0.98987720859619,0.9771974968357809,0.8300467936197674,0.8799991861978903
R0,0,0,registered,1,0.3,0.3000000678114527,,0.011111678555424243,0.06678342485901141,0.0038989630515822494,0.0034921143726231755,0.01958459482046747,0.0942822943793403,0.08797661675347221
R0,0,0,registered,2,0.3,0.3000000678114527,,0.026287558936846978,0.030145103088417162,0.009286004709709115,0.006630677031187402,0.0032179083437526477,0.07567091200086797,0.03202419704861111
R0,0,0,registered,0,0.4,0.4000000677772557,,0.4735842153519269,0.4414617594355736,0.4361116993713757,0.9827424820382896,0.9712148079401987,0.8300467936197674,0.8799991861978903
R0,0,0,registered,1,0.4,0.4000000677772557,,0.029565207383713273,0.10737334151462921,0.010253085715519078,0.0069686877833578815,0.023615854286049336,0.0942822943793403,0.08797661675347221
R0,0,0,registered,2,0.4,0.4000000677772557,,0.05438724947639082,0.06456790960069121,0.026030460636657798,0.010288830178353317,0.005169337773753298,0.07567091200086797,0.03202419704861111
R0,0,0,registered,0,0.5,0.5000000677430587,,0.5855984106589703,0.5472139737345195,0.5370495300751074,0.9721480343766237,0.9630955724968037,0.8300467936197674,0.8799991861978903
R0,0,0,registered,1,0.5,0.5000000677430587,,0.06594861783752407,0.16294320063394768,0.023001415281961788,0.012435572315053916,0.028670379140845415,0.0942822943793403,0.08797661675347221
R0,0,0,registered,2,0.5,0.5000000677430587,,0.10186473898404136,0.12855981161163535,0.06120927711047486,0.015416393308323697,0.008234048362352545,0.07567091200086797,0.03202419704861111
R1,0,0,matched_global,0,0.21221327040847338,0.21221327040847338,,0.21459568163439544,0.20375842817682022,0.20003242880998334,0.8393653098607567,0.8449389175293968,0.8300467936197674,0.8799991861978903
R1,0,0,matched_global,1,0.21221327040847338,0.21221327040847338,,0.22027420987175675,0.22124803818486238,0.14683087843067125,0.09786361550447809,0.09172213323993354,0.0942822943793403,0.08797661675347221
R1,0,0,matched_global,2,0.21221327040847338,0.21221327040847338,,0.17603666564200296,0.4197252952038898,0.2549002998627747,0.06277107463476404,0.06333894923066871,0.07567091200086797,0.03202419704861111
R1,0,0,registered,0,0.05,0.0500000678163697,,0.050574866469634494,0.04801436731915912,0.04713606136073518,0.8395889762519319,0.8450509371596453,0.8300467936197674,0.8799991861978903
