phase,batch_id,seed,stage_index,domain,pair_index,candidate,normalization,draw_index,teacher_kind,block,class_id,cosine,zero_gradient,supervised_zero,unsupervised_zero,supervised_norm,unsupervised_norm,norm_ratio,negative_cosine,undefined_reason,dot_background,dot_rim,dot_cup,dot_total,projection_fraction,component_vector_sha256,total_vector_sha256,component_sum_max_abs_error,component_sum_pass,nonadditive_norm_sum,total_norm
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,pixel_normalized,0,stochastic,dec3,1,0.6880775493284774,False,False,False,0.029282876828770215,0.001000556982850365,0.017084335475319914,False,,-1.0960628009141181e-05,1.0011142759306254e-06,-2.5500384143608313e-06,-1.250955214757139e-05,-0.031165403320093127,d5694d38cf80430ea7ce5b3522483969fbf9344eaf5a6c587984027367c7a33d,ff595e1f2817aa847d50201b2421d6c2b4e6d4ca88e30b4db49454f7d0332868,2.0599841277224584e-18,True,0.022602850388379316,0.020034776645740663
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,pixel_normalized,0,stochastic,dec3,2,-0.9116837425873302,False,False,False,0.029282876828770215,0.0032155653592860914,0.054905216077110665,True,,3.9500432494726974e-05,-2.5500384143608313e-06,1.0339860579840691e-05,4.7290254660206825e-05,0.11781555744035069,e130227ea3f47cc224db9b50a6702782c1388b5fdd346653ec3463f4fc00cba4,ff595e1f2817aa847d50201b2421d6c2b4e6d4ca88e30b4db49454f7d0332868,2.0599841277224584e-18,True,0.022602850388379316,0.020034776645740663
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,pixel_normalized,0,stochastic,dec2,0,-0.42189931167921185,False,False,False,0.027415237284410737,0.01999214419237358,0.3646173838470078,True,,0.0003996858294086566,-1.2469801954364232e-05,2.0559832832330587e-05,0.00040777586028662273,0.9762047827441334,6ad27569cbc10ac830965e020e799da57e915a168084e28d83e13686cbf7d096,619ae5b9fb436c108f9bb226e41eef216ccc58dcf9ac59311f48d4daa978fd4a,2.3852447794681098e-18,True,0.02382415173126517,0.020438089224525616
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,pixel_normalized,0,stochastic,dec2,1,0.7289097592877234,False,False,False,0.027415237284410737,0.0015284540770177054,0.02787599576763171,False,,-1.2469801954364232e-05,2.3361718655520458e-06,-2.89646521609129e-06,-1.303009530490347e-05,-0.03119370859108192,dcdba6ce410762d029b6d8a680c6608e82995736c8912c4d456355cfc5aef4aa,619ae5b9fb436c108f9bb226e41eef216ccc58dcf9ac59311f48d4daa978fd4a,2.3852447794681098e-18,True,0.02382415173126517,0.020438089224525616
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,pixel_normalized,0,stochastic,dec2,2,-0.6025539688413653,False,False,False,0.027415237284410737,0.0023035534618738858,0.04201228386200704,True,,2.0559832832330587e-05,-2.89646521609129e-06,5.306358551711164e-06,2.2969726167950447e-05,0.05498892584694745,31c6542c371f262d7414b9fcd4427c9781d58d86818618f37a2dcb1908808709,619ae5b9fb436c108f9bb226e41eef216ccc58dcf9ac59311f48d4daa978fd4a,2.3852447794681098e-18,True,0.02382415173126517,0.020438089224525616
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,pixel_normalized,0,stochastic,dec1,0,-0.08816462952165582,False,False,False,0.49600768933092376,0.3952331880652747,0.39841437599325713,True,,0.15620927294824077,-0.0008219899108883003,0.009993105741534536,0.165380388778887,0.9395784283490118,d520ee41233a7b57dafcc6e4415d4e327448220e653b58e7f8be00a0d492b671,88fd16683a11f716b62c27fd83315761c296a023fcfae13d36932230f6759341,1.1102230246251565e-16,True,0.5145687437137645,0.419542040007529
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,pixel_normalized,0,stochastic,dec1,1,0.9196152926701897,False,False,False,0.49600768933092376,0.046214419870437215,0.04658639459075414,False,,-0.0008219899108883003,0.002135772603961062,-0.003009227188643827,-0.0016954444955710668,-0.009632357779926892,0957a7a38690e18b91421bcb9e8e0020721d43a1d07e85043706b5d47d0dff04,88fd16683a11f716b62c27fd83315761c296a023fcfae13d36932230f6759341,1.1102230246251565e-16,True,0.5145687437137645,0.419542040007529
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,pixel_normalized,0,stochastic,dec1,2,-0.8401049023398024,False,False,False,0.49600768933092376,0.07312113577805254,0.07370967965908687,True,,0.009993105741534536,-0.003009227188643827,0.005346700497472395,0.012330579050363106,0.07005392943091489,12126fa056b628fea4d9fa6aa76d0e9eb52c4f7807fee6f9f4930504a18282c3,88fd16683a11f716b62c27fd83315761c296a023fcfae13d36932230f6759341,1.1102230246251565e-16,True,0.5145687437137645,0.419542040007529
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,pixel_normalized,0,stochastic,classifier.mu,0,-0.8056363312692362,False,False,False,0.829207198203823,0.6298999209907965,0.3798205818492932,True,,0.3967739104642116,-0.007940047814623456,0.0420220201265466,0.4308558827761346,0.9199274052534773,cdd4d7fe3ee23f4d7e4f50bbafb5f970d8758c1cef3ea03fbb164e77a488afe9,c5e90b3a745b358751127b179e6556875a18cbf71672063fc080320ddcf3c878,3.0531133177191805e-16,True,0.7419993805458649,0.6843672761308884
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,pixel_normalized,0,stochastic,classifier.mu,1,0.7623146985693067,False,False,False,0.829207198203823,0.030259795962817568,0.018246221226952956,False,,-0.007940047814623456,0.0009156552517113504,-0.0020963361189250875,-0.009120728681837189,-0.019473816201003264,2a504e8c3c6faba6e95a18dacfccbf4d615145153884be4f771c8eb38b3a71ea,c5e90b3a745b358751127b179e6556875a18cbf71672063fc080320ddcf3c878,3.0531133177191805e-16,True,0.7419993805458649,0.6843672761308884
