batch_id,seed,stage_index,candidate,normalization,block,teacher_draws,target_probability_variance,weight_variance,predicted_class_change_rate,cosine_variance,norm_ratio_variance,undefined_cosines,undefined_ratios,all_cosines,all_norm_ratios
B0/seed0/stage0/REFUGE/pair00,0,0,R0,pixel_normalized,global,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.02358985667956225,0.0063090452548189655,0,0,"[-0.570388916281997, -0.575911893498008, -0.12784121270034218, -0.34004919894187546, -0.20695317764443819, -0.27075320162150784, -0.4039680205333042, -0.4650662289614078]","[0.4360714490010981, 0.3992724848537963, 0.22570989232996186, 0.3131045718272056, 0.19640288814479917, 0.30839509066401494, 0.39303858252454676, 0.3612650862710276]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,pixel_normalized,encoder,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.0019846373498599206,0.007282465543454894,0,0,"[-0.21951838205194033, -0.20635180057615737, -0.12710249531178128, -0.1281348717553537, -0.18972400901293376, -0.12687819870684344, -0.08241090849124971, -0.13532638677815537]","[0.5742297209172159, 0.5123970810077627, 0.36325975399112875, 0.4797389216004838, 0.31059948822341, 0.4812572712070282, 0.5617813572121372, 0.4824526300957748]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,pixel_normalized,bottleneck,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.0072632827913333455,0.0029209660727799423,0,0,"[-0.6677629480069485, -0.6516530520310101, -0.866824267672683, -0.7854268395896994, -0.878510705410451, -0.8092620400368734, -0.6745682976650414, -0.7134860702269845]","[0.5123103965632624, 0.4616894556242707, 0.3635536926269984, 0.4308806118293667, 0.33936505400482386, 0.43018607334784575, 0.4843998034675314, 0.43660542396660684]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,pixel_normalized,dec3,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.005515693707496629,0.0007112142730506972,0,0,"[-0.6908958451238107, -0.6936843889462634, -0.8728866156221279, -0.8421322229000766, -0.8835870990292659, -0.8408206980360506, -0.7299983426588477, -0.7676812260234757]","[0.3420903069546883, 0.30911440401821744, 0.30911615538852444, 0.3508000662442464, 0.27140874535214793, 0.35306002727014063, 0.3463527758407371, 0.3143347709649256]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,pixel_normalized,dec2,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.010210391452156431,0.0012472600689198375,0,0,"[-0.4260957061892443, -0.43539933133358955, -0.16501782647306326, -0.24988577409986923, -0.15594341568453937, -0.24997291998300633, -0.23566555689585952, -0.34209367492219456]","[0.3727505440222367, 0.33556060856305375, 0.328356399486516, 0.33499198099355487, 0.2588299455752672, 0.38075540320509604, 0.35894633102178614, 0.32639471425668115]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,pixel_normalized,dec1,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.07014430113535318,0.0038744865789552777,0,0,"[-0.1281767256900737, -0.14145703281121386, 0.5981442136511811, 0.3184534648826614, 0.5464212694922096, 0.4134344889837741, 0.18933779354554758, 0.10146835796804629]","[0.42291888717840137, 0.3880635546703517, 0.27556395452300775, 0.3305684644903786, 0.2272717189558592, 0.3455448272523337, 0.4063184370505558, 0.36550920150937416]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,pixel_normalized,classifier.mu,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.007773951025118126,0.008101202169897737,0,0,"[-0.8213812949775688, -0.8236248437042557, -0.5624702462874644, -0.7077642210545344, -0.6191566578516365, -0.6666803054863139, -0.7457666679238357, -0.7723614961079519]","[0.4126636126732391, 0.38069810802608395, 0.16662557774830924, 0.2666798265508911, 0.15379400031967277, 0.2504396804477371, 0.35070895396251944, 0.3343998892947078]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,class_balanced,global,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.10173216669348271,0.03756699582561614,0,0,"[0.5656354524074813, -0.09754631450198947, 0.4073908287705559, -0.07166540339915284, 0.40103178782749616, -0.4365950665256839, -0.004996693330230441, -0.11787119788476089]","[0.8231209446666157, 0.5803200118373565, 0.27484364170211933, 0.6428762499279413, 0.301213067745833, 0.7406366155899977, 0.7775400856440545, 0.5356216549920472]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,class_balanced,encoder,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.07124952836949906,0.2455066301310059,0,0,"[0.5983447436280541, -0.03333929730610154, 0.006441085576405347, -0.20752599425951979, -0.1770899618544355, -0.3649992356116709, -0.05314755900356729, -0.12862571738678608]","[1.0167439538294731, 0.8134755812027246, 0.4454797801304498, 1.55947435309005, 0.5663984736984914, 1.855658243347469, 1.7250379098517892, 1.1171065570167291]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,class_balanced,bottleneck,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.009853320015939582,0.03372343872227089,0,0,"[-0.6040044621601639, -0.919528034919219, -0.8926294382494344, -0.9031582986729825, -0.8134075016039548, -0.8916551967387294, -0.8680523449719698, -0.9239530442211029]","[0.2902779770888111, 0.5011175410854942, 0.3572912665310203, 0.7858097049194412, 0.5372518470638288, 0.8301082298523446, 0.732820503369163, 0.5709975838421573]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,class_balanced,dec3,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.1603722264859609,0.07525479764772716,0,0,"[0.34195601465260966, -0.7566808315938953, -0.8367771260013668, -0.9061865436298594, -0.8258322570989568, -0.9141246503672602, -0.8733266723873171, -0.9045983596086332]","[0.39163817676132445, 0.37345373528598885, 0.3046395844938393, 0.9078929942863116, 0.40575339211076444, 1.076327572242776, 0.8493451072851533, 0.601606098236081]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,class_balanced,dec2,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.047597005945783026,0.01597668028002548,0,0,"[0.6895293131229877, 0.3694614433095593, 0.28183543362140007, 0.37273886166416587, 0.3180093347779046, -0.08939814755275921, 0.6053457843719234, 0.4119403637543159]","[0.7781595635857627, 0.4688095663294302, 0.4157386913596183, 0.6610053503357453, 0.48141561841388736, 0.545753045267657, 0.7379028087834971, 0.4951009746143057]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,class_balanced,dec1,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.10894702236360644,0.07968279303650308,0,0,"[0.8938018468865452, 0.6580121072643529, 0.8723664700211365, 0.6013188603310625, 0.8588154774374217, -0.20048526721249751, 0.6427583022037239, 0.5965741338792908]","[1.3482923622151566, 0.7684211772216789, 0.4223147028035199, 0.6337610390932936, 0.43280662134190556, 0.554645533531598, 0.8679178641634565, 0.5981612049806017]"
B0/seed0/stage0/REFUGE/pair00,0,0,R0,class_balanced,classifier.mu,8,0.022417103987567133,0.01021641302692564,0.12435022989908855,0.27742605680794113,0.014459083097445062,0,0,"[0.39008714763931607, -0.5969127367618138, 0.30989138796847776, -0.5512417736551142, 0.5657766259154405, -0.8975256560617899, -0.48620638037438546, -0.6319014385856688]","[0.46040899433885507, 0.43747919182654393, 0.13223971548519722, 0.2690771888796511, 0.12629066405364006, 0.37525304576848784, 0.3845084454993622, 0.31255889665325237]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,pixel_normalized,global,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.0465740670921649,0.0007276610770661487,0,0,"[-0.7498983189313597, -0.742761507431856, -0.18701028853595966, -0.5021045022151475, -0.18825505893954703, -0.2981173798250232, -0.5191520315939627, -0.637077924391972]","[0.20317485628459128, 0.16210934784180342, 0.1569246142899654, 0.14585387774915984, 0.12378119230914937, 0.12300178999607081, 0.11781725096465012, 0.1268813779579837]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,pixel_normalized,encoder,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.013091944458938224,0.0014749053544196936,0,0,"[-0.43148407094265095, -0.4289873850026948, -0.12116960477340125, -0.2414501414721158, -0.13046186746508437, -0.168136593813847, -0.21383871895639894, -0.278611245072042]","[0.3282246621795194, 0.24420763622635183, 0.2779772288662793, 0.28826763946444506, 0.22167317436634473, 0.2623665607721424, 0.2180849113758259, 0.20842529826054054]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,pixel_normalized,bottleneck,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.0009557253159040369,0.00025086750836037495,0,0,"[-0.8061948307887761, -0.8117637873001307, -0.8971106224171588, -0.8200432507702807, -0.8566543164229848, -0.8341042900059374, -0.8091690219857294, -0.7985762688003696]","[0.14285325830791185, 0.12534677706896336, 0.11599056148763359, 0.10876275716101529, 0.09471224602559111, 0.09678800105489882, 0.09942571154651045, 0.09837210179674717]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,pixel_normalized,dec3,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.00013011732188297659,0.00042111627754355826,0,0,"[-0.9105833973830874, -0.8994941660898784, -0.8701347556005405, -0.9051832404964281, -0.9035624074652993, -0.8963963290845277, -0.8935947936837163, -0.8942718922973601]","[0.17665752445675728, 0.14238589277133912, 0.1416003195925486, 0.15512398600042016, 0.1250259885755183, 0.1483865537065483, 0.11490847061293258, 0.1105444773697257]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,pixel_normalized,dec2,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.10726628899370662,0.0004461851358872546,0,0,"[-0.2877327057842433, -0.3023656684916126, 0.5548431344315575, 0.37202837912549197, 0.5336880973706211, 0.4607948422219201, 0.3469987356341233, 0.07954033526410265]","[0.1159649538364257, 0.09366875266634987, 0.1430467423674574, 0.09596346669258045, 0.10519106593917828, 0.09604479343439967, 0.07563801432509687, 0.07225611270608573]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,pixel_normalized,dec1,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.1895665111491524,0.0009377620244112369,0,0,"[-0.6053770378527873, -0.5264777632543327, 0.5816362599975506, -0.016194827394079517, 0.5725355612820989, 0.3548135739593766, -0.022332643740835538, -0.2837199616768773]","[0.18764227829718944, 0.14605917722293726, 0.18601449717128304, 0.12500966752267065, 0.14585388977078562, 0.11861324963039672, 0.10141537589739584, 0.11044907370194415]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,pixel_normalized,classifier.mu,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.008035210773356168,0.0009709240306030491,0,0,"[-0.9371044414743164, -0.9266374794661668, -0.703338109689109, -0.8771859831340932, -0.6979790270259422, -0.7929885498432907, -0.8706632614841855, -0.9031026833182416]","[0.17962695123507488, 0.1497973931353674, 0.1102182212699171, 0.1132054939204988, 0.08639846974916235, 0.07991374421714122, 0.09725876008650136, 0.11349833572764079]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,class_balanced,global,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.00029087916754323294,0.013219760489805612,0,0,"[-0.550724903587176, -0.5419853708319771, -0.5621418835486358, -0.5889376087444115, -0.564185255425225, -0.5700907989882982, -0.5598970417589744, -0.5963934145449713]","[0.7442155385016134, 0.7262551400442053, 0.8762986374311725, 1.0675297610472496, 0.9071396108182452, 1.043968190784502, 0.8882012728447408, 0.9419461588889783]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,class_balanced,encoder,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.00038047311298991136,0.11926691593785174,0,0,"[-0.3081668663896122, -0.3219663627858457, -0.34513045414278887, -0.34642135873905244, -0.3564726405945327, -0.3421739462683955, -0.3046618171307155, -0.3071835833649886]","[1.4304666632328642, 1.3344551150461255, 1.8535796628427696, 2.3383648460391546, 2.0226574126943717, 2.343889787469874, 1.9562321847109572, 1.9674246166325295]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,class_balanced,bottleneck,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.0010651188571716395,0.003842172424895352,0,0,"[-0.9184932164722786, -0.9410188019960488, -0.905373400301596, -0.8607281675897597, -0.8752608914956267, -0.8298842369017272, -0.8795138596247579, -0.8992519804578042]","[0.5170611087301364, 0.557573109558961, 0.5851593713723522, 0.7004915438989524, 0.6091786799245953, 0.6803965590032245, 0.6650869378115898, 0.6734230449732045]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,class_balanced,dec3,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,9.384224567139919e-06,0.035035487477922574,0,0,"[-0.9171862923520325, -0.9163392026615833, -0.9108038327896968, -0.9179699898027706, -0.9202919748208818, -0.9140034181956196, -0.9148343706471254, -0.9205722767580119]","[0.6647654133510514, 0.6852686125076274, 0.8412235945244009, 1.1731075440151293, 0.9954511890642139, 1.2094144935445197, 0.9569329007153858, 0.9282864502935201]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,class_balanced,dec2,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.0028636967800215324,0.0028396539196658428,0,0,"[0.10475731336119844, 0.04939355016869627, 0.2029475701499908, 0.0582311045237024, 0.07360065032277818, 0.0470180952844617, 0.15328291440622932, 0.05495033374607677]","[0.443891248060753, 0.42342444082353986, 0.5366674193457912, 0.5855305560471119, 0.5114025056477943, 0.5714017948556309, 0.496895288935492, 0.48618159361169816]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,class_balanced,dec1,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.027256467448444725,0.009655385229411992,0,0,"[-0.08915013627982744, 0.004307563225694683, -0.24319860591213777, -0.4686319551640308, -0.3745444331781694, -0.4642306272472105, -0.37921198027250735, -0.4027751745861077]","[0.6493673872517359, 0.6398186945218132, 0.7395369434209353, 0.9282329122512172, 0.7635773330887459, 0.9042681808453475, 0.7474642198973944, 0.805200980272085]"
B0/seed0/stage0/REFUGE/pair00,0,0,R1,class_balanced,classifier.mu,8,0.022417103987567133,0.01467238532172309,0.12435022989908855,0.0003760829893172439,0.0019183763597213801,0,0,"[-0.8983219959135555, -0.8844739240466677, -0.9221631274198869, -0.9388307381271812, -0.9354365909351026, -0.9385928011711661, -0.9333846027360123, -0.935627211613015]","[0.5905559912629933, 0.5980310269342903, 0.6285508739693287, 0.710898296657422, 0.5954186819014504, 0.663602676633586, 0.5965587646249878, 0.6835884320122505]"
B0/seed0/stage0/REFUGE/pair00,0,0,R2,pixel_normalized,global,8,0.022417103987567133,0.043022997046671535,0.12435022989908855,0.015549167796013973,0.00022114158436256564,0,0,"[-0.6189304447884227, -0.5977310006055611, -0.26574334395592347, -0.3998124857989549, -0.3240927828949367, -0.29113313149261966, -0.43934001511970805, -0.476628242253048]","[0.1621894101357678, 0.13762787209615043, 0.14175629090700656, 0.13207985364835645, 0.11501589190419834, 0.11123194440661399, 0.12971446157645009, 0.12935847679719725]"
B0/seed0/stage0/REFUGE/pair00,0,0,R2,pixel_normalized,encoder,8,0.022417103987567133,0.043022997046671535,0.12435022989908855,0.002525890087562691,0.000595036150043199,0,0,"[-0.2739026603942794, -0.23629679457075933, -0.2553463443191003, -0.19680060481413097, -0.2574701552397751, -0.19244651407397348, -0.12071975121077809, -0.15818662753554985]","[0.27244272307323775, 0.22684596669854476, 0.29168265145410577, 0.2475165857618494, 0.2385419339452138, 0.2244226877761854, 0.22591514437196028, 0.21879741431292554]"
B0/seed0/stage0/REFUGE/pair00,0,0,R2,pixel_normalized,bottleneck,8,0.022417103987567133,0.043022997046671535,0.12435022989908855,0.004711316501856486,0.0006046096763643729,0,0,"[-0.6987221599737569, -0.6940239896163319, -0.8653279199762375, -0.8030540183754362, -0.8504475008985913, -0.8440692120616536, -0.7049886597214817, -0.7432763585728658]","[0.2219841961748136, 0.18847513729665083, 0.26264267212073783, 0.20017090320507294, 0.2085193153925983, 0.18462713331694516, 0.18795987626258864, 0.1903593951763091]"
