candidate,seed,stage_index,class_id,bin,lower,upper,count,mass,mean_confidence,accuracy,empty
R0,0,0,overall,0,0.0,0.06666666666666667,0,0.0,,,True
R0,0,0,overall,1,0.06666666666666667,0.13333333333333333,0,0.0,,,True
R0,0,0,overall,2,0.13333333333333333,0.2,0,0.0,,,True
R0,0,0,overall,3,0.2,0.26666666666666666,0,0.0,,,True
R0,0,0,overall,4,0.26666666666666666,0.3333333333333333,0,0.0,,,True
R0,0,0,overall,5,0.3333333333333333,0.4,15394,0.0010439724392361442,0.3780793323967694,0.35546316746784457,False
R0,0,0,overall,6,0.4,0.4666666666666667,55606,0.0037710232204862305,0.4388438640312081,0.39091105276409016,False
R0,0,0,overall,7,0.4666666666666667,0.5333333333333333,287861,0.019521823459202007,0.5091851874146781,0.4517770729622978,False
R0,0,0,overall,8,0.5333333333333333,0.6,434565,0.029470825195313435,0.5668213645087732,0.4835318076697388,False
R0,0,0,overall,9,0.6,0.6666666666666666,454942,0.030852728949653754,0.6336670190468114,0.5117311657310163,False
R0,0,0,overall,10,0.6666666666666666,0.7333333333333333,493534,0.03346991644965383,0.700659699363424,0.5435370207523695,False
R0,0,0,overall,11,0.7333333333333333,0.8,571608,0.038764648437501194,0.7677440524914195,0.5807423968873782,False
R0,0,0,overall,12,0.8,0.8666666666666667,725122,0.04917548285590423,0.8350072769491004,0.6278281447811552,False
R0,0,0,overall,13,0.8666666666666667,0.9333333333333333,1114379,0.07557366265191201,0.9032012481843658,0.694713378482546,False
R0,0,0,overall,14,0.9333333333333333,1.0,10592589,0.7183559163411493,0.9909033310927897,0.9139825967004134,False
R0,0,0,0,0,0.0,0.06666666666666667,0,0.0,,,True
R0,0,0,0,1,0.06666666666666667,0.13333333333333333,0,0.0,,,True
R0,0,0,0,2,0.13333333333333333,0.2,0,0.0,,,True
R0,0,0,0,3,0.2,0.26666666666666666,0,0.0,,,True
R0,0,0,0,4,0.26666666666666666,0.3333333333333333,0,0.0,,,True
R0,0,0,0,5,0.3333333333333333,0.4,5517,0.0005193012858857003,0.37842635534427255,0.6204084179182225,False
R0,0,0,0,6,0.4,0.4666666666666667,20951,0.00197484185035803,0.43931917874507576,0.6643901024885904,False
R0,0,0,0,7,0.4666666666666667,0.5333333333333333,130568,0.01184512084103402,0.5097769231877292,0.7663416927286534,False
R0,0,0,0,8,0.5333333333333333,0.6,210833,0.018917873118118305,0.5670755716031359,0.7986343747789839,False
R0,0,0,0,9,0.6,0.6666666666666666,231426,0.020599504813105348,0.633946457354426,0.8138631101257391,False
R0,0,0,0,10,0.6666666666666666,0.7333333333333333,264820,0.023441067923842845,0.7009224211028682,0.8308818981833518,False
R0,0,0,0,11,0.7333333333333333,0.8,326347,0.028666658958939294,0.7680621123625456,0.8480423206213992,False
R0,0,0,0,12,0.8,0.8666666666666667,447026,0.03883988603815708,0.8353942390851146,0.8673007316941335,False
R0,0,0,0,13,0.8666666666666667,0.9333333333333333,764105,0.065447236979247,0.903782919269321,0.8904130067520877,False
R0,0,0,0,14,0.9333333333333333,1.0,9837945,0.7897485081913086,0.991771518997742,0.9610559976775969,False
R0,0,0,1,0,0.0,0.06666666666666667,0,0.0,,,True
R0,0,0,1,1,0.06666666666666667,0.13333333333333333,0,0.0,,,True
R0,0,0,1,2,0.13333333333333333,0.2,0,0.0,,,True
R0,0,0,1,3,0.2,0.26666666666666666,0,0.0,,,True
R0,0,0,1,4,0.26666666666666666,0.3333333333333333,0,0.0,,,True
R0,0,0,1,5,0.3333333333333333,0.4,4968,0.0044252534582258085,0.3782428260061207,0.5290559450125293,False
R0,0,0,1,6,0.4,0.4666666666666667,17810,0.015632940163541647,0.4384903637125973,0.5564844966429696,False
R0,0,0,1,7,0.4666666666666667,0.5333333333333333,86079,0.07179944015571543,0.5085942756960904,0.4513213429798343,False
R0,0,0,1,8,0.5333333333333333,0.6,124463,0.10100203666842733,0.5664161336816941,0.4281025717400047,False
R0,0,0,1,9,0.6,0.6666666666666666,125717,0.1001204900172856,0.6334168039145789,0.4426515498470299,False
R0,0,0,1,10,0.6666666666666666,0.7333333333333333,129067,0.10142707108630264,0.7003116378136843,0.45476106075512673,False
R0,0,0,1,11,0.7333333333333333,0.8,139737,0.10781618836412811,0.7671475725578178,0.46875779276933405,False
R0,0,0,1,12,0.8,0.8666666666666667,160031,0.12073878457467183,0.8341838052113347,0.487526402888343,False
