candidate,seed,stage_index,class_id,maximum_supported_coverage,common_upper_bound,common_support_AURC,reference_common_support_AURC,full_support_AURC,actual_shared_points,reliability_ECE_15,probability_ECE_15,multiclass_Brier,calibration_probability_available_mass,positive_pixel_count,full_valid_pixel_count,null_count,null_case_balanced_mass,case_count,ranked_coverage_sha256,ranked_risk_sha256,full_curve_storage
R3,1,0,overall,0.999999864121553,0.37878892683398846,0.011901637420123241,0.04570665264746764,0.025039543624515964,"[0.05, 0.1, 0.2, 0.3]",0.19069311733454067,0.05822286109166243,0.1575069820534092,0.9999999999999684,14745598,14745600,2,1.3563368055555556e-07,100,246f22dabaf6bd3df273d5f77d571e3c646f832471696d92b34d34cdbae5f2fb,617c815d7ac5228b1ed1e95b85fd9cd71ec580bd3e6788cf7fb83e42e4c6e7af,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,0,0,0.9999998499173699,0.379860920734228,0.011544059621697718,0.011335758943996087,0.011782188164195207,"[0.05, 0.1, 0.2, 0.3]",0.18474223824630992,0.024727069341560437,0.08385145767552826,0.9999999999999984,13104540,13104542,2,1.5004538873009086e-07,100,d20bcfd0d8476966d91fa2689e2761a9afbb09d920d008a9a87e543cef1366b8,e1627a609398a542014b55a6c047180f2190a04259bf2b5005a046132328e64b,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,0,1,1.0,0.4144484453445625,0.32811505554411846,0.29788873336906124,0.35983323334446715,"[0.05, 0.1, 0.2, 0.3, 0.4]",0.3901117952928076,0.2625148635821123,0.6315821623650157,1.0000000000000004,1346843,1346843,0,0.0,100,916db5cd85a32ea792f47a846cd33c6687c52c1edce76d6014265c2aed0e4e28,da127d4c76c0159a3d56977e79dd840d573b4b39c295fc7ffe976db140edb1d2,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,0,2,1.0,0.2871201702757627,0.11443300989381637,0.24442878909512164,0.3494089733871563,"[0.05, 0.1, 0.2]",0.061032449768655087,0.4260716451433575,0.8843460094428679,0.9999999999999978,294215,294215,0,0.0,100,e16fd3ae2454a4331dc41147b73c01c80be47cfb7e6effcc5cdd8a5030745e8f,3f9f08c75543ca5899afd3ad8a65a4bdb37cf9f4271ab8cff00f831d8b87397c,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,0,foreground_macro,1.0,,0.22127403271896742,0.2711587612320914,0.35462110336581176,"[0.05, 0.1, 0.2]",0.22557212253073133,0.3442932543627349,0.7579640859039418,0.9999999999999991,1641058,1641058,0,0.0,100,,,equal rim/cup macro; class-specific common-support bounds and raw curve hashes are reported separately
R0,1,1,overall,0.9999999999859658,0.3686435275559171,0.007121477396446148,0.04027066595074627,0.034498812245449505,"[0.05, 0.1, 0.2, 0.3]",0.07524067176880864,0.07524067176880864,0.2097740195774278,0.9999999999999968,5898240,5898240,0,0.0,40,d1e71ffee26ad414f93462c3eb97ddfa99f503222f32c6ce2b8a74986d95e1b2,abdb39af37474200afc14dbce4e66a880a53a640db0fa169456ee593d6404fb5,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,1,1,0,1.0,0.38131183494924653,0.005377452652093212,0.00468092488428878,0.013439116269963235,"[0.05, 0.1, 0.2, 0.3]",0.02836157854451185,0.02836157854451185,0.09384154829109774,1.0000000000000007,5107564,5107564,0,0.0,40,1c858abd1aae338b459317a3ff09b37b587fd1b1021eed33002b3a8608ef562b,2b29e41fd36a13a1c2d23d7ab6d88cabe41c563e4e61bbbc215b271fb8a08dbb,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,1,1,1,1.0,0.4265957632909677,0.41396057773799966,0.31930041817569155,0.448794041611575,"[0.05, 0.1, 0.2, 0.3, 0.4]",0.3646786942391792,0.3646786942391792,0.8054026443647093,1.0000000000000002,531830,531830,0,0.0,40,279bd56ff015738165b04e8ee3521063ed2bcd745ee315cb468cacc2766d9077,8d4c0e1459cfbc63a0e98bbeade886afab67c10638ae3cce1aa02e227da0c93e,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,1,1,2,1.0,0.0518200815003462,0.9382441909624711,0.6273295773300761,0.9143886833376917,[0.05],0.6552426558181863,0.6552426558181863,1.100177267737794,0.9999999999999983,258846,258846,0,0.0,40,60773c6547bd07c42aaf732871084eb84972ee7b34f2394f211416cc465004d0,b3efebcda086f396573b3d1a2ebf1f3505d950a9cdb33631f6912f92abddded0,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,1,1,foreground_macro,1.0,,0.6761023843502354,0.4733149977528838,0.6815913624746334,[0.05],0.5099606750286827,0.5099606750286827,0.9527899560512516,0.9999999999999993,790676,790676,0,0.0,40,,,equal rim/cup macro; class-specific common-support bounds and raw curve hashes are reported separately
R1,1,1,overall,0.3686435275559171,0.3686435275559171,0.04027066595074627,0.04027066595074627,0.04027066595074627,"[0.05, 0.1, 0.2, 0.3]",0.5294289482964419,0.07524067176880864,0.2097740195774278,0.9999999999999968,2174348,5898240,0,0.0,40,1e056a1e14a3e142661b1d649e8f2ef8a66f9733ae976cfd4ec118bb5927c8d4,cdb961aad063ee8a33793b0b8c306cc5ebbf820a24bf682b0726bc8dec39d16d,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,1,1,0,0.38131183494924653,0.38131183494924653,0.00468092488428878,0.00468092488428878,0.00468092488428878,"[0.05, 0.1, 0.2, 0.3]",0.5728283950393851,0.02836157854451185,0.09384154829109774,1.0000000000000007,1942060,5107564,0,0.0,40,fd28b433519a2c467e2750055ee6a81d2d99f69428249a237b866b4bf9d62134,b833541a3eb3c91789b515899459bd5c786757f24b12364bc51773ca40181c2b,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,1,1,1,0.4265957632909677,0.4265957632909677,0.31930041817569155,0.31930041817569155,0.31930041817569155,"[0.05, 0.1, 0.2, 0.3, 0.4]",0.3374638934418061,0.3646786942391792,0.8054026443647093,1.0000000000000002,224805,531830,0,0.0,40,03979a3e46c1406642d2f7f2981348703c8e785595a010533094a87ff86f7942,74f7de3d77ae75b779dbacdacd23ffa99bb0fea75f22292a8b380aa09b3f0d5e,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,1,1,2,0.0518200815003462,0.0518200815003462,0.6273295773300761,0.6273295773300761,0.6273295773300761,[0.05],0.08726455198360503,0.6552426558181863,1.100177267737794,0.9999999999999983,7483,258846,0,0.0,40,8ccc6b9fb74be07840eb4d7e12711f9fbdaad34eb1653af7ac03301c3d16287b,22b5f7f14c0d9741cb04ffdd295b3eb5f1e34b717b22a6481513b97e946679b1,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,1,1,foreground_macro,0.0518200815003462,,0.4733149977528838,0.4733149977528838,0.4733149977528838,[0.05],0.21236422271270555,0.5099606750286827,0.9527899560512516,0.9999999999999993,232288,790676,0,0.0,40,,,equal rim/cup macro; class-specific common-support bounds and raw curve hashes are reported separately
R2,1,1,overall,0.9999999999859658,0.3686435275559171,0.005187736753488398,0.04027066595074627,0.020343051328271893,"[0.05, 0.1, 0.2, 0.3]",0.06664250401466564,0.07524067176880864,0.2097740195774278,0.9999999999999968,5898240,5898240,0,0.0,40,d1e71ffee26ad414f93462c3eb97ddfa99f503222f32c6ce2b8a74986d95e1b2,9b20cd4cf54e7e2ea564c7f3ece05f18fd31fdc81de70e5ac384e1cc256f5c6e,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R2,1,1,0,1.0,0.38131183494924653,0.005118835184812605,0.00468092488428878,0.007658630092224678,"[0.05, 0.1, 0.2, 0.3]",0.06826064013546779,0.02836157854451185,0.09384154829109774,1.0000000000000007,5107564,5107564,0,0.0,40,295076387e79890e647f865f07f4bb1271f267a1819caed4369599a5c0dd9b63,7fd259977a212338f0a388fce14189f679cafbf977a18d83a479e9d7876faca5,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R2,1,1,1,1.0,0.4265957632909677,0.4580029483408923,0.31930041817569155,0.4533564424230488,"[0.05, 0.1, 0.2, 0.3, 0.4]",0.24396578530613258,0.3646786942391792,0.8054026443647093,1.0000000000000002,531830,531830,0,0.0,40,d8d6813806057d4659037a4de9f9b1081b7d27ae03e1e43207ef47ccec952de7,daab2f3332906932bc38923002ca1526fcbaca5d4ced64f8a03ffb384570ab0b,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R2,1,1,2,0.9999999999999719,0.0518200815003462,0.28658771198979677,0.6273295773300761,0.7745770252914531,[0.05],0.03208783643244861,0.6552426558181863,1.100177267737794,0.9999999999999983,258846,258846,0,0.0,40,2662e2dc65c629ccd4b0749617bd042c7ef76ad6e2a6ca23887d124eab6a082c,a3f5d5ecd4d2e612cd00ab2f6bb27bb2ed89b69cd5622609828f97790e0ba03e,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R2,1,1,foreground_macro,0.9999999999999719,,0.37229533016534455,0.4733149977528838,0.613966733857251,[0.05],0.13802681086929058,0.5099606750286827,0.9527899560512516,0.9999999999999993,790676,790676,0,0.0,40,,,equal rim/cup macro; class-specific common-support bounds and raw curve hashes are reported separately
R3,1,1,overall,0.9999999999859658,0.3686435275559171,0.004143703173528878,0.04027066595074627,0.0212970270803349,"[0.05, 0.1, 0.2, 0.3]",0.14646561311864995,0.07524067176880864,0.2097740195774278,0.9999999999999968,5898240,5898240,0,0.0,40,d1e71ffee26ad414f93462c3eb97ddfa99f503222f32c6ce2b8a74986d95e1b2,2c273df114f4b9699a68a64505a4d28a52cc96c5ae31c70aa01f09818f97138b,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,1,0,1.0,0.38131183494924653,0.004110462878868017,0.00468092488428878,0.006512194742303437,"[0.05, 0.1, 0.2, 0.3]",0.1414774469031013,0.02836157854451185,0.09384154829109774,1.0000000000000007,5107564,5107564,0,0.0,40,321e11413e57c2f7fc3dd82ab4306ce466afb577f8cc4c4e14f6a704c628dc22,968981d324f4341ca44f0c1b3ea555fa08dd994d98da0260986db39919c69eb9,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,1,1,1.0,0.4265957632909677,0.5230313688264342,0.31930041817569155,0.49189659497294513,"[0.05, 0.1, 0.2, 0.3, 0.4]",0.3922445834294293,0.3646786942391792,0.8054026443647093,1.0000000000000002,531830,531830,0,0.0,40,033647c247ac31c876f865dbc0dbb8458e7bd4f66b2d0cb57f153701e0d0be90,ee0c243aa437b23beb0f8c2351e5ce76320768cfbba09d89c77cca4c1418db8d,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,1,2,0.9999999999999816,0.0518200815003462,0.2819215000794805,0.6273295773300761,0.7735625877662207,[0.05],0.03198756581322089,0.6552426558181863,1.100177267737794,0.9999999999999983,258846,258846,0,0.0,40,af16f67570762f40c8550620211e37e08db19f7cfce3805bf3f0e95ccbdb8bb3,adb2a39ebdf4b83c0894de7e22e33b77a080444bdd5f7000273a8d075cf53bce,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,1,foreground_macro,0.9999999999999816,,0.40247643445295733,0.4733149977528838,0.632729591369583,[0.05],0.2121160746213251,0.5099606750286827,0.9527899560512516,0.9999999999999993,790676,790676,0,0.0,40,,,equal rim/cup macro; class-specific common-support bounds and raw curve hashes are reported separately
R0,1,2,overall,1.0,0.3783192274355587,0.007989564492035726,0.044916541806503486,0.05493093427522756,"[0.05, 0.1, 0.2, 0.3]",0.1270061695868444,0.1270061695868444,0.3164935933309355,1.000000000000004,3686400,3686400,0,0.0,25,be3fa21b7ed4817a005d1838bd123c7496335ecf2d2650f4661c4ed07ce5a42c,1b728cd1744e1a7289b248075695b2e6a8adedc7c81ee7872094ae8cdc2791a2,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,1,2,0,0.999999999989696,0.42182037960155605,0.0035590835691716293,0.012213406464211941,0.01656908918788886,"[0.05, 0.1, 0.2, 0.3, 0.4]",0.04146270920726401,0.04146270920726401,0.14468552154589084,0.9999999999999998,2999306,2999306,0,0.0,25,266f9900881f80d81799c334b0be4c1123ab85a429f4b0e0a3424d7f766a3953,661bd3dddb345c2de8079b010656c3d167b602108329136d124b7ca6582140d3,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,1,2,1,1.0,0.29478232898902307,0.6228675078614071,0.35692702626680023,0.5888830996383031,"[0.05, 0.1, 0.2]",0.42271086902963695,0.42271086902963695,0.982062795995089,1.0000000000000002,482981,482981,0,0.0,25,11b3debb2a0a7cb9f427c3c57954d302827b00bcfdb4fa9a8c8497e9d9caa968,1db2b014e913b28661d8f997c1b4efef0131c9ac39f15a271f2384077f726984,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,1,2,2,1.0,0.05397773614129288,0.7774630499870673,0.11398688886535142,0.7411764602751191,[0.05],0.468635805920782,0.468635805920782,0.9420540875917929,1.0000000000000002,204113,204113,0,0.0,25,8067f05da614a5c2e173e0103eee5dce0281325ed6ef7a51278eaac6eb9c208e,0516ca84059b325f8f213da9c1665baf49d3dff8ba796e0310c92f4efe130de0,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,1,2,foreground_macro,1.0,,0.7001652789242372,0.23545695756607582,0.6650297799567111,[0.05],0.4456733374752095,0.4456733374752095,0.962058441793441,1.0000000000000002,687094,687094,0,0.0,25,,,equal rim/cup macro; class-specific common-support bounds and raw curve hashes are reported separately
R1,1,2,overall,0.3783192274355587,0.3783192274355587,0.044916541806503486,0.044916541806503486,0.044916541806503486,"[0.05, 0.1, 0.2, 0.3]",0.45821831597222057,0.1270061695868444,0.3164935933309355,1.000000000000004,1394636,3686400,0,0.0,25,fb8b472123a2b7dc7866143ee7e3b5bc41fc14df6439f0145119464d0681e2e8,3599c0deb69550bb25c13b9f0ed287b1db333113d0382d4d574643ee9007ac8c,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,1,2,0,0.42182037960155605,0.42182037960155605,0.012213406464211941,0.012213406464211941,0.012213406464211941,"[0.05, 0.1, 0.2, 0.3, 0.4]",0.5039862558982644,0.04146270920726401,0.14468552154589084,0.9999999999999998,1252077,2999306,0,0.0,25,fcffdfd6f1f2942bbc2ba124d49d443e09c227e4d7e5cd003654ecee7a6cb175,bc5a7d5813ac9c87ad80ae1b13e981270f73c664927be4c902c899ff317abb94,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,1,2,1,0.29478232898902307,0.29478232898902307,0.35692702626680023,0.35692702626680023,0.35692702626680023,"[0.05, 0.1, 0.2]",0.3207202474431042,0.42271086902963695,0.982062795995089,1.0000000000000002,134266,482981,0,0.0,25,a6ac770d6cb4df17d2c67e772b9e379fdad0c137cbb15e68f07211d0d23c5165,80f9be959c211a1e7744a1ba8b6d31268c20e23dd4a3e459e9ca572fcba4f317,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,1,2,2,0.05397773614129288,0.05397773614129288,0.11398688886535142,0.11398688886535142,0.11398688886535142,[0.05],0.2058769497778057,0.468635805920782,0.9420540875917929,1.0000000000000002,8293,204113,0,0.0,25,3d23ec66d4dd9862f41d3e67b0a3d4d2b5c8a3754976a6f00a7660f0bb668a69,c944382777ad1aeb1c1d0412e89df9e65f27186287d663859724ab57ef42db83,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,1,2,foreground_macro,0.05397773614129288,,0.23545695756607582,0.23545695756607582,0.23545695756607582,[0.05],0.26329859861045496,0.4456733374752095,0.962058441793441,1.0000000000000002,142559,687094,0,0.0,25,,,equal rim/cup macro; class-specific common-support bounds and raw curve hashes are reported separately
