arm,order,step,risk,alpha,geometry,fine,coarse,unselected_valid,coarse_fraction,training_L_uniform_risk_disagreement,same_state_U_weight_mask_disagreement,same_state_U_XOR,same_state_U_Jaccard,scope
A1,1,525,"[0.25, 0.25, 0.25]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,273850,12439,8623,0.04217868381076389,0,NA,NA,NA,four_fixed_points_only
A1,1,1050,"[0.25, 0.25, 0.25]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,282215,8082,4615,0.02740478515625,0,NA,NA,NA,four_fixed_points_only
A1,1,1575,"[0.25, 0.25, 0.25]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,285913,5079,3920,0.017222086588541668,0,NA,NA,NA,four_fixed_points_only
A1,1,2100,"[0.25, 0.25, 0.25]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,288434,2074,4404,0.007032606336805556,0,NA,NA,NA,four_fixed_points_only
A2,1,525,"[0.011452384293079376, 0.03199545666575432, 0.019777944311499596]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,272874,0,22038,0.0,0,NA,NA,NA,four_fixed_points_only
A2,1,1050,"[0.012210479006171227, 0.02744973450899124, 0.017875298857688904]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,284097,0,10815,0.0,0,NA,NA,NA,four_fixed_points_only
A2,1,1575,"[0.013894195668399334, 0.03075907938182354, 0.01823536306619644]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,283982,0,10930,0.0,0,NA,NA,NA,four_fixed_points_only
A2,1,2100,"[0.01400106493383646, 0.03140416741371155, 0.01906457729637623]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,289007,0,5905,0.0,0,NA,NA,NA,four_fixed_points_only
A3,1,525,"[0.011455683968961239, 0.032001934945583344, 0.01978372037410736]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,272875,12325,9712,0.04179212782118055,0,NA,NA,NA,four_fixed_points_only
A3,1,1050,"[0.01223263330757618, 0.027491562068462372, 0.0179190281778574]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,284118,5952,4842,0.020182291666666668,0,NA,NA,NA,four_fixed_points_only
A3,1,1575,"[0.013885931111872196, 0.03076413832604885, 0.018259022384881973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,283985,5835,5092,0.019785563151041668,0,NA,NA,NA,four_fixed_points_only
