arm,order,step,risk,alpha,geometry,fine,coarse,unselected_valid,coarse_fraction,training_L_uniform_risk_disagreement,same_state_U_weight_mask_disagreement,same_state_U_XOR,same_state_U_Jaccard,scope
A3,1,2100,"[0.014001675881445408, 0.03142886608839035, 0.01909423992037773]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,289010,1828,4074,0.006198459201388889,0,NA,NA,NA,four_fixed_points_only
A4,1,525,"[0.011457432061433792, 0.03200391307473183, 0.019786614924669266]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,272878,8827,13207,0.029930962456597224,0,NA,NA,NA,four_fixed_points_only
A4,1,1050,"[0.012224249541759491, 0.027467122301459312, 0.017899194732308388]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,284101,5580,5231,0.0189208984375,0,NA,NA,NA,four_fixed_points_only
A4,1,1575,"[0.013891089707612991, 0.030735842883586884, 0.01825007051229477]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,284006,5781,5125,0.019602457682291668,0,NA,NA,NA,four_fixed_points_only
A4,1,2100,"[0.0139915244653821, 0.03137947618961334, 0.01907939277589321]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,289018,1825,4069,0.006188286675347222,0,NA,NA,NA,four_fixed_points_only
A5,1,525,"[0.011455530300736427, 0.03200209140777588, 0.01978408358991146]","[0.35600173473358154, 0.3084540367126465, 0.3355441987514496]",294912,272874,8860,13178,0.030042860243055556,0,NA,NA,NA,four_fixed_points_only
A5,1,1050,"[0.012227613478899002, 0.02747664600610733, 0.017902353778481483]","[0.3496968150138855, 0.31438148021698, 0.33592167496681213]",294912,284121,5570,5221,0.018886990017361112,0,NA,NA,NA,four_fixed_points_only
A5,1,1575,"[0.01389420684427023, 0.030757738277316093, 0.018248176202178]","[0.349802702665329, 0.311037540435791, 0.3391597270965576]",294912,284000,5781,5131,0.019602457682291668,0,NA,NA,NA,four_fixed_points_only
A5,1,2100,"[0.01399983186274767, 0.03140221908688545, 0.019085193052887917]","[0.35083359479904175, 0.3107696771621704, 0.33839669823646545]",294912,289014,1831,4067,0.006208631727430556,0,NA,NA,NA,four_fixed_points_only
A1,2,800,"[0.25, 0.25, 0.25]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,287580,314,7018,0.001064724392361111,0,NA,NA,NA,four_fixed_points_only
A1,2,1600,"[0.25, 0.25, 0.25]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,288282,1139,5491,0.0038621690538194445,0,NA,NA,NA,four_fixed_points_only
A1,2,2400,"[0.25, 0.25, 0.25]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,288653,3133,3126,0.010623508029513888,0,NA,NA,NA,four_fixed_points_only
A1,2,3200,"[0.25, 0.25, 0.25]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,291158,751,3003,0.0025465223524305555,0,NA,NA,NA,four_fixed_points_only
A2,2,800,"[0.029797935858368874, 0.055361710488796234, 0.030605681240558624]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,291091,0,3821,0.0,0,NA,NA,NA,four_fixed_points_only
A2,2,1600,"[0.02709837257862091, 0.04825128987431526, 0.02866053208708763]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,288723,0,6189,0.0,0,NA,NA,NA,four_fixed_points_only
A2,2,2400,"[0.021356821060180664, 0.03914590924978256, 0.025096196681261063]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,289406,0,5506,0.0,0,NA,NA,NA,four_fixed_points_only
A2,2,3200,"[0.024550888687372208, 0.0450698621571064, 0.028728537261486053]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,291539,0,3373,0.0,0,NA,NA,NA,four_fixed_points_only
A3,2,800,"[0.0297903623431921, 0.05531734228134155, 0.030592184513807297]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,291097,553,3262,0.0018751356336805555,0,NA,NA,NA,four_fixed_points_only
A3,2,1600,"[0.02709544450044632, 0.0482659786939621, 0.02869264967739582]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,288687,1592,4633,0.005398220486111111,0,NA,NA,NA,four_fixed_points_only
A3,2,2400,"[0.021292606368660927, 0.03908749297261238, 0.02501664310693741]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,289410,2236,3266,0.007581922743055556,0,NA,NA,NA,four_fixed_points_only
A3,2,3200,"[0.024484777823090553, 0.044993042945861816, 0.028663083910942078]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,291574,921,2417,0.0031229654947916665,0,NA,NA,NA,four_fixed_points_only
A4,2,800,"[0.029779329895973206, 0.05533190071582794, 0.030573634430766106]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,291097,416,3399,0.0014105902777777778,0,NA,NA,NA,four_fixed_points_only
A4,2,1600,"[0.02706805057823658, 0.04833957180380821, 0.028715789318084717]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,288707,1581,4624,0.005360921223958333,0,NA,NA,NA,four_fixed_points_only
A4,2,2400,"[0.021305754780769348, 0.03912946954369545, 0.025076476857066154]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,289401,2232,3279,0.007568359375,0,NA,NA,NA,four_fixed_points_only
A4,2,3200,"[0.02451281063258648, 0.04502810910344124, 0.028716811910271645]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",294912,291559,778,2575,0.0026380750868055555,0,NA,NA,NA,four_fixed_points_only
A5,2,800,"[0.029780179262161255, 0.05530807375907898, 0.030582955107092857]","[0.35300856828689575, 0.29600581526756287, 0.350985586643219]",294912,291078,420,3414,0.0014241536458333333,0,NA,NA,NA,four_fixed_points_only
A5,2,1600,"[0.02711465209722519, 0.048352498561143875, 0.028720686212182045]","[0.3506511151790619, 0.30269119143486023, 0.34665772318840027]",294912,288704,1582,4626,0.005364312065972222,0,NA,NA,NA,four_fixed_points_only
A5,2,2400,"[0.02133016660809517, 0.03913110867142677, 0.025072744116187096]","[0.3499821126461029, 0.3092186450958252, 0.3407992422580719]",294912,289419,2240,3253,0.007595486111111111,0,NA,NA,NA,four_fixed_points_only
A5,2,3200,"[0.024551762267947197, 0.045078519731760025, 0.0287312101572752]","[0.35238903760910034, 0.30555304884910583, 0.3420579731464386]",294912,291574,776,2562,0.002631293402777778,0,NA,NA,NA,four_fixed_points_only
