arm,order,step,loss,group,status,raw_norm,weighted_norm
A1,1,525,supervised,all_AB,measured,6.078547954559326,6.078547954559326
A1,1,525,supervised,aux_heads,measured,0.0,0.0
A1,1,525,supervised,aux_upstream_AB,measured,5.883965969085693,5.883965969085693
A1,1,525,KL,all_AB,measured,14.807169914245605,3.7017924785614014
A1,1,525,KL,aux_heads,measured,0.0,0.0
A1,1,525,KL,aux_upstream_AB,measured,14.761499404907227,3.6903748512268066
A1,1,525,DS,all_AB,not_applicable,NA,NA
A1,1,525,DS,aux_heads,not_applicable,NA,NA
A1,1,525,DS,aux_upstream_AB,not_applicable,NA,NA
A1,1,525,H,all_AB,measured,0.9416207075119019,0.11770258843898773
A1,1,525,H,aux_heads,measured,0.0,0.0
A1,1,525,H,aux_upstream_AB,measured,0.9401456117630005,0.11751820147037506
A1,1,1050,supervised,all_AB,measured,1.7882159948349,1.7882159948349
A1,1,1050,supervised,aux_heads,measured,0.0,0.0
A1,1,1050,supervised,aux_upstream_AB,measured,1.7111022472381592,1.7111022472381592
A1,1,1050,KL,all_AB,measured,1.798600435256958,1.798600435256958
A1,1,1050,KL,aux_heads,measured,0.0,0.0
A1,1,1050,KL,aux_upstream_AB,measured,1.7872486114501953,1.7872486114501953
A1,1,1050,DS,all_AB,not_applicable,NA,NA
A1,1,1050,DS,aux_heads,not_applicable,NA,NA
A1,1,1050,DS,aux_upstream_AB,not_applicable,NA,NA
A1,1,1050,H,all_AB,measured,0.0675852820277214,0.0337926410138607
A1,1,1050,H,aux_heads,measured,0.0,0.0
A1,1,1050,H,aux_upstream_AB,measured,0.06688322871923447,0.03344161435961723
A1,1,1575,supervised,all_AB,measured,3.09867262840271,3.09867262840271
A1,1,1575,supervised,aux_heads,measured,0.0,0.0
A1,1,1575,supervised,aux_upstream_AB,measured,2.9896416664123535,2.9896416664123535
A1,1,1575,KL,all_AB,measured,1.0368083715438843,1.0368083715438843
A1,1,1575,KL,aux_heads,measured,0.0,0.0
A1,1,1575,KL,aux_upstream_AB,measured,0.968612551689148,0.968612551689148
A1,1,1575,DS,all_AB,not_applicable,NA,NA
A1,1,1575,DS,aux_heads,not_applicable,NA,NA
A1,1,1575,DS,aux_upstream_AB,not_applicable,NA,NA
A1,1,1575,H,all_AB,measured,0.017918182536959648,0.008959091268479824
A1,1,1575,H,aux_heads,measured,0.0,0.0
A1,1,1575,H,aux_upstream_AB,measured,0.01771564595401287,0.008857822977006435
A1,1,2100,supervised,all_AB,measured,3.5594654083251953,3.5594654083251953
A1,1,2100,supervised,aux_heads,measured,0.0,0.0
A1,1,2100,supervised,aux_upstream_AB,measured,3.115621566772461,3.115621566772461
A1,1,2100,KL,all_AB,measured,2.7142467498779297,2.7142467498779297
A1,1,2100,KL,aux_heads,measured,0.0,0.0
A1,1,2100,KL,aux_upstream_AB,measured,2.706645965576172,2.706645965576172
A1,1,2100,DS,all_AB,not_applicable,NA,NA
A1,1,2100,DS,aux_heads,not_applicable,NA,NA
A1,1,2100,DS,aux_upstream_AB,not_applicable,NA,NA
A1,1,2100,H,all_AB,measured,0.00027773872716352344,0.00013886936358176172
A1,1,2100,H,aux_heads,measured,0.0,0.0
A1,1,2100,H,aux_upstream_AB,measured,0.0002226253564003855,0.00011131267820019275
A2,1,525,supervised,all_AB,measured,4.261074542999268,4.261074542999268
A2,1,525,supervised,aux_heads,measured,0.0,0.0
A2,1,525,supervised,aux_upstream_AB,measured,4.008009910583496,4.008009910583496
A2,1,525,KL,all_AB,measured,12.144543647766113,3.0361359119415283
A2,1,525,KL,aux_heads,measured,0.0,0.0
A2,1,525,KL,aux_upstream_AB,measured,12.064513206481934,3.0161283016204834
A2,1,525,DS,all_AB,measured,1.692044973373413,0.42301124334335327
A2,1,525,DS,aux_heads,measured,0.25132277607917786,0.06283069401979446
A2,1,525,DS,aux_upstream_AB,measured,1.692044973373413,0.42301124334335327
A2,1,525,H,all_AB,not_applicable,NA,NA
A2,1,525,H,aux_heads,not_applicable,NA,NA
A2,1,525,H,aux_upstream_AB,not_applicable,NA,NA
A2,1,1050,supervised,all_AB,measured,3.186601400375366,3.186601400375366
A2,1,1050,supervised,aux_heads,measured,0.0,0.0
A2,1,1050,supervised,aux_upstream_AB,measured,3.063075065612793,3.063075065612793
A2,1,1050,KL,all_AB,measured,1.0886199474334717,1.0886199474334717
A2,1,1050,KL,aux_heads,measured,0.0,0.0
A2,1,1050,KL,aux_upstream_AB,measured,1.0705573558807373,1.0705573558807373
A2,1,1050,DS,all_AB,measured,1.7134983539581299,0.42837458848953247
A2,1,1050,DS,aux_heads,measured,0.5654016137123108,0.1413504034280777
A2,1,1050,DS,aux_upstream_AB,measured,1.7134983539581299,0.42837458848953247
A2,1,1050,H,all_AB,not_applicable,NA,NA
A2,1,1050,H,aux_heads,not_applicable,NA,NA
