node_id,arm,seed,order,origin,domain,rim,cup,disc_union,macro_Dice,domain_role,delta_A0_rim_pp,delta_A0_cup_pp,delta_A0_disc_union_pp,delta_A0_macro_Dice_pp
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,A0,163,1,historical_import,REFUGE,0.714951813655913,0.7205105914125619,0.8767946157031549,0.7177312025342375,source,0.0,0.0,0.0,0.0
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,A0,163,1,historical_import,RIM_ONE_r3,0.5401228878479282,0.5867033671078096,0.7736522963716268,0.5634131274778689,first_target,0.0,0.0,0.0,0.0
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,A0,163,1,historical_import,Drishti_GS,0.7146527621332295,0.7332979724523528,0.9356174084492718,0.7239753672927911,incoming,0.0,0.0,0.0,0.0
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,A0,163,2,historical_import,REFUGE,0.6481279130345778,0.7631958159118716,0.813973808374341,0.7056618644732247,source,0.0,0.0,0.0,0.0
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,A0,163,2,historical_import,Drishti_GS,0.5193081989465872,0.5222942645802732,0.8360664134604522,0.5208012317634302,first_target,0.0,0.0,0.0,0.0
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,A0,163,2,historical_import,RIM_ONE_r3,0.7482226097449187,0.6782025624149012,0.8943764010813329,0.7132125860799099,incoming,0.0,0.0,0.0,0.0
AGMS__A1__S163__O1__STAGE2,A1,163,1,new_execution,REFUGE,0.7148061530456428,0.7204299414662776,0.8768203544829499,0.7176180472559601,source,-0.014566061027021515,-0.008064994628431688,0.002573877979505923,-0.011315527827737704
AGMS__A1__S163__O1__STAGE2,A1,163,1,new_execution,RIM_ONE_r3,0.5402308189079085,0.5863679649754792,0.7734839135974079,0.5632993919416938,first_target,0.010793105998030406,-0.033540213233040905,-0.016838277421893366,-0.011373553617510801
AGMS__A1__S163__O1__STAGE2,A1,163,1,new_execution,Drishti_GS,0.7148916420014446,0.733431653679975,0.9356201354273882,0.7241616478407098,incoming,0.023887986821513607,0.013368122762213996,0.00027269781164296347,0.018628054791869353
AGMS__A2__S163__O1__STAGE2,A2,163,1,new_execution,REFUGE,0.695713678435429,0.6964386879899387,0.8919669742802185,0.6960761832126838,source,-1.923813522048401,-2.407190342262322,1.5172358577063672,-2.165501932155367
AGMS__A2__S163__O1__STAGE2,A2,163,1,new_execution,RIM_ONE_r3,0.4322874864086642,0.5354173947530637,0.7267170358526812,0.48385244058086396,first_target,-10.783540143926395,-5.128597235474586,-4.693526051894558,-7.956068689700491
AGMS__A2__S163__O1__STAGE2,A2,163,1,new_execution,Drishti_GS,0.7274134350004169,0.7468132890029758,0.9377562650293402,0.7371133620016963,incoming,1.2760672867187406,1.351531655062299,0.21388565800684045,1.3137994708905198
AGMS__A3__S163__O1__STAGE2,A3,163,1,new_execution,REFUGE,0.6959011649740171,0.6964672126853065,0.892118579444005,0.6961841888296618,source,-1.9050648681895876,-2.404337872725537,1.53239637408501,-2.154701370457568
AGMS__A3__S163__O1__STAGE2,A3,163,1,new_execution,RIM_ONE_r3,0.43271493607466105,0.5355176024558277,0.726853081709916,0.48411626926524437,first_target,-10.740795177326712,-5.118576465198188,-4.679921466171077,-7.92968582126245
AGMS__A3__S163__O1__STAGE2,A3,163,1,new_execution,Drishti_GS,0.7277605501703927,0.7470411780464087,0.9377431260785015,0.7374008641084007,incoming,1.310778803716317,1.374320559405584,0.21257176292297508,1.342549681560956
AGMS__A4__S163__O1__STAGE2,A4,163,1,new_execution,REFUGE,0.6958315748953646,0.6965577235608857,0.89198573803504,0.6961946492281252,source,-1.9120238760548358,-2.3952867851676163,1.5191122331885132,-2.153655330611226
AGMS__A4__S163__O1__STAGE2,A4,163,1,new_execution,RIM_ONE_r3,0.43248485098288525,0.5355600733283905,0.7267334374255283,0.4840224621556379,first_target,-10.763803686504293,-5.114329377941907,-4.6918858946098485,-7.939066532223099
AGMS__A4__S163__O1__STAGE2,A4,163,1,new_execution,Drishti_GS,0.7276128660359684,0.7468783923460056,0.937708810219744,0.737245629190987,incoming,1.296010390273894,1.3580419893652773,0.20914017704721788,1.3270261898195912
AGMS__A5__S163__O1__STAGE2,A5,163,1,new_execution,REFUGE,0.6957601052742802,0.6964905233229013,0.8919876289753597,0.6961253142985908,source,-1.9191708381632755,-2.402006808966062,1.5193013272204792,-2.1605888235646686
AGMS__A5__S163__O1__STAGE2,A5,163,1,new_execution,RIM_ONE_r3,0.4325042633617079,0.5355181557315076,0.7267508606377766,0.48401120954660776,first_target,-10.76186244862203,-5.118521137630195,-4.690143573385019,-7.940191793126111
AGMS__A5__S163__O1__STAGE2,A5,163,1,new_execution,Drishti_GS,0.7276893580224179,0.7469164805815075,0.9377315937619574,0.7373029193019627,incoming,1.3036595889188374,1.361850812915466,0.21141853126855903,1.3327552009171573
AGMS__A1__S163__O2__STAGE2,A1,163,2,new_execution,REFUGE,0.6483726404601932,0.7635404698505862,0.8142362473496796,0.7059565551553897,source,0.02447274256153209,0.03446539387146341,0.026243897533861915,0.029469068216503302
AGMS__A1__S163__O2__STAGE2,A1,163,2,new_execution,Drishti_GS,0.5192530774470295,0.5220783644636429,0.8363876799294464,0.5206657209553363,first_target,-0.005512149955766432,-0.02159001166303076,0.03212664689942191,-0.013551080809393046
AGMS__A1__S163__O2__STAGE2,A1,163,2,new_execution,RIM_ONE_r3,0.7482863545110285,0.6781454099079437,0.8944209772622738,0.7132158822094861,incoming,0.006374476610981894,-0.005715250695748075,0.004457618094089177,0.00032961295761690934
