arm,backbone,checkpoint_sha256,code_commit,config_digest,cup,data_schedule_digest,deployment_equal,disc_union,domain,latency_ms_mean,latency_ms_p95,macro,optimization_seed,prefix_sha256,prefix_source_commit,rim,supported_images,task,training_code_commit
B0,UNET_QUERY_128,037aee51e276f364eff6924804d13f8832f475d82633f694f12b18ede4dc6d8b,e94413b499bcf6b348c841d80fbde93263b4c4ef,01ba70aec7ac60ff6b5b467a83f2817e27b5cd5b54d043d1e6b447bfe65c492b,0.6881114397197962,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,0.8947193048894405,RIM_ONE_r3,7.890965323895216,8.340987376868725,0.7215059187263251,261,fff5606f2e5b215c185d8055c27047cc5c37866e6bde8a97ccc44731bef457c9,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7549003977328539,40,s261__UNET_QUERY_128__RIM_ONE_r3__B0,e94413b499bcf6b348c841d80fbde93263b4c4ef
B1,UNET_QUERY_128,796240bb50b5b18a1372865909bdcbaf891fbaabfc223593825e0298aa62e2dc,e94413b499bcf6b348c841d80fbde93263b4c4ef,01ba70aec7ac60ff6b5b467a83f2817e27b5cd5b54d043d1e6b447bfe65c492b,0.6939279682934284,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,0.8969374090433121,RIM_ONE_r3,7.692732731811702,7.783639687113464,0.7245273556560278,261,fff5606f2e5b215c185d8055c27047cc5c37866e6bde8a97ccc44731bef457c9,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7551267430186271,40,s261__UNET_QUERY_128__RIM_ONE_r3__B1,e94413b499bcf6b348c841d80fbde93263b4c4ef
B2,UNET_QUERY_128,d7ba41f342543d1b932c828f0744efcbd6a954ec5a2b1cf0369463c7eabb135a,e94413b499bcf6b348c841d80fbde93263b4c4ef,01ba70aec7ac60ff6b5b467a83f2817e27b5cd5b54d043d1e6b447bfe65c492b,0.6874000757932663,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,0.8957514196634293,RIM_ONE_r3,7.619991106912494,7.664219010621309,0.7224440549500286,261,fff5606f2e5b215c185d8055c27047cc5c37866e6bde8a97ccc44731bef457c9,41dfa243f15b184d728c19422a9f23ddcb346de9,0.757488034106791,40,s261__UNET_QUERY_128__RIM_ONE_r3__B2,e94413b499bcf6b348c841d80fbde93263b4c4ef
B3,UNET_QUERY_128,7bdce73dfd612cd5810e58936009ec6fee451cabc5af82a022f414436fad62c7,e94413b499bcf6b348c841d80fbde93263b4c4ef,01ba70aec7ac60ff6b5b467a83f2817e27b5cd5b54d043d1e6b447bfe65c492b,0.6900400914251804,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,0.8951081022620201,RIM_ONE_r3,7.655545533634722,7.7469561714679,0.7230022671632469,261,fff5606f2e5b215c185d8055c27047cc5c37866e6bde8a97ccc44731bef457c9,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7559644429013133,40,s261__UNET_QUERY_128__RIM_ONE_r3__B3,e94413b499bcf6b348c841d80fbde93263b4c4ef
B0,UNET_QUERY_128,4d5abf6585bec3bd191e322e71781af1f187ce633ebd0345f0ceb005e0504de7,e94413b499bcf6b348c841d80fbde93263b4c4ef,01ba70aec7ac60ff6b5b467a83f2817e27b5cd5b54d043d1e6b447bfe65c492b,0.7647876435518265,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,0.9470904445648194,Drishti_GS,7.806703471578658,7.852138811722398,0.740157820880413,261,aab5919bd97de2a360c59097d3eab38a516e013c004947b27253ca769928dd32,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7155279982089996,25,s261__UNET_QUERY_128__Drishti_GS__B0,e94413b499bcf6b348c841d80fbde93263b4c4ef
B1,UNET_QUERY_128,93eb58cf86a05b262403de0f75ff0bec5d3001a54de90864127c4ffc05be1b3a,e94413b499bcf6b348c841d80fbde93263b4c4ef,01ba70aec7ac60ff6b5b467a83f2817e27b5cd5b54d043d1e6b447bfe65c492b,0.7653149688243865,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,0.9421655869483948,Drishti_GS,9.244291111826897,13.376506557688117,0.7381114926934242,261,aab5919bd97de2a360c59097d3eab38a516e013c004947b27253ca769928dd32,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7109080165624618,25,s261__UNET_QUERY_128__Drishti_GS__B1,e94413b499bcf6b348c841d80fbde93263b4c4ef
B2,UNET_QUERY_128,9976392ce3c53d4303de9b180b6788cca60603128e7153eef2b6d28469a9ae75,e94413b499bcf6b348c841d80fbde93263b4c4ef,01ba70aec7ac60ff6b5b467a83f2817e27b5cd5b54d043d1e6b447bfe65c492b,0.7608250677585602,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,0.9455354475975036,Drishti_GS,7.653586124069989,7.682120869867504,0.7358111554384231,261,aab5919bd97de2a360c59097d3eab38a516e013c004947b27253ca769928dd32,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7107972431182862,25,s261__UNET_QUERY_128__Drishti_GS__B2,e94413b499bcf6b348c841d80fbde93263b4c4ef
B3,UNET_QUERY_128,5198c3368eb68a10050363fc5bb28d555e834becefe95fb703aad7e186999d69,e94413b499bcf6b348c841d80fbde93263b4c4ef,01ba70aec7ac60ff6b5b467a83f2817e27b5cd5b54d043d1e6b447bfe65c492b,0.7643666237592697,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,0.9419451904296875,Drishti_GS,8.09525263030082,8.870884147472681,0.7360877615213394,261,aab5919bd97de2a360c59097d3eab38a516e013c004947b27253ca769928dd32,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7078088992834091,25,s261__UNET_QUERY_128__Drishti_GS__B3,e94413b499bcf6b348c841d80fbde93263b4c4ef
B0,DINOV2_VITS14_QUERY,4e58b04fcac07d225406c4e8244dcc5e6a7b8d2ce7f2abc6aa092746dbabad92,e94413b499bcf6b348c841d80fbde93263b4c4ef,01ba70aec7ac60ff6b5b467a83f2817e27b5cd5b54d043d1e6b447bfe65c492b,0.800446355342865,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,0.9545806154608727,RIM_ONE_r3,22.278607077896595,22.508218698203567,0.82307921461761,261,18a311c4ffc6e5bcd3ae277b5073d5f4cfb6c6f2689dc3a7692ec575a17a91d0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8457120738923549,40,s261__DINOV2_VITS14_QUERY__RIM_ONE_r3__B0,e94413b499bcf6b348c841d80fbde93263b4c4ef
B1,DINOV2_VITS14_QUERY,451e8efb1afe734673105b5e1bd790db2df5caf639c61ed81fd1312de9b86e9c,e94413b499bcf6b348c841d80fbde93263b4c4ef,01ba70aec7ac60ff6b5b467a83f2817e27b5cd5b54d043d1e6b447bfe65c492b,0.7949814930558204,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,0.9538988247513771,RIM_ONE_r3,23.24619577266276,25.52673798054457,0.8193294949829578,261,18a311c4ffc6e5bcd3ae277b5073d5f4cfb6c6f2689dc3a7692ec575a17a91d0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8436774969100952,40,s261__DINOV2_VITS14_QUERY__RIM_ONE_r3__B1,e94413b499bcf6b348c841d80fbde93263b4c4ef
