backbone,image_effect,interaction,metric,readout_effect,seed
UNET_QUERY_128,-0.0022263928502798402,-5.914933979517256e-05,rim,-0.0011011340282857385,261
UNET_QUERY_128,0.0031313563697039637,-8.114110678436592e-05,cup,-0.0023775404132902467,261
UNET_QUERY_128,0.00045248175971210336,-7.014522328968598e-05,macro,-0.0017393372207880342,261
DINOV2_VITS14_QUERY,0.0020691163465380857,0.0006481886655092528,rim,0.0004969451203942488,261
DINOV2_VITS14_QUERY,0.00012157183140515393,0.0010330181568861674,cup,0.0003304288163781255,261
DINOV2_VITS14_QUERY,0.001095344088971606,0.0008406034111977378,macro,0.00041368696838617325,261
ALL,-7.863825187087725e-05,0.0002945196628570401,rim,-0.00030209445394574486,261
ALL,0.0016264641005545588,0.00047593852505090073,cup,-0.0010235557984560606,261
ALL,0.0007739129243418547,0.00038522909395402594,macro,-0.0006628251262009305,261
UNET_QUERY_128,0.0016767578572035036,0.0027751167118549303,rim,-0.000809701904654514,262
UNET_QUERY_128,0.003741854410618528,0.004589997492730591,cup,0.00036066165193915367,262
UNET_QUERY_128,0.002709306133911016,0.003682557102292705,macro,-0.0002245201263576524,262
DINOV2_VITS14_QUERY,0.002938933596014992,0.00039499506354334635,rim,0.0006933234632015561,262
DINOV2_VITS14_QUERY,-0.0017562402784824238,0.0016255268454551386,cup,0.000956484526395851,262
DINOV2_VITS14_QUERY,0.0005913466587662841,0.0010102609544992425,macro,0.0008249039947986481,262
ALL,0.002307845726609248,0.0015850558876991383,rim,-5.818922072647892e-05,262
ALL,0.0009928070660680521,0.0031077621690928647,cup,0.0006585730891675023,262
ALL,0.00165032639633865,0.0023464090283959738,macro,0.00030019193422049784,262
UNET_QUERY_128,0.005155396834015863,0.0004733998328447231,rim,6.245675496754921e-05,263
UNET_QUERY_128,0.007680748016573508,-0.0027474623080342986,cup,0.0001147226104512844,263
UNET_QUERY_128,0.006418072425294741,-0.0011370312375947877,macro,8.85896827094168e-05,263
DINOV2_VITS14_QUERY,0.0018330762535333778,0.00018001690506935786,rim,0.0003832755237818397,263
DINOV2_VITS14_QUERY,-0.0013818906992673907,0.0009503546357155224,cup,0.0007293884456157362,263
DINOV2_VITS14_QUERY,0.00022559277713296577,0.0005651857703924401,macro,0.0005563319846987325,263
ALL,0.0034942365437746203,0.0003267083689570405,rim,0.00022286613937469446,263
ALL,0.0031494286586530584,-0.0008985538361593881,cup,0.0004220555280335103,263
ALL,0.0033218326012138533,-0.0002859227336011738,macro,0.00032246083370407463,263
