backbone,class_probability_mean,count_mean,domain,group,gt_class,mask_dice_mean,no_object_probability_mean,supported_images
UNET_QUERY_128,0.9997604079544544,1.0,RIM_ONE_r3,matched,0,0.994867566972971,0.00017366899646731326,32
UNET_QUERY_128,4.67853580943256e-06,9.0,RIM_ONE_r3,unmatched,0,0.94126239977777,0.9999696537852287,32
UNET_QUERY_128,0.9999364987015724,1.0,RIM_ONE_r3,matched,1,0.9240489918738604,7.295035587162602e-06,32
UNET_QUERY_128,2.3853252884009635e-05,9.0,RIM_ONE_r3,unmatched,1,0.1020337191876024,0.9999696537852287,32
UNET_QUERY_128,0.9999473169445992,1.0,RIM_ONE_r3,matched,2,0.8945923820137978,3.091701410085079e-05,32
UNET_QUERY_128,1.8190573527476772e-06,9.0,RIM_ONE_r3,unmatched,2,0.023314336693147197,0.9999696537852287,32
UNET_QUERY_128,0.9998143501579762,1.0,Drishti_GS,matched,0,0.9939710516482592,5.0229701855641906e-05,32
UNET_QUERY_128,1.296420634844253e-05,9.0,Drishti_GS,unmatched,0,0.10701687927939929,0.9996503200381994,32
UNET_QUERY_128,0.9990917053073645,1.0,Drishti_GS,matched,1,0.9035385716706514,0.0008345932656084187,32
UNET_QUERY_128,0.0001805332155981887,9.0,Drishti_GS,unmatched,1,0.4206861872226,0.9996503200381994,32
UNET_QUERY_128,0.999872600659728,1.0,Drishti_GS,matched,2,0.930290350690484,0.0001132651366049231,32
UNET_QUERY_128,0.00015619566568148002,9.0,Drishti_GS,unmatched,2,0.5275336152408272,0.9996503200381994,32
DINOV2_VITS14_QUERY,0.9999663569033146,1.0,RIM_ONE_r3,matched,0,0.9985087849199772,1.273259600509391e-05,32
DINOV2_VITS14_QUERY,1.6468742927600033e-05,9.0,RIM_ONE_r3,unmatched,0,0.18924179580062628,0.9999344646930695,32
DINOV2_VITS14_QUERY,0.9999662078917027,1.0,RIM_ONE_r3,matched,1,0.978904701769352,2.8573492841132975e-05,32
DINOV2_VITS14_QUERY,2.1723725751598977e-05,9.0,RIM_ONE_r3,unmatched,1,0.17792669730260968,0.9999344646930695,32
DINOV2_VITS14_QUERY,0.9999647401273251,1.0,RIM_ONE_r3,matched,2,0.9698621463030577,1.487072569261727e-05,32
DINOV2_VITS14_QUERY,2.7340705059941683e-05,9.0,RIM_ONE_r3,unmatched,2,0.33269542595371604,0.9999344646930695,32
DINOV2_VITS14_QUERY,0.999971330165863,1.0,Drishti_GS,matched,0,0.9983922019600868,1.574190775244233e-05,32
DINOV2_VITS14_QUERY,1.4567751719596345e-05,9.0,Drishti_GS,unmatched,0,0.24405233468860388,0.9999314062297344,32
DINOV2_VITS14_QUERY,0.9999733492732048,1.0,Drishti_GS,matched,1,0.9747245460748672,2.1915464913035976e-05,32
DINOV2_VITS14_QUERY,2.954262930643381e-05,9.0,Drishti_GS,unmatched,1,0.04358393681468442,0.9999314062297344,32
DINOV2_VITS14_QUERY,0.9999533705413342,1.0,Drishti_GS,matched,2,0.9859461449086666,2.7196714142974088e-05,32
DINOV2_VITS14_QUERY,2.4496897395920314e-05,9.0,Drishti_GS,unmatched,2,0.5276770712807775,0.9999314062297344,32
