peak_allocated,peak_reserved,task,training_seconds,updates_per_second
701194240,782237696,s261__UNET_QUERY_128__RIM_ONE_r3__B0,126.1853861878626,7.924847957521939
712139264,780140544,s261__UNET_QUERY_128__RIM_ONE_r3__B1,143.05989986099303,6.990078987694453
708243456,784334848,s261__UNET_QUERY_128__RIM_ONE_r3__B2,128.8964052903466,7.758168257271739
719974912,794820608,s261__UNET_QUERY_128__RIM_ONE_r3__B3,160.52922405302525,6.229395338444324
701194240,782237696,s261__UNET_QUERY_128__Drishti_GS__B0,113.01421676203609,8.848444281179335
712139264,780140544,s261__UNET_QUERY_128__Drishti_GS__B1,124.17783575505018,8.05296689155199
708243456,784334848,s261__UNET_QUERY_128__Drishti_GS__B2,121.1126687079668,8.256774544463653
719974912,794820608,s261__UNET_QUERY_128__Drishti_GS__B3,135.85162156959996,7.360972128607804
1545078272,1593835520,s261__DINOV2_VITS14_QUERY__RIM_ONE_r3__B0,202.38533254293725,4.941069530262743
1544888320,1577058304,s261__DINOV2_VITS14_QUERY__RIM_ONE_r3__B1,204.3009500443004,4.89473984229227
1552037888,1593835520,s261__DINOV2_VITS14_QUERY__RIM_ONE_r3__B2,210.14482399774715,4.758623034230529
1550851584,1591738368,s261__DINOV2_VITS14_QUERY__RIM_ONE_r3__B3,234.01337427133694,4.273260035302541
1545133568,1593835520,s261__DINOV2_VITS14_QUERY__Drishti_GS__B0,220.47665535612032,4.535627585536305
1545748992,1577058304,s261__DINOV2_VITS14_QUERY__Drishti_GS__B1,222.62476482987404,4.491863251440973
1552591872,1593835520,s261__DINOV2_VITS14_QUERY__Drishti_GS__B2,221.3563247723505,4.517603014182812
1550668800,1591738368,s261__DINOV2_VITS14_QUERY__Drishti_GS__B3,214.18686812510714,4.668820309823556
701194240,782237696,s262__UNET_QUERY_128__RIM_ONE_r3__QUERY_PREFIX,243.14224434504285,8.225637652508473
701194240,782237696,s262__UNET_QUERY_128__RIM_ONE_r3__B0,114.4121828712523,8.740327952009247
712139264,780140544,s262__UNET_QUERY_128__RIM_ONE_r3__B1,128.78059605276212,7.7651449880717625
708243456,784334848,s262__UNET_QUERY_128__RIM_ONE_r3__B2,140.40184809779748,7.122413369540876
719974912,794820608,s262__UNET_QUERY_128__RIM_ONE_r3__B3,139.21620875922963,7.183071633055824
701194240,782237696,s262__UNET_QUERY_128__Drishti_GS__QUERY_PREFIX,228.8442993061617,8.739566622650623
701194240,782237696,s262__UNET_QUERY_128__Drishti_GS__B0,132.5160532030277,7.546255535304097
712139264,780140544,s262__UNET_QUERY_128__Drishti_GS__B1,144.391069740057,6.925636064614458
708243456,784334848,s262__UNET_QUERY_128__Drishti_GS__B2,122.64408017322421,8.15367524129649
719974912,794820608,s262__UNET_QUERY_128__Drishti_GS__B3,176.73842287715524,5.658079232126369
1541849088,1574961152,s262__DINOV2_VITS14_QUERY__RIM_ONE_r3__QUERY_PREFIX,388.81606706418097,5.1438203547022265
1545133568,1593835520,s262__DINOV2_VITS14_QUERY__RIM_ONE_r3__B0,213.79118490219116,4.6774613296497565
1546940928,1577058304,s262__DINOV2_VITS14_QUERY__RIM_ONE_r3__B1,222.1002642987296,4.502471004064087
1553167360,1593835520,s262__DINOV2_VITS14_QUERY__RIM_ONE_r3__B2,263.0020890678279,3.8022511666897874
1549566464,1591738368,s262__DINOV2_VITS14_QUERY__RIM_ONE_r3__B3,358.48303656699136,2.7895322734835335
1541901312,1574961152,s262__DINOV2_VITS14_QUERY__Drishti_GS__QUERY_PREFIX,426.4259491241537,4.690146094785852
1545173504,1593835520,s262__DINOV2_VITS14_QUERY__Drishti_GS__B0,232.7925297562033,4.295670488427057
1545686528,1577058304,s262__DINOV2_VITS14_QUERY__Drishti_GS__B1,238.0839607929811,4.20019894103459
