backbone,contrast,delta,domain,metric,seed
UNET_QUERY_128,B3-B1,0.0019485795870423095,RIM_ONE_r3,macro,262
UNET_QUERY_128,B3-B1,-0.00023328512907028198,RIM_ONE_r3,rim,262
UNET_QUERY_128,B3-B1,0.004130444303154901,RIM_ONE_r3,cup,262
UNET_QUERY_128,B1-B0,-0.00130621418356891,RIM_ONE_r3,macro,262
UNET_QUERY_128,B1-B0,-0.0021723076701164468,RIM_ONE_r3,rim,262
UNET_QUERY_128,B1-B0,-0.0004401206970214844,RIM_ONE_r3,cup,262
UNET_QUERY_128,B3-B2,0.0027993431314825568,RIM_ONE_r3,macro,262
UNET_QUERY_128,B3-B2,-0.0003289848566054854,RIM_ONE_r3,rim,262
UNET_QUERY_128,B3-B2,0.00592767111957071,RIM_ONE_r3,cup,262
UNET_QUERY_128,B2-B1,-0.0008507635444402473,RIM_ONE_r3,macro,262
UNET_QUERY_128,B2-B1,9.56997275352034e-05,RIM_ONE_r3,rim,262
UNET_QUERY_128,B2-B1,-0.001797226816415809,RIM_ONE_r3,cup,262
UNET_QUERY_128,B2-B0,-0.0019746196269988525,Drishti_GS,macro,262
UNET_QUERY_128,B2-B0,-0.002317912578582715,Drishti_GS,rim,262
UNET_QUERY_128,B2-B0,-0.0016313266754149902,Drishti_GS,cup,262
UNET_QUERY_128,B3-B1,0.0012849372625350908,Drishti_GS,macro,262
UNET_QUERY_128,B3-B1,0.0013889980316161843,Drishti_GS,rim,262
UNET_QUERY_128,B3-B1,0.0011808764934539973,Drishti_GS,cup,262
UNET_QUERY_128,B1-B0,0.0030422693490982367,Drishti_GS,macro,262
UNET_QUERY_128,B1-B0,0.0027507066726685236,Drishti_GS,rim,262
UNET_QUERY_128,B1-B0,0.0033338320255279497,Drishti_GS,cup,262
UNET_QUERY_128,B3-B2,0.00630182623863218,Drishti_GS,macro,262
UNET_QUERY_128,B3-B2,0.006457617282867423,Drishti_GS,rim,262
UNET_QUERY_128,B3-B2,0.006146035194396937,Drishti_GS,cup,262
UNET_QUERY_128,B2-B1,-0.005016888976097089,Drishti_GS,macro,262
UNET_QUERY_128,B2-B1,-0.0050686192512512385,Drishti_GS,rim,262
UNET_QUERY_128,B2-B1,-0.00496515870094294,Drishti_GS,cup,262
DINOV2_VITS14_QUERY,B2-B0,0.00033889226615435586,RIM_ONE_r3,macro,262
DINOV2_VITS14_QUERY,B2-B0,0.0003771565854550074,RIM_ONE_r3,rim,262
DINOV2_VITS14_QUERY,B2-B0,0.0003006279468537043,RIM_ONE_r3,cup,262
DINOV2_VITS14_QUERY,B3-B1,0.0029254291206598504,RIM_ONE_r3,macro,262
DINOV2_VITS14_QUERY,B3-B1,0.002028555423021383,RIM_ONE_r3,rim,262
DINOV2_VITS14_QUERY,B3-B1,0.0038223028182984287,RIM_ONE_r3,cup,262
DINOV2_VITS14_QUERY,B1-B0,-0.0050333097577094366,RIM_ONE_r3,macro,262
DINOV2_VITS14_QUERY,B1-B0,-0.0010808318853378074,RIM_ONE_r3,rim,262
DINOV2_VITS14_QUERY,B1-B0,-0.008985787630081177,RIM_ONE_r3,cup,262
DINOV2_VITS14_QUERY,B3-B2,-0.002446772903203942,RIM_ONE_r3,macro,262
DINOV2_VITS14_QUERY,B3-B2,0.0005705669522285683,RIM_ONE_r3,rim,262
DINOV2_VITS14_QUERY,B3-B2,-0.005464112758636452,RIM_ONE_r3,cup,262
DINOV2_VITS14_QUERY,B2-B1,0.005372202023863792,RIM_ONE_r3,macro,262
DINOV2_VITS14_QUERY,B2-B1,0.0014579884707928148,RIM_ONE_r3,rim,262
DINOV2_VITS14_QUERY,B2-B1,0.009286415576934881,RIM_ONE_r3,cup,262
DINOV2_VITS14_QUERY,B2-B0,0.0003006547689436978,Drishti_GS,macro,262
DINOV2_VITS14_QUERY,B2-B0,0.0006144952774047585,Drishti_GS,rim,262
DINOV2_VITS14_QUERY,B2-B0,-1.318573951714086e-05,Drishti_GS,cup,262
DINOV2_VITS14_QUERY,B3-B1,-0.0002653601765633118,Drishti_GS,macro,262
