backbone,domain,image_effect,interaction,metric,readout_effect,seed
UNET_QUERY_128,RIM_ONE_r3,0.0017898245714604855,-0.0024632247164844134,macro,-0.0002934761345386727,261
UNET_QUERY_128,RIM_ONE_r3,-0.0006486229598522408,-0.0017499364912509918,rim,0.0017126681283116119,261
UNET_QUERY_128,RIM_ONE_r3,0.004228272102773156,-0.003176512941718168,cup,-0.0022996203973889018,261
UNET_QUERY_128,Drishti_GS,-0.0008848610520362787,0.0023229342699050415,macro,-0.0031851983070373957,261
UNET_QUERY_128,Drishti_GS,-0.0038041627407074396,0.0016316378116606467,rim,-0.003914936184883089,261
UNET_QUERY_128,Drishti_GS,0.002034440636634771,0.0030142307281494363,cup,-0.0024554604291915916,261
DINOV2_VITS14_QUERY,RIM_ONE_r3,-0.0032490346580744123,0.0010013699531555842,macro,0.0007367093116044665,261
DINOV2_VITS14_QUERY,RIM_ONE_r3,-0.0017019722610711607,0.0006652094423771349,rim,0.0008339483290911165,261
DINOV2_VITS14_QUERY,RIM_ONE_r3,-0.004796097055077553,0.0013375304639340335,cup,0.0006394702941179276,261
DINOV2_VITS14_QUERY,Drishti_GS,0.005439722836017624,0.0006798368692398915,macro,9.066462516787999e-05,261
DINOV2_VITS14_QUERY,Drishti_GS,0.005840204954147332,0.0006311678886413707,rim,0.00015994191169738103,261
DINOV2_VITS14_QUERY,Drishti_GS,0.005039240717887861,0.0007285058498383012,cup,2.1387338638323428e-05,261
UNET_QUERY_128,RIM_ONE_r3,0.0007465644739568233,0.004105557315051467,macro,-0.00010419907048342392,262
UNET_QUERY_128,RIM_ONE_r3,-0.001250646263360966,0.0018433228135109614,rim,-0.0011549465358257627,262
UNET_QUERY_128,RIM_ONE_r3,0.0027437752112746128,0.006367791816592194,cup,0.0009465483948588038,262
UNET_QUERY_128,Drishti_GS,0.004672047793865208,0.0032595568895339433,macro,-0.00034484118223188087,262
UNET_QUERY_128,Drishti_GS,0.004604161977767973,0.003706910610198899,rim,-0.00046445727348326526,262
UNET_QUERY_128,Drishti_GS,0.004739933609962443,0.0028122031688689875,cup,-0.00022522509098049648,262
DINOV2_VITS14_QUERY,RIM_ONE_r3,-0.0037400413304566893,0.0025865368545054945,macro,0.0016321606934071031,262
DINOV2_VITS14_QUERY,RIM_ONE_r3,-0.0002551324665546195,0.0016513988375663757,rim,0.0012028560042381953,262
DINOV2_VITS14_QUERY,RIM_ONE_r3,-0.007224950194358815,0.0035216748714447244,cup,0.0020614653825760665,262
DINOV2_VITS14_QUERY,Drishti_GS,0.0049227346479892575,-0.0005660149455070096,macro,1.7647296190193007e-05,262
DINOV2_VITS14_QUERY,Drishti_GS,0.006132999658584604,-0.000861408710479683,rim,0.000183790922164917,262
DINOV2_VITS14_QUERY,Drishti_GS,0.003712469637393967,-0.00027062118053444717,cup,-0.00014849632978436444,262
UNET_QUERY_128,RIM_ONE_r3,0.004897604719735771,-0.004662202438339591,macro,-0.0006579445907846093,263
UNET_QUERY_128,RIM_ONE_r3,0.00015527158975603417,-0.00088736191391936,rim,-0.0008708165027201398,263
UNET_QUERY_128,RIM_ONE_r3,0.009639937849715341,-0.008437042962759711,cup,-0.0004450726788491344,263
UNET_QUERY_128,Drishti_GS,0.00793854013085371,0.0023881399631500155,macro,0.0008351239562034429,263
UNET_QUERY_128,Drishti_GS,0.010155522078275692,0.0018341615796088062,rim,0.0009957300126552382,263
UNET_QUERY_128,Drishti_GS,0.005721558183431674,0.002942118346691114,cup,0.0006745178997517032,263
DINOV2_VITS14_QUERY,RIM_ONE_r3,-0.0007496520876884571,0.0006976373493671195,macro,0.0008228722959756074,263
DINOV2_VITS14_QUERY,RIM_ONE_r3,0.0008632190525532102,0.0002485230565071328,rim,0.00043305233120921605,263
DINOV2_VITS14_QUERY,RIM_ONE_r3,-0.002362523227930069,0.0011467516422272173,cup,0.0012126922607421653,263
DINOV2_VITS14_QUERY,Drishti_GS,0.0012008376419543887,0.0004327341914177607,macro,0.0002897916734218575,263
DINOV2_VITS14_QUERY,Drishti_GS,0.0028029334545135454,0.00011151075363158292,rim,0.0003334987163544634,263
DINOV2_VITS14_QUERY,Drishti_GS,-0.00040125817060471247,0.0007539576292038275,cup,0.0002460846304893072,263
