seed,transition,update_batch,variant,class_id,region,margin_agreement_before,margin_agreement_after,margin_agreement_delta,margin_abs_error_after,metric_function,hidden_gt_usage
1,REFUGE->RIM_ONE_r3,0,B0,0,all,0.9848728605225915,0.9848546756972447,-1.8184825346767575e-05,0.01514532430275528,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B0,0,boundary,0.8169092276055631,0.8167031608686404,-0.00020606673692269428,0.18329683913135963,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B0,0,interior,0.988017870550937,0.9880031949918311,-1.4675559105947755e-05,0.01199680500816891,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B0,1,all,0.8075212096584505,0.8071016321126784,-0.000419577545772154,0.19289836788732162,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B0,1,boundary,0.7392313804659097,0.7388125012530742,-0.0004188792128355656,0.2611874987469258,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B0,1,interior,0.8343844401589359,0.8339645861977633,-0.00041985396117261153,0.16603541380223674,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B0,2,all,0.792679635190092,0.7928947829030707,0.00021514771297870272,0.2071052170969293,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B0,2,boundary,0.740359738848109,0.7404815275444255,0.00012178869631651601,0.25951847245557447,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B0,2,interior,0.8103288241122779,0.8105754555425687,0.00024663143029080015,0.1894245444574313,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B1,0,all,0.9848728605225915,0.9848117348393653,-6.112568322613754e-05,0.01518826516063465,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B1,0,boundary,0.8169092276055631,0.8165670551393788,-0.0003421724661842873,0.18343294486062123,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B1,0,interior,0.988017870550937,0.9879620051830998,-5.5865367837193425e-05,0.012037994816900155,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B1,1,all,0.8075212096584505,0.8071744090036904,-0.00034680065476011546,0.19282559099630958,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B1,1,boundary,0.7392313804659097,0.7387699358885466,-0.00046144457736319033,0.26123006411145344,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B1,1,interior,0.8343844401589359,0.8340827131267351,-0.00030172703220077146,0.1659172868732649,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B1,2,all,0.792679635190092,0.7947282285442333,0.002048593354141315,0.2052717714557667,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B1,2,boundary,0.740359738848109,0.7408114752467891,0.00045173639868012483,0.25918852475321086,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,0,B1,2,interior,0.8103288241122779,0.8129160780179348,0.002587253905656839,0.18708392198206525,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
