seed,transition,update_batch,variant,virtual_step_norm,previous_val_loss_before,previous_val_loss_after,previous_val_loss_delta,previous_val_dice_before,previous_val_dice_after,previous_val_dice_delta,current_val_loss_before,current_val_loss_after,current_val_loss_delta,current_val_dice_before,current_val_dice_after,current_val_dice_delta,old_model_gradient_nonnull,checkpoint_or_model_mutated,hidden_gt_usage
1,REFUGE->RIM_ONE_r3,0,B0,0.001,0.8373872507363558,0.8353326413780451,-0.0020546093583106995,0.6578316576778889,0.658549077808857,0.0007174201309680939,0.5367860458791256,0.5366929266601801,-9.311921894550323e-05,0.7522060461342335,0.7522766403853893,7.059425115585327e-05,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,0,B1,0.001,0.8373872507363558,0.8355758171528578,-0.001811433583498001,0.6578316576778889,0.6584138534963131,0.0005821958184242249,0.5367860458791256,0.5365545246750116,-0.00023152120411396027,0.7522060461342335,0.7523064091801643,0.00010036304593086243,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,0,B2,0.001,0.8373872507363558,0.8355726525187492,-0.0018145982176065445,0.6578316576778889,0.6584146209061146,0.000582963228225708,0.5367860458791256,0.5365526154637337,-0.000233430415391922,0.7522060461342335,0.7523073740303516,0.00010132789611816406,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,0,B3,0.001,0.8373872507363558,0.8353391867130995,-0.002048064023256302,0.6578316576778889,0.658509649336338,0.000677991658449173,0.5367860458791256,0.5365712475031614,-0.00021479837596416473,0.7522060461342335,0.7523096315562725,0.00010358542203903198,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,1,B0,0.001,0.8373872507363558,0.8406237661838531,0.003236515447497368,0.6578316576778889,0.6567830331623554,-0.0010486245155334473,0.5367860458791256,0.536829112097621,4.306621849536896e-05,0.7522060461342335,0.7522502988576889,4.425272345542908e-05,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,1,B1,0.001,0.8373872507363558,0.8365949541330338,-0.0007922966033220291,0.6578316576778889,0.6580750569701195,0.00024339929223060608,0.5367860458791256,0.5364104397594929,-0.00037560611963272095,0.7522060461342335,0.7524114325642586,0.0002053864300251007,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,1,B2,0.001,0.8373872507363558,0.8365574944764376,-0.0008297562599182129,0.6578316576778889,0.6580932885408401,0.0002616308629512787,0.5367860458791256,0.536402978003025,-0.00038306787610054016,0.7522060461342335,0.7524191699922085,0.0002131238579750061,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,1,B3,0.001,0.8373872507363558,0.8378257025033236,0.00043845176696777344,0.6578316576778889,0.6576898582279682,-0.0001417994499206543,0.5367860458791256,0.5365149900317192,-0.00027105584740638733,0.7522060461342335,0.7523848153650761,0.00017876923084259033,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,2,B0,0.001,0.8373872507363558,0.8365552853792906,-0.0008319653570652008,0.6578316576778889,0.6582054570317268,0.0003737993538379669,0.5367860458791256,0.5366137996315956,-0.00017224624752998352,0.7522060461342335,0.7522080801427364,2.034008502960205e-06,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,2,B1,0.001,0.8373872507363558,0.8336480781435966,-0.0037391725927591324,0.6578316576778889,0.6590172611176968,0.0011856034398078918,0.5367860458791256,0.5362954698503017,-0.0004905760288238525,0.7522060461342335,0.7524780221283436,0.0002719759941101074,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,2,B2,0.001,0.8373872507363558,0.8335603550076485,-0.0038268957287073135,0.6578316576778889,0.6590441577136517,0.0012125000357627869,0.5367860458791256,0.5363010633736849,-0.000484982505440712,0.7522060461342335,0.7524770610034466,0.00027101486921310425,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,2,B3,0.001,0.8373872507363558,0.8342514410614967,-0.003135809674859047,0.6578316576778889,0.6588684730231762,0.001036815345287323,0.5367860458791256,0.5362626872956753,-0.0005233585834503174,0.7522060461342335,0.7524551972746849,0.0002491511404514313,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,3,B0,0.001,0.8373872507363558,0.836919017136097,-0.0004682336002588272,0.6578316576778889,0.6579804942011833,0.00014883652329444885,0.5367860458791256,0.5360194724053144,-0.0007665734738111496,0.7522060461342335,0.7525961846113205,0.0003901384770870209,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,3,B1,0.001,0.8373872507363558,0.8357825390994549,-0.0016047116369009018,0.6578316576778889,0.6583458669483662,0.0005142092704772949,0.5367860458791256,0.5361894723027945,-0.0005965735763311386,0.7522060461342335,0.7524999231100082,0.000293876975774765,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,3,B2,0.001,0.8373872507363558,0.8356773238629103,-0.0017099268734455109,0.6578316576778889,0.6583787091076374,0.0005470514297485352,0.5367860458791256,0.5361796673387289,-0.0006063785403966904,0.7522060461342335,0.7525066062808037,0.0003005601465702057,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,3,B3,0.001,0.8373872507363558,0.8356612287461758,-0.0017260219901800156,0.6578316576778889,0.6583765186369419,0.0005448609590530396,0.5367860458791256,0.5360189005732536,-0.0007671453058719635,0.7522060461342335,0.7525910809636116,0.00038503482937812805,0,False,none_visible_update_and_val_only
