node_id,arm,seed,order,origin,domain,rim,cup,disc_union,macro_Dice
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,A0,163,1,historical_import,REFUGE,0.714951813655913,0.7205105914125619,0.8767946157031549,0.7177312025342375
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,A0,163,1,historical_import,RIM_ONE_r3,0.5401228878479282,0.5867033671078096,0.7736522963716268,0.5634131274778689
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,A0,163,1,historical_import,Drishti_GS,0.7146527621332295,0.7332979724523528,0.9356174084492718,0.7239753672927911
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,A0,163,2,historical_import,REFUGE,0.6481279130345778,0.7631958159118716,0.813973808374341,0.7056618644732247
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,A0,163,2,historical_import,Drishti_GS,0.5193081989465872,0.5222942645802732,0.8360664134604522,0.5208012317634302
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,A0,163,2,historical_import,RIM_ONE_r3,0.7482226097449187,0.6782025624149012,0.8943764010813329,0.7132125860799099
AGMS__A1__S163__O1__STAGE2,A1,163,1,new_execution,REFUGE,0.7148061530456428,0.7204299414662776,0.8768203544829499,0.7176180472559601
AGMS__A1__S163__O1__STAGE2,A1,163,1,new_execution,RIM_ONE_r3,0.5402308189079085,0.5863679649754792,0.7734839135974079,0.5632993919416938
AGMS__A1__S163__O1__STAGE2,A1,163,1,new_execution,Drishti_GS,0.7148916420014446,0.733431653679975,0.9356201354273882,0.7241616478407098
AGMS__A2__S163__O1__STAGE2,A2,163,1,new_execution,REFUGE,0.695713678435429,0.6964386879899387,0.8919669742802185,0.6960761832126838
AGMS__A2__S163__O1__STAGE2,A2,163,1,new_execution,RIM_ONE_r3,0.4322874864086642,0.5354173947530637,0.7267170358526812,0.48385244058086396
AGMS__A2__S163__O1__STAGE2,A2,163,1,new_execution,Drishti_GS,0.7274134350004169,0.7468132890029758,0.9377562650293402,0.7371133620016963
AGMS__A3__S163__O1__STAGE2,A3,163,1,new_execution,REFUGE,0.6959011649740171,0.6964672126853065,0.892118579444005,0.6961841888296618
AGMS__A3__S163__O1__STAGE2,A3,163,1,new_execution,RIM_ONE_r3,0.43271493607466105,0.5355176024558277,0.726853081709916,0.48411626926524437
AGMS__A3__S163__O1__STAGE2,A3,163,1,new_execution,Drishti_GS,0.7277605501703927,0.7470411780464087,0.9377431260785015,0.7374008641084007
AGMS__A4__S163__O1__STAGE2,A4,163,1,new_execution,REFUGE,0.6958315748953646,0.6965577235608857,0.89198573803504,0.6961946492281252
AGMS__A4__S163__O1__STAGE2,A4,163,1,new_execution,RIM_ONE_r3,0.43248485098288525,0.5355600733283905,0.7267334374255283,0.4840224621556379
AGMS__A4__S163__O1__STAGE2,A4,163,1,new_execution,Drishti_GS,0.7276128660359684,0.7468783923460056,0.937708810219744,0.737245629190987
AGMS__A5__S163__O1__STAGE2,A5,163,1,new_execution,REFUGE,0.6957601052742802,0.6964905233229013,0.8919876289753597,0.6961253142985908
AGMS__A5__S163__O1__STAGE2,A5,163,1,new_execution,RIM_ONE_r3,0.4325042633617079,0.5355181557315076,0.7267508606377766,0.48401120954660776
AGMS__A5__S163__O1__STAGE2,A5,163,1,new_execution,Drishti_GS,0.7276893580224179,0.7469164805815075,0.9377315937619574,0.7373029193019627
AGMS__A1__S163__O2__STAGE2,A1,163,2,new_execution,REFUGE,0.6483726404601932,0.7635404698505862,0.8142362473496796,0.7059565551553897
AGMS__A1__S163__O2__STAGE2,A1,163,2,new_execution,Drishti_GS,0.5192530774470295,0.5220783644636429,0.8363876799294464,0.5206657209553363
AGMS__A1__S163__O2__STAGE2,A1,163,2,new_execution,RIM_ONE_r3,0.7482863545110285,0.6781454099079437,0.8944209772622738,0.7132158822094861
AGMS__A2__S163__O2__STAGE2,A2,163,2,new_execution,REFUGE,0.6883014416434909,0.7519059236884316,0.8445491160512607,0.7201036826659613
AGMS__A2__S163__O2__STAGE2,A2,163,2,new_execution,Drishti_GS,0.552217720926151,0.4396516065095967,0.8654590938084626,0.49593466371787387
AGMS__A2__S163__O2__STAGE2,A2,163,2,new_execution,RIM_ONE_r3,0.7437558029419766,0.6563914708444927,0.8884888771527955,0.7000736368932347
AGMS__A3__S163__O2__STAGE2,A3,163,2,new_execution,REFUGE,0.6882581644570693,0.7537938823181131,0.8446925771098185,0.7210260233875911
AGMS__A3__S163__O2__STAGE2,A3,163,2,new_execution,Drishti_GS,0.5522006358357894,0.4414864345899003,0.8663408940801739,0.49684353521284486
AGMS__A3__S163__O2__STAGE2,A3,163,2,new_execution,RIM_ONE_r3,0.7437764390023227,0.6564414119164605,0.8885700397905429,0.7001089254593916
AGMS__A4__S163__O2__STAGE2,A4,163,2,new_execution,REFUGE,0.6876176193381055,0.7532836234869437,0.8444016851424603,0.7204506214125246
AGMS__A4__S163__O2__STAGE2,A4,163,2,new_execution,Drishti_GS,0.5524445229897741,0.4412260197839059,0.8664015538716492,0.49683527138684
AGMS__A4__S163__O2__STAGE2,A4,163,2,new_execution,RIM_ONE_r3,0.743823863077037,0.656742673219477,0.8886010245805233,0.7002832681482569
AGMS__A5__S163__O2__STAGE2,A5,163,2,new_execution,REFUGE,0.6879508212856932,0.7535080308044253,0.8445807299703801,0.7207294260450592
AGMS__A5__S163__O2__STAGE2,A5,163,2,new_execution,Drishti_GS,0.5523310115723183,0.44148852693922913,0.8663036005645872,0.49690976925577374
AGMS__A5__S163__O2__STAGE2,A5,163,2,new_execution,RIM_ONE_r3,0.7437433074010231,0.6566242946807621,0.8885407662900418,0.7001838010408926
