seed,variant,site,eval_step,phase,dice,delta_vs_l0
0,L0,REFUGE,50,early,0.7325059670020113,0.0
0,L0,RIM_ONE_r3,50,early,0.6823047422693931,0.0
0,L0,REFUGE,100,early,0.7308222917022212,0.0
0,L0,RIM_ONE_r3,100,early,0.6894498926819147,0.0
0,L0,REFUGE,150,early,0.701932466318596,0.0
0,L0,RIM_ONE_r3,150,early,0.685087954836437,0.0
0,L0,REFUGE,200,early,0.738748385827231,0.0
0,L0,RIM_ONE_r3,200,early,0.7188293530934857,0.0
0,L0,REFUGE,250,early,0.7091494411015309,0.0
0,L0,RIM_ONE_r3,250,early,0.7129442050639596,0.0
0,L0,REFUGE,300,early,0.7084316792033707,0.0
0,L0,RIM_ONE_r3,300,early,0.7189815531936914,0.0
0,L0,REFUGE,350,middle,0.7300647137383359,0.0
0,L0,RIM_ONE_r3,350,middle,0.7233834533572416,0.0
0,L0,REFUGE,400,middle,0.6670218188961085,0.0
0,L0,RIM_ONE_r3,400,middle,0.7141426981819945,0.0
0,L0,REFUGE,450,middle,0.68021487008866,0.0
0,L0,RIM_ONE_r3,450,middle,0.7109421345897502,0.0
0,L0,REFUGE,500,middle,0.6681236393353642,0.0
0,L0,RIM_ONE_r3,500,middle,0.7081410476079967,0.0
0,L0,REFUGE,550,middle,0.6242283025129148,0.0
0,L0,RIM_ONE_r3,550,middle,0.6935972964675778,0.0
0,L0,REFUGE,600,middle,0.6185449869302028,0.0
0,L0,RIM_ONE_r3,600,middle,0.7082617665451307,0.0
0,L0,REFUGE,650,middle,0.6150840448077584,0.0
0,L0,RIM_ONE_r3,650,middle,0.7032142043246268,0.0
0,L0,REFUGE,700,late,0.6190498192084591,0.0
0,L0,RIM_ONE_r3,700,late,0.7123362945576022,0.0
0,L0,REFUGE,750,late,0.6178101353458796,0.0
0,L0,RIM_ONE_r3,750,late,0.7092520422380181,0.0
0,L0,REFUGE,800,late,0.6121528087133811,0.0
0,L0,RIM_ONE_r3,800,late,0.7062269243862356,0.0
0,L0,REFUGE,850,late,0.6150600414920198,0.0
0,L0,RIM_ONE_r3,850,late,0.7076197230198126,0.0
0,L0,REFUGE,900,late,0.6169937496470296,0.0
0,L0,RIM_ONE_r3,900,late,0.7090168878188935,0.0
0,L0,REFUGE,950,late,0.613416029014889,0.0
0,L0,RIM_ONE_r3,950,late,0.7080304137300125,0.0
0,L0,REFUGE,1000,late,0.6140939001249301,0.0
0,L0,RIM_ONE_r3,1000,late,0.7084754829750171,0.0
0,L1,REFUGE,50,early,0.7315607131129953,-0.0009452538890160067
0,L1,RIM_ONE_r3,50,early,0.6818247869725593,-0.00047995529683375615
0,L1,REFUGE,100,early,0.7323020428942492,0.0014797511920279227
0,L1,RIM_ONE_r3,100,early,0.688693669032368,-0.00075622364954675
0,L1,REFUGE,150,early,0.7145337395199427,0.012601273201346741
0,L1,RIM_ONE_r3,150,early,0.6817957125047243,-0.003292242331712769
0,L1,REFUGE,200,early,0.7857228640075745,0.046974478180343504
0,L1,RIM_ONE_r3,200,early,0.7311968633077208,0.0123675102142351
0,L1,REFUGE,250,early,0.7118865860135805,0.0027371449120495717
0,L1,RIM_ONE_r3,250,early,0.7114258362653493,-0.0015183687986103367
0,L1,REFUGE,300,early,0.7133462228115038,0.004914543608133148
0,L1,RIM_ONE_r3,300,early,0.728650429198908,0.009668876005216598
0,L1,REFUGE,350,middle,0.6635490857639964,-0.06651562797433952
0,L1,RIM_ONE_r3,350,middle,0.7108290058595266,-0.01255444749771506
0,L1,REFUGE,400,middle,0.6716731988875542,0.004651379991445714
0,L1,RIM_ONE_r3,400,middle,0.7112289760058085,-0.0029137221761860177
0,L1,REFUGE,450,middle,0.6751246094580128,-0.005090260630647214
0,L1,RIM_ONE_r3,450,middle,0.7055995345621996,-0.005342600027550604
0,L1,REFUGE,500,middle,0.6789423557665237,0.010818716431159503
0,L1,RIM_ONE_r3,500,middle,0.7174612541636173,0.009320206555620603
0,L1,REFUGE,550,middle,0.643898872258089,0.019670569745174116
0,L1,RIM_ONE_r3,550,middle,0.7147195403760985,0.021122243908520688
0,L1,REFUGE,600,middle,0.635789306021205,0.017244319091002214
0,L1,RIM_ONE_r3,600,middle,0.7225612989401519,0.01429953239502113
0,L1,REFUGE,650,middle,0.6311371049300236,0.01605306012226526
0,L1,RIM_ONE_r3,650,middle,0.7073029839164471,0.004088779591820302
0,L1,REFUGE,700,late,0.6410431260390488,0.021993306830589643
0,L1,RIM_ONE_r3,700,late,0.7149513111474104,0.002615016589808228
0,L1,REFUGE,750,late,0.6346493732848785,0.016839237938998886
0,L1,RIM_ONE_r3,750,late,0.7125264095068571,0.003274367268839007
0,L1,REFUGE,800,late,0.627713804644788,0.015560995931406918
0,L1,RIM_ONE_r3,800,late,0.7084495494028372,0.0022226250166016426
0,L1,REFUGE,850,late,0.6302511154966154,0.015191074004595628
0,L1,RIM_ONE_r3,850,late,0.7174198028146004,0.009800079794787808
0,L1,REFUGE,900,late,0.6292069140789986,0.01221316443196907
0,L1,RIM_ONE_r3,900,late,0.7148509518894659,0.005834064070572409
0,L1,REFUGE,950,late,0.6260575216472717,0.012641492632382678
0,L1,RIM_ONE_r3,950,late,0.7137967992208339,0.005766385490821424
0,L1,REFUGE,1000,late,0.6272508234405719,0.013156923315641778
0,L1,RIM_ONE_r3,1000,late,0.7144311729262077,0.005955689951190668
0,L2,REFUGE,50,early,0.7324137420109602,-9.222499105110415e-05
0,L2,RIM_ONE_r3,50,early,0.683135159204949,0.0008304169355559665
0,L2,REFUGE,100,early,0.729147025188163,-0.001675266514058249
0,L2,RIM_ONE_r3,100,early,0.6842394639157108,-0.005210428766203923
0,L2,REFUGE,150,early,0.7160764209485212,0.014143954629925237
0,L2,RIM_ONE_r3,150,early,0.6887992868495685,0.003711332013131452
0,L2,REFUGE,200,early,0.6996344887983293,-0.03911389702890167
0,L2,RIM_ONE_r3,200,early,0.69604189429777,-0.022787458795715754
0,L2,REFUGE,250,early,0.7106933129339396,0.001543871832408672
0,L2,RIM_ONE_r3,250,early,0.7168616872648418,0.003917482200882172
0,L2,REFUGE,300,early,0.6888058776114225,-0.019625801591948155
0,L2,RIM_ONE_r3,300,early,0.7121208013374473,-0.006860751856244129
0,L2,REFUGE,350,middle,0.6779308756889297,-0.05213383804940619
0,L2,RIM_ONE_r3,350,middle,0.7085580895937529,-0.014825363763488753
0,L2,REFUGE,400,middle,0.7067144717638965,0.039692652867788
0,L2,RIM_ONE_r3,400,middle,0.7187064519304445,0.004563753748449972
0,L2,REFUGE,450,middle,0.6768509162816904,-0.003363953806969633
0,L2,RIM_ONE_r3,450,middle,0.7142323082844336,0.0032901736946834292
0,L2,REFUGE,500,middle,0.6155751428676574,-0.05254849646770687
0,L2,RIM_ONE_r3,500,middle,0.7053746506129974,-0.002766396994999254
0,L2,REFUGE,550,middle,0.6197514438152876,-0.004476858697627262
0,L2,RIM_ONE_r3,550,middle,0.7191602410014456,0.02556294453386776
0,L2,REFUGE,600,middle,0.6079043907309343,-0.010640596199268493
0,L2,RIM_ONE_r3,600,middle,0.7195320002468721,0.011270233701741406
0,L2,REFUGE,650,middle,0.615531607942601,0.0004475631348426212
0,L2,RIM_ONE_r3,650,middle,0.7158930705882361,0.012678866263609367
0,L2,REFUGE,700,late,0.6099751895435871,-0.009074629664872047
0,L2,RIM_ONE_r3,700,late,0.7131346079944162,0.0007983134368140243
0,L2,REFUGE,750,late,0.6161589850065567,-0.0016511503393228377
0,L2,RIM_ONE_r3,750,late,0.708302024793575,-0.0009500174444431186
0,L2,REFUGE,800,late,0.6072519168827689,-0.004900891830612153
0,L2,RIM_ONE_r3,800,late,0.7065597600946176,0.000332835708382051
0,L2,REFUGE,850,late,0.6029289466581174,-0.0121310948339024
0,L2,RIM_ONE_r3,850,late,0.7054264354342512,-0.0021932875855613654
0,L2,REFUGE,900,late,0.6062627050812615,-0.010731044565768122
0,L2,RIM_ONE_r3,900,late,0.7068663609722808,-0.002150526846612655
0,L2,REFUGE,950,late,0.6021256130022862,-0.011290416012602833
0,L2,RIM_ONE_r3,950,late,0.7054148636751529,-0.0026155500548595834
0,L2,REFUGE,1000,late,0.6024006414109733,-0.011693258713956878
0,L2,RIM_ONE_r3,1000,late,0.7056050021176011,-0.0028704808574159246
0,L3,REFUGE,50,early,0.7323672939527158,-0.00013867304929549018
0,L3,RIM_ONE_r3,50,early,0.6823329683526556,2.8226083262472557e-05
0,L3,REFUGE,100,early,0.7355101938945957,0.004687902192374471
0,L3,RIM_ONE_r3,100,early,0.6894984369697859,4.8544287871155056e-05
0,L3,REFUGE,150,early,0.7142500302640015,0.012317563945405507
0,L3,RIM_ONE_r3,150,early,0.6901318164337285,0.005043861597291421
0,L3,REFUGE,200,early,0.7476709365828867,0.008922550755655734
