variant,site,eval_step,dice,delta_vs_a1,worst_drop,normalized_auc,recovery_time_to_original_gate
A1,REFUGE,50,0.7325059670020113,0.0,0.0,0.6610604819709169,0
A1,REFUGE,100,0.7308222917022212,0.0,0.0,0.6610604819709169,0
A1,REFUGE,150,0.701932466318596,0.0,0.0,0.6610604819709169,0
A1,REFUGE,200,0.738748385827231,0.0,0.0,0.6610604819709169,0
A1,REFUGE,250,0.7091494411015309,0.0,0.0,0.6610604819709169,0
A1,REFUGE,300,0.7084316792033707,0.0,0.0,0.6610604819709169,0
A1,REFUGE,350,0.7300647137383359,0.0,0.0,0.6610604819709169,0
A1,REFUGE,400,0.6670218188961085,0.0,0.0,0.6610604819709169,0
A1,REFUGE,450,0.68021487008866,0.0,0.0,0.6610604819709169,0
A1,REFUGE,500,0.6681236393353642,0.0,0.0,0.6610604819709169,0
A1,REFUGE,550,0.6242283025129148,0.0,0.0,0.6610604819709169,0
A1,REFUGE,600,0.6185449869302028,0.0,0.0,0.6610604819709169,0
A1,REFUGE,650,0.6150840448077584,0.0,0.0,0.6610604819709169,0
A1,REFUGE,700,0.6190498192084591,0.0,0.0,0.6610604819709169,0
A1,REFUGE,750,0.6178101353458796,0.0,0.0,0.6610604819709169,0
A1,REFUGE,800,0.6121528087133811,0.0,0.0,0.6610604819709169,0
A1,REFUGE,850,0.6150600414920198,0.0,0.0,0.6610604819709169,0
A1,REFUGE,900,0.6169937496470296,0.0,0.0,0.6610604819709169,0
A1,REFUGE,950,0.613416029014889,0.0,0.0,0.6610604819709169,0
A1,REFUGE,1000,0.6140939001249301,0.0,0.0,0.6610604819709169,0
A1,RIM_ONE_r3,50,0.6823047422693931,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,100,0.6894498926819147,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,150,0.685087954836437,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,200,0.7188293530934857,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,250,0.7129442050639596,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,300,0.7189815531936914,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,350,0.7233834533572416,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,400,0.7141426981819945,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,450,0.7109421345897502,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,500,0.7081410476079967,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,550,0.6935972964675778,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,600,0.7082617665451307,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,650,0.7032142043246268,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,700,0.7123362945576022,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,750,0.7092520422380181,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,800,0.7062269243862356,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,850,0.7076197230198126,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,900,0.7090168878188935,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,950,0.7080304137300125,0.0,0.0,0.7070972609640308,0
A1,RIM_ONE_r3,1000,0.7084754829750171,0.0,0.0,0.7070972609640308,0
A2,REFUGE,50,0.7329642590031059,0.00045829200109459567,0.028451712109683003,0.673121093644604,50
A2,REFUGE,100,0.7323929369425294,0.001570645240308144,0.028451712109683003,0.673121093644604,50
A2,REFUGE,150,0.6992281652716418,-0.002704301046954183,0.028451712109683003,0.673121093644604,50
A2,REFUGE,200,0.716754385168927,-0.021994000658304036,0.028451712109683003,0.673121093644604,50
A2,REFUGE,250,0.7114014979915574,0.0022520568900264992,0.028451712109683003,0.673121093644604,50
A2,REFUGE,300,0.7027544969787649,-0.005677182224605781,0.028451712109683003,0.673121093644604,50
A2,REFUGE,350,0.7016130016286529,-0.028451712109683003,0.028451712109683003,0.673121093644604,50
A2,REFUGE,400,0.6938443231595067,0.026822504263398272,0.028451712109683003,0.673121093644604,50
A2,REFUGE,450,0.683035895307104,0.002821025218443962,0.028451712109683003,0.673121093644604,50
A2,REFUGE,500,0.6798894521641973,0.011765812828833044,0.028451712109683003,0.673121093644604,50
A2,REFUGE,550,0.6550604574232881,0.030832154910373277,0.028451712109683003,0.673121093644604,50
A2,REFUGE,600,0.6358371783220504,0.017292191391847678,0.028451712109683003,0.673121093644604,50
A2,REFUGE,650,0.6549394777244467,0.03985543291668836,0.028451712109683003,0.673121093644604,50
A2,REFUGE,700,0.6526144628414338,0.03356464363297462,0.028451712109683003,0.673121093644604,50
A2,REFUGE,750,0.6467643670655535,0.02895423171967393,0.028451712109683003,0.673121093644604,50
A2,REFUGE,800,0.6329111384631306,0.02075832974974956,0.028451712109683003,0.673121093644604,50
A2,REFUGE,850,0.6316660959486874,0.01660605445666763,0.028451712109683003,0.673121093644604,50
A2,REFUGE,900,0.6358937295301818,0.018899979883152174,0.028451712109683003,0.673121093644604,50
A2,REFUGE,950,0.637578674124209,0.02416264510931998,0.028451712109683003,0.673121093644604,50
A2,REFUGE,1000,0.6372778273801196,0.023183927255189474,0.028451712109683003,0.673121093644604,50
A2,RIM_ONE_r3,50,0.6834002932274391,0.001095550958046032,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,100,0.684473009000129,-0.0049768836817857265,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,150,0.671929897449805,-0.013158057386632005,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,200,0.7210781846137372,0.0022488315202514597,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,250,0.7142090875096988,0.0012648824457391905,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,300,0.7103352266709301,-0.008646326522761316,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,350,0.7124090995181589,-0.01097435383908274,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,400,0.7161107673679294,0.001968069185934951,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,450,0.708638150036803,-0.0023039845529472247,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,500,0.7096064117542318,0.0014653641462351041,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,550,0.7152221067296274,0.021624810262049543,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,600,0.7022699544123249,-0.005991812132805863,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,650,0.7144158825985971,0.011201678273970339,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,700,0.7121341033857286,-0.00020219117187358915,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,750,0.7099764362192598,0.0007243939812416889,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,800,0.7099213216675453,0.0036943972813097137,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,850,0.7088873455455613,0.0012676225257487461,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,900,0.7129454356101329,0.003928547791239412,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,950,0.714454613322966,0.006424199592953483,0.013158057386632005,0.7077738483322817,0
A2,RIM_ONE_r3,1000,0.7139718765729286,0.005496393597911542,0.013158057386632005,0.7077738483322817,0
A3,REFUGE,50,0.7326096742479096,0.00010370724589825464,0.0356586540917776,0.677826942925357,50
A3,REFUGE,100,0.7279288589502015,-0.002893432752019698,0.0356586540917776,0.677826942925357,50
A3,REFUGE,150,0.7439558554039901,0.04202338908539416,0.0356586540917776,0.677826942925357,50
A3,REFUGE,200,0.7643467207051974,0.025598334877966367,0.0356586540917776,0.677826942925357,50
A3,REFUGE,250,0.691171897667014,-0.01797754343451685,0.0356586540917776,0.677826942925357,50
A3,REFUGE,300,0.7300119030643916,0.021580223861020875,0.0356586540917776,0.677826942925357,50
A3,REFUGE,350,0.6944060596465583,-0.0356586540917776,0.0356586540917776,0.677826942925357,50
A3,REFUGE,400,0.7053705753308275,0.03834875643471902,0.0356586540917776,0.677826942925357,50
A3,REFUGE,450,0.6794892617050654,-0.0007256083835945892,0.0356586540917776,0.677826942925357,50
A3,REFUGE,500,0.67304149607863,0.004917856743265725,0.0356586540917776,0.677826942925357,50
A3,REFUGE,550,0.6443642494720411,0.02013594695912624,0.0356586540917776,0.677826942925357,50
A3,REFUGE,600,0.636889219973596,0.018344233043393277,0.0356586540917776,0.677826942925357,50
A3,REFUGE,650,0.6432024142203514,0.028118369412593047,0.0356586540917776,0.677826942925357,50
A3,REFUGE,700,0.6515153483008416,0.03246552909238243,0.0356586540917776,0.677826942925357,50
A3,REFUGE,750,0.6507252011151927,0.032915065769313134,0.0356586540917776,0.677826942925357,50
A3,REFUGE,800,0.642024914777711,0.029872106064329884,0.0356586540917776,0.677826942925357,50
A3,REFUGE,850,0.6393183289929779,0.024258287500958153,0.0356586540917776,0.677826942925357,50
A3,REFUGE,900,0.6398012596802389,0.022807510033209355,0.0356586540917776,0.677826942925357,50
A3,REFUGE,950,0.6362545070552571,0.022838478040368093,0.0356586540917776,0.677826942925357,50
A3,REFUGE,1000,0.6371780126354911,0.023084112510560972,0.0356586540917776,0.677826942925357,50
A3,RIM_ONE_r3,50,0.6830022298032563,0.000697487533863228,0.007338610424480252,0.7122296580078804,0
A3,RIM_ONE_r3,100,0.6964506611146992,0.007000768432784521,0.007338610424480252,0.7122296580078804,0
A3,RIM_ONE_r3,150,0.6969796384094709,0.011891683573033829,0.007338610424480252,0.7122296580078804,0
A3,RIM_ONE_r3,200,0.7298172896306773,0.010987936537191545,0.007338610424480252,0.7122296580078804,0
A3,RIM_ONE_r3,250,0.7056055946394794,-0.007338610424480252,0.007338610424480252,0.7122296580078804,0
A3,RIM_ONE_r3,300,0.7285226731090603,0.009541119915368879,0.007338610424480252,0.7122296580078804,0
A3,RIM_ONE_r3,350,0.7201182446572034,-0.0032652087000382135,0.007338610424480252,0.7122296580078804,0
