variant,site,worst_step,worst_drop,normalized_auc,normalized_auc_delta_vs_a1,recovery_time_to_original_gate
A1,REFUGE,50,0.0,0.6610604819709169,0.0,0
A1,RIM_ONE_r3,50,0.0,0.7070972609640308,0.0,0
A2,REFUGE,350,0.028451712109683003,0.673121093644604,0.012060611673687105,50
A2,RIM_ONE_r3,150,0.013158057386632005,0.7077738483322817,0.000676587368250936,0
A3,REFUGE,350,0.0356586540917776,0.677826942925357,0.01676646095444001,50
A3,RIM_ONE_r3,250,0.007338610424480252,0.7122296580078804,0.005132397043849601,0
A4,REFUGE,350,0.020377198760569426,0.677741020415809,0.016680538444892035,50
A4,RIM_ONE_r3,300,0.00981957308374537,0.7117799867520894,0.004682725788058617,0
A5,REFUGE,350,0.03144590033796735,0.6800426247765676,0.018982142805650692,50
A5,RIM_ONE_r3,200,0.016930847646963065,0.7067042828337219,-0.0003929781303089186,50
