seed,variant,site_step,successful_site_step_before_step,noise_warmup_multiplier,effective_sigma,noise_scale_p10,noise_scale_p50,noise_scale_p90,perturbation_weight_ratio,classifier_angular_drift,raw_noise_checksum
0,L2,150,149,0.745,0.23558968568254426,6.137512627901742e-06,0.00017529705655761063,0.05853554606437683,0.04915321618318558,0.027238663285970688,0af84da5efb64acbd1ac5350783942eedf36b349e2e1e1095574b42c87f82dc6
0,L2,200,199,0.995,0.31464662718675374,3.343140519973531e-07,2.147074519598391e-05,0.006876401137560606,0.021327290683984756,0.029470954090356827,fc6f2d884b61d8024e1452e31eba8cc48cbaf9f32e3ee9ee8cb2bfd7ebf0e321
0,L2,201,200,1.0,0.31622776601683794,2.0539522665785626e-05,0.0008275617146864533,0.05282966420054436,0.2635299265384674,0.029375720769166946,a90da8dd6b684954a66b40d132e1c1fc1a9fac8d1340ed8bdac271f8627aa070
0,L2,250,249,1.0,0.31622776601683794,2.3533527837571455e-06,0.00010671016934793442,0.006906741298735142,0.22573517262935638,0.02946031093597412,fa8636e71afbcb2ac38ac7dada75f8e4238b06d0830e2068b05c7277af8d5dd8
0,L2,300,299,1.0,0.31622776601683794,2.036574369412847e-05,0.0008391855517402291,0.051268577575683594,0.2959197163581848,0.030995599925518036,96a9f6016d3413c073e5594caeaaa6a2cd4cb8f417d24a23bdf31fe43596c46d
0,L2,350,349,1.0,0.31622776601683794,8.078601467786939e-07,0.00014614593237638474,0.03804747015237808,0.22150520980358124,0.03327089548110962,3db33f2a73b1203622beceee801edb0cc7cbce12c834a4ffc6bcaa303d43b274
0,L2,400,399,1.0,0.31622776601683794,3.829547949862899e-07,3.31067931256257e-05,0.05607612431049347,0.09286011755466461,0.03578875958919525,850765ba251ccd18cc6ca3aeb0b4e43fce429c2dfb27b4b404dd93baef5b05fc
0,L2,450,449,1.0,0.31622776601683794,8.215946763812099e-06,0.0003341553674545139,0.007536707445979118,0.015249711461365223,0.03780239075422287,5305d3d4799d908554aba06feee0693421e484001347ca308affb018f71518a6
0,L2,500,499,1.0,0.31622776601683794,6.653961463598534e-05,0.006815805099904537,0.11786097288131714,0.30476951599121094,0.039390578866004944,17871e93ecdc1d2d0bdb05d2fe8796d7890abba10785c999e97512ba49b904aa
0,L2,550,549,1.0,0.31622776601683794,2.316147856618045e-06,9.055600094143301e-05,0.012866931967437267,0.41686561703681946,0.043867550790309906,ff35c3fe6002d7ae559f6c2cd6869d8d01787983d8e109f6412dc9c7549d6ef1
