seed,variant,site_step,sensitivity_timing,cos_s_t_s_t_minus_1,temporal_cosine_reason,lagged_l1_to_current,s_sup_cv_within_step,s_r2c_cv_within_step,s_sup_s_r2c_cosine,sensitivity_p10,sensitivity_p50,sensitivity_p90
0,L1,50,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,100,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,150,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,200,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,250,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,300,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,350,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,400,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,450,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,500,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,550,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,600,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,650,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,700,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,750,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,800,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,850,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,900,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,950,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L1,1000,isotropic,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,unavailable,unavailable,unavailable,unavailable,1.0,1.0,1.0
0,L2,50,lagged,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,0.04563907906413078,unavailable,unavailable,0.0,7.041719527478563e-06,0.003573153167963028,0.16932204365730286
0,L2,100,lagged,unavailable,full sensitivity tensors were not persisted at the 50-step evaluation grid,0.0028524273075163364,unavailable,unavailable,0.0,1.1252771400904749e-05,0.0011532404460012913,0.007557414006441832
