seed,memory_source,transition,current_site,historical_site,historical_site_index,class_id,case_count,shrinkage,static_oracle_cosine,full_shift_oracle_cosine,shrinkage_oracle_cosine,shrinkage_minus_static,full_shift_minus_static
0,labeled,0_to_1,RIM_ONE_r3,REFUGE,0,1,16,0.9877985021966433,0.49829041957855225,0.889295220375061,0.8915682435035706,0.3932778239250183,0.3910048007965088
0,labeled,0_to_1,RIM_ONE_r3,REFUGE,0,2,16,0.9820510095043469,0.32948246598243713,0.8992754220962524,0.8976010084152222,0.568118542432785,0.5697929561138153
0,labeled,1_to_2,Drishti_GS,REFUGE,0,1,10,0.983473812041475,0.014724737033247948,0.4492034614086151,0.4464851915836334,0.4317604545503855,0.43447872437536716
0,labeled,1_to_2,Drishti_GS,REFUGE,0,2,10,0.9838912540238505,0.39400383830070496,0.8810499310493469,0.8815555572509766,0.4875517189502716,0.48704609274864197
0,labeled,1_to_2,Drishti_GS,RIM_ONE_r3,1,1,10,0.983473812041475,0.08164547383785248,0.5381705164909363,0.5354475378990173,0.45380206406116486,0.4565250426530838
0,labeled,1_to_2,Drishti_GS,RIM_ONE_r3,1,2,10,0.9838912540238505,0.4789908528327942,0.7631456851959229,0.765020489692688,0.2860296368598938,0.28415483236312866
0,combined,0_to_1,RIM_ONE_r3,REFUGE,0,1,16,0.9877985021966433,0.49349814653396606,0.8841902613639832,0.8864158987998962,0.3929177522659302,0.3906921148300171
0,combined,0_to_1,RIM_ONE_r3,REFUGE,0,2,16,0.9820510095043469,0.3133733570575714,0.8805540800094604,0.8787271976470947,0.5653538405895233,0.567180722951889
0,combined,1_to_2,Drishti_GS,REFUGE,0,1,10,0.983473812041475,0.00740630179643631,0.44343334436416626,0.4406541883945465,0.4332478865981102,0.43602704256772995
0,combined,1_to_2,Drishti_GS,REFUGE,0,2,10,0.9838912540238505,0.4194422960281372,0.8741238117218018,0.8746200203895569,0.4551777243614197,0.45468151569366455
0,combined,1_to_2,Drishti_GS,RIM_ONE_r3,1,1,10,0.983473812041475,0.14835238456726074,0.5902607440948486,0.5880039930343628,0.43965160846710205,0.4419083595275879
0,combined,1_to_2,Drishti_GS,RIM_ONE_r3,1,2,10,0.9838912540238505,0.5624063014984131,0.8070476055145264,0.8094778060913086,0.2470715045928955,0.24464130401611328
