seed,stage_index,domain,case_id,class_id,candidate,level,newly_selected,deselected,new_nonignore_count,removed_nonignore_count,new_correct,removed_correct,newly_selected_precision,removed_precision
0,0,REFUGE,REFUGE_test_g0004,0,Q1,case,12768,12768,12768,12768,12635,11821,0.9895833333333334,0.9258302005012531
0,0,REFUGE,REFUGE_test_g0004,0,Q2,case,12768,12768,12768,12768,12635,11821,0.9895833333333334,0.9258302005012531
0,0,REFUGE,REFUGE_test_g0004,1,Q1,case,94,94,94,94,2,16,0.02127659574468085,0.1702127659574468
0,0,REFUGE,REFUGE_test_g0004,1,Q2,case,94,94,94,94,2,16,0.02127659574468085,0.1702127659574468
0,0,REFUGE,REFUGE_test_g0004,2,Q1,case,142,142,142,142,142,141,1.0,0.9929577464788732
0,0,REFUGE,REFUGE_test_g0004,2,Q2,case,142,142,142,142,142,141,1.0,0.9929577464788732
0,0,REFUGE,REFUGE_test_n0024,0,Q1,case,16864,16864,16864,16864,16862,16297,0.999881404174573,0.9663780834914611
0,0,REFUGE,REFUGE_test_n0024,0,Q2,case,16864,16864,16864,16864,16862,16297,0.999881404174573,0.9663780834914611
0,0,REFUGE,REFUGE_test_n0024,1,Q1,case,965,965,965,965,35,681,0.03626943005181347,0.705699481865285
0,0,REFUGE,REFUGE_test_n0024,1,Q2,case,965,965,965,965,35,681,0.03626943005181347,0.705699481865285
0,0,REFUGE,REFUGE_test_n0024,2,Q1,case,260,260,260,260,146,140,0.5615384615384615,0.5384615384615384
0,0,REFUGE,REFUGE_test_n0024,2,Q2,case,260,260,260,260,146,140,0.5615384615384615,0.5384615384615384
0,0,REFUGE,REFUGE_test_n0045,0,Q1,case,15753,15753,15753,15753,15505,14939,0.9842569669269345,0.9483273027359868
0,0,REFUGE,REFUGE_test_n0045,0,Q2,case,15753,15753,15753,15753,15505,14939,0.9842569669269345,0.9483273027359868
0,0,REFUGE,REFUGE_test_n0045,1,Q1,case,198,198,198,198,106,133,0.5353535353535354,0.6717171717171717
0,0,REFUGE,REFUGE_test_n0045,1,Q2,case,198,198,198,198,106,133,0.5353535353535354,0.6717171717171717
0,0,REFUGE,REFUGE_test_n0045,2,Q1,case,117,117,117,117,3,60,0.02564102564102564,0.5128205128205128
0,0,REFUGE,REFUGE_test_n0045,2,Q2,case,117,117,117,117,3,60,0.02564102564102564,0.5128205128205128
0,0,REFUGE,REFUGE_test_n0064,0,Q1,case,19857,19857,19857,19857,19856,19251,0.999949639925467,0.9694817948330563
0,0,REFUGE,REFUGE_test_n0064,0,Q2,case,19857,19857,19857,19857,19856,19251,0.999949639925467,0.9694817948330563
0,0,REFUGE,REFUGE_test_n0064,1,Q1,case,287,287,287,287,214,190,0.7456445993031359,0.662020905923345
0,0,REFUGE,REFUGE_test_n0064,1,Q2,case,287,287,287,287,214,190,0.7456445993031359,0.662020905923345
0,0,REFUGE,REFUGE_test_n0064,2,Q1,case,112,112,112,112,93,56,0.8303571428571429,0.5
0,0,REFUGE,REFUGE_test_n0064,2,Q2,case,112,112,112,112,93,56,0.8303571428571429,0.5
0,0,REFUGE,REFUGE_test_n0107,0,Q1,case,16590,16590,16590,16590,16586,15875,0.9997588908981314,0.9569017480409886
0,0,REFUGE,REFUGE_test_n0107,0,Q2,case,16590,16590,16590,16590,16586,15875,0.9997588908981314,0.9569017480409886
0,0,REFUGE,REFUGE_test_n0107,1,Q1,case,660,660,660,660,496,387,0.7515151515151515,0.5863636363636363
0,0,REFUGE,REFUGE_test_n0107,1,Q2,case,660,660,660,660,496,387,0.7515151515151515,0.5863636363636363
0,0,REFUGE,REFUGE_test_n0107,2,Q1,case,332,332,332,332,30,172,0.09036144578313253,0.5180722891566265
0,0,REFUGE,REFUGE_test_n0107,2,Q2,case,332,332,332,332,30,172,0.09036144578313253,0.5180722891566265
0,0,REFUGE,REFUGE_test_n0128,0,Q1,case,18240,18240,18240,18240,18212,18093,0.9984649122807018,0.9919407894736842
0,0,REFUGE,REFUGE_test_n0128,0,Q2,case,18240,18240,18240,18240,18212,18093,0.9984649122807018,0.9919407894736842
0,0,REFUGE,REFUGE_test_n0128,1,Q1,case,1116,1116,1116,1116,750,892,0.6720430107526881,0.7992831541218638
0,0,REFUGE,REFUGE_test_n0128,1,Q2,case,1116,1116,1116,1116,750,892,0.6720430107526881,0.7992831541218638
0,0,REFUGE,REFUGE_test_n0128,2,Q1,case,497,497,497,497,241,169,0.48490945674044267,0.34004024144869216
0,0,REFUGE,REFUGE_test_n0128,2,Q2,case,497,497,497,497,241,169,0.48490945674044267,0.34004024144869216
0,0,REFUGE,REFUGE_test_n0138,0,Q1,case,8674,8674,8674,8674,8581,6750,0.9892783029744062,0.7781876873414802
0,0,REFUGE,REFUGE_test_n0138,0,Q2,case,8674,8674,8674,8674,8581,6750,0.9892783029744062,0.7781876873414802
0,0,REFUGE,REFUGE_test_n0138,1,Q1,case,1110,1110,1110,1110,580,753,0.5225225225225225,0.6783783783783783
0,0,REFUGE,REFUGE_test_n0138,1,Q2,case,1110,1110,1110,1110,580,753,0.5225225225225225,0.6783783783783783
0,0,REFUGE,REFUGE_test_n0138,2,Q1,case,388,388,388,388,11,117,0.028350515463917526,0.3015463917525773
0,0,REFUGE,REFUGE_test_n0138,2,Q2,case,388,388,388,388,11,117,0.028350515463917526,0.3015463917525773
0,0,REFUGE,REFUGE_test_n0147,0,Q1,case,11853,11853,11853,11853,11826,11747,0.9977220956719818,0.9910571163418543
0,0,REFUGE,REFUGE_test_n0147,0,Q2,case,11853,11853,11853,11853,11826,11747,0.9977220956719818,0.9910571163418543
0,0,REFUGE,REFUGE_test_n0147,1,Q1,case,2687,2687,2687,2687,1027,2036,0.38221064384071457,0.757722366951991
0,0,REFUGE,REFUGE_test_n0147,1,Q2,case,2687,2687,2687,2687,1027,2036,0.38221064384071457,0.757722366951991
0,0,REFUGE,REFUGE_test_n0147,2,Q1,case,443,443,443,443,83,101,0.1873589164785553,0.22799097065462753
0,0,REFUGE,REFUGE_test_n0147,2,Q2,case,443,443,443,443,83,101,0.1873589164785553,0.22799097065462753
0,0,REFUGE,REFUGE_test_n0159,0,Q1,case,15207,15207,15207,15207,14971,13820,0.9844808311961597,0.9087920036825147
0,0,REFUGE,REFUGE_test_n0159,0,Q2,case,15207,15207,15207,15207,14971,13820,0.9844808311961597,0.9087920036825147
0,0,REFUGE,REFUGE_test_n0159,1,Q1,case,1079,1079,1079,1079,23,337,0.021316033364226137,0.3123262279888786
0,0,REFUGE,REFUGE_test_n0159,1,Q2,case,1079,1079,1079,1079,23,337,0.021316033364226137,0.3123262279888786
0,0,REFUGE,REFUGE_test_n0159,2,Q1,case,308,308,308,308,46,127,0.14935064935064934,0.41233766233766234
0,0,REFUGE,REFUGE_test_n0159,2,Q2,case,308,308,308,308,46,127,0.14935064935064934,0.41233766233766234
0,0,REFUGE,REFUGE_test_n0170,0,Q1,case,15713,15713,15713,15713,15609,14526,0.9933812766499077,0.9244574556100045
0,0,REFUGE,REFUGE_test_n0170,0,Q2,case,15713,15713,15713,15713,15609,14526,0.9933812766499077,0.9244574556100045
0,0,REFUGE,REFUGE_test_n0170,1,Q1,case,125,125,125,125,78,55,0.624,0.44
0,0,REFUGE,REFUGE_test_n0170,1,Q2,case,125,125,125,125,78,55,0.624,0.44
0,0,REFUGE,REFUGE_test_n0170,2,Q1,case,201,201,201,201,42,111,0.208955223880597,0.5522388059701493
0,0,REFUGE,REFUGE_test_n0170,2,Q2,case,201,201,201,201,42,111,0.208955223880597,0.5522388059701493
0,0,REFUGE,REFUGE_test_n0176,0,Q1,case,21929,21929,21929,21929,21929,21923,1.0,0.9997263897122531
0,0,REFUGE,REFUGE_test_n0176,0,Q2,case,21929,21929,21929,21929,21929,21923,1.0,0.9997263897122531
0,0,REFUGE,REFUGE_test_n0176,1,Q1,case,3248,3248,3248,3248,772,2608,0.2376847290640394,0.8029556650246306
0,0,REFUGE,REFUGE_test_n0176,1,Q2,case,3248,3248,3248,3248,772,2608,0.2376847290640394,0.8029556650246306
0,0,REFUGE,REFUGE_test_n0176,2,Q1,case,563,563,563,563,0,125,0.0,0.22202486678507993
0,0,REFUGE,REFUGE_test_n0176,2,Q2,case,563,563,563,563,0,125,0.0,0.22202486678507993
0,0,REFUGE,REFUGE_test_n0184,0,Q1,case,8941,8941,8941,8941,8919,8941,0.9975394251202326,1.0
0,0,REFUGE,REFUGE_test_n0184,0,Q2,case,8941,8941,8941,8941,8919,8941,0.9975394251202326,1.0
0,0,REFUGE,REFUGE_test_n0184,1,Q1,case,4523,4523,4523,4523,1911,3461,0.42250718549635197,0.7652000884368781
0,0,REFUGE,REFUGE_test_n0184,1,Q2,case,4523,4523,4523,4523,1911,3461,0.42250718549635197,0.7652000884368781
0,0,REFUGE,REFUGE_test_n0184,2,Q1,case,151,151,151,151,9,53,0.059602649006622516,0.3509933774834437
0,0,REFUGE,REFUGE_test_n0184,2,Q2,case,151,151,151,151,9,53,0.059602649006622516,0.3509933774834437
0,0,REFUGE,REFUGE_test_n0228,0,Q1,case,18921,18921,18921,18921,18921,18916,1.0,0.9997357433539453
0,0,REFUGE,REFUGE_test_n0228,0,Q2,case,18921,18921,18921,18921,18921,18916,1.0,0.9997357433539453
0,0,REFUGE,REFUGE_test_n0228,1,Q1,case,1747,1747,1747,1747,712,1129,0.4075558099599313,0.6462507155123068
0,0,REFUGE,REFUGE_test_n0228,1,Q2,case,1747,1747,1747,1747,712,1129,0.4075558099599313,0.6462507155123068
0,0,REFUGE,REFUGE_test_n0228,2,Q1,case,217,217,217,217,22,70,0.10138248847926268,0.3225806451612903
0,0,REFUGE,REFUGE_test_n0228,2,Q2,case,217,217,217,217,22,70,0.10138248847926268,0.3225806451612903
0,0,REFUGE,REFUGE_test_n0243,0,Q1,case,16626,16626,16626,16626,16625,16578,0.9999398532419103,0.9971129556116926
0,0,REFUGE,REFUGE_test_n0243,0,Q2,case,16626,16626,16626,16626,16625,16578,0.9999398532419103,0.9971129556116926
0,0,REFUGE,REFUGE_test_n0243,1,Q1,case,3372,3372,3372,3372,438,1663,0.1298932384341637,0.4931791221826809
0,0,REFUGE,REFUGE_test_n0243,1,Q2,case,3372,3372,3372,3372,438,1663,0.1298932384341637,0.4931791221826809
0,0,REFUGE,REFUGE_test_n0243,2,Q1,case,360,360,360,360,31,105,0.08611111111111111,0.2916666666666667
0,0,REFUGE,REFUGE_test_n0243,2,Q2,case,360,360,360,360,31,105,0.08611111111111111,0.2916666666666667
0,0,REFUGE,REFUGE_test_n0268,0,Q1,case,13041,13041,13041,13041,12773,12861,0.979449428724791,0.9861973775017253
0,0,REFUGE,REFUGE_test_n0268,0,Q2,case,13041,13041,13041,13041,12773,12861,0.979449428724791,0.9861973775017253
0,0,REFUGE,REFUGE_test_n0268,1,Q1,case,3378,3378,3378,3378,350,2655,0.10361160449970397,0.7859680284191829
0,0,REFUGE,REFUGE_test_n0268,1,Q2,case,3378,3378,3378,3378,350,2655,0.10361160449970397,0.7859680284191829
0,0,REFUGE,REFUGE_test_n0268,2,Q1,case,289,289,289,289,59,71,0.2041522491349481,0.24567474048442905
0,0,REFUGE,REFUGE_test_n0268,2,Q2,case,289,289,289,289,59,71,0.2041522491349481,0.24567474048442905
0,0,REFUGE,REFUGE_test_n0275,0,Q1,case,17460,17460,17460,17460,17460,17377,1.0,0.9952462772050401
