seed,stage_index,case_id,class_id,pixels,active_pixels,null_pixels,target_active_count,selected_active_count,R1_mass,MMPR_mass,mass_difference,R1_null_mass,MMPR_null_mass,newly_selected,deselected,tied_score_rows,tied_score_groups,cutoff_score,cutoff_tie_rows,hash_collisions,stratum_mask_sha256,GT_received_by_builder,candidate
0,0,REFUGE_test_g0004,0,138973,138973,0,16600,16600,16600,16600,0,0,0,12768,12768,26773,4145,0.9999759194887398,1,0,9c765fa4e872ca5a6b0804703876f72f847a3e9073b8d5ada6174ece3319d6f5,False,Q1
0,0,REFUGE_test_g0004,1,6578,6578,0,99,99,99,99,0,0,0,94,94,0,0,0.974253823369177,1,0,de48b6df30b2be63cc3bf9c81608fafb6a0f0bbc7fd8abd8577cf6d0b939a0dc,False,Q1
0,0,REFUGE_test_g0004,2,1905,1905,0,960,960,960,960,0,0,0,142,142,0,0,0.8331734896862444,1,0,8bbaac665d5f030719c19d9c770dddc2e2587c2486d743cac9f3481d82cecc82,False,Q1
0,0,REFUGE_test_g0004,0,138973,138973,0,16600,16600,16600,16600,0,0,0,12768,12768,26773,4145,0.9999759194887398,1,0,9c765fa4e872ca5a6b0804703876f72f847a3e9073b8d5ada6174ece3319d6f5,False,Q2
0,0,REFUGE_test_g0004,1,6578,6578,0,99,99,99,99,0,0,0,94,94,0,0,0.974253823369177,1,0,de48b6df30b2be63cc3bf9c81608fafb6a0f0bbc7fd8abd8577cf6d0b939a0dc,False,Q2
0,0,REFUGE_test_g0004,2,1905,1905,0,960,960,960,960,0,0,0,142,142,0,0,0.8331734896862444,1,0,8bbaac665d5f030719c19d9c770dddc2e2587c2486d743cac9f3481d82cecc82,False,Q2
0,0,REFUGE_test_n0024,0,136945,136945,0,20486,20486,20486,20486,0,0,0,16864,16864,29839,3666,0.9999867777955694,1,0,4a39ddebdf1bbd871c95dd2e668dfde7048799675cbd007aa465c748d9a4268f,False,Q1
0,0,REFUGE_test_n0024,1,6773,6773,0,1050,1050,1050,1050,0,0,0,965,965,0,0,0.8592082952170801,1,0,7de872f42bb36d25ec917ab9853c45891f8ecfd1470ee84d2de335bad3326f41,False,Q1
0,0,REFUGE_test_n0024,2,3738,3738,0,1415,1415,1415,1415,0,0,0,260,260,0,0,0.6018698052254671,1,0,34852e0a484a77087e649453c38710800b49ecd35ec08820a7d61d8dc494b22d,False,Q1
0,0,REFUGE_test_n0024,0,136945,136945,0,20486,20486,20486,20486,0,0,0,16864,16864,29839,3666,0.9999867777955694,1,0,4a39ddebdf1bbd871c95dd2e668dfde7048799675cbd007aa465c748d9a4268f,False,Q2
