batch_id,block,candidate,cosine,domain,dot,negative_cosine,pair_index,seed,stage_index,supervised_norm,supervised_zero,undefined_reason,unsupervised_norm,unsupervised_zero
B0/seed0/stage0/REFUGE/pair02,dec2,Q1,-0.261709987248374,REFUGE,-8.86215232763145e-05,True,2,0,0,0.02507561188924048,False,,0.013504153783342035,False
B0/seed0/stage0/REFUGE/pair02,dec1,Q0,-0.012392819388439776,REFUGE,-0.0020814500740434687,True,2,0,0,0.6624681979864111,False,,0.2535308679788582,False
B0/seed0/stage0/REFUGE/pair02,dec1,Q1,-0.6094715888959324,REFUGE,-0.09338011876097872,True,2,0,0,0.6624681979864111,False,,0.23127885144002894,False
B0/seed0/stage0/REFUGE/pair02,classifier.mu,Q0,-0.6498882488426005,REFUGE,-0.1277069508506966,True,2,0,0,0.5161929652639715,False,,0.3806832513619611,False
B0/seed0/stage0/REFUGE/pair02,classifier.mu,Q1,-0.7955270154494384,REFUGE,-0.11621311514052834,True,2,0,0,0.5161929652639715,False,,0.2830011032843248,False
B0/seed0/stage0/REFUGE/pair03,encoder,Q0,-0.14371488631077492,REFUGE,-0.03051033898681372,True,3,0,0,0.38667735985424206,False,,0.5490305775485244,False
B0/seed0/stage0/REFUGE/pair03,encoder,Q1,-0.3387837891203392,REFUGE,-0.0459870865029805,True,3,0,0,0.38667735985424206,False,,0.3510464052091369,False
B0/seed0/stage0/REFUGE/pair03,bottleneck,Q0,0.8295016003205077,REFUGE,0.0012988192201756536,False,3,0,0,0.038670340701931996,False,,0.04049053173850833,False
B0/seed0/stage0/REFUGE/pair03,bottleneck,Q1,0.5577220769957589,REFUGE,0.0005251049264442712,False,3,0,0,0.038670340701931996,False,,0.024347269239484288,False
B0/seed0/stage0/REFUGE/pair03,dec3,Q0,-0.09438114427636399,REFUGE,-4.718965656862832e-05,True,3,0,0,0.022599003680613537,False,,0.022124439922156305,False
B0/seed0/stage0/REFUGE/pair03,dec3,Q1,-0.5049851857378052,REFUGE,-0.0002880813433936288,True,3,0,0,0.022599003680613537,False,,0.025243362440676514,False
B0/seed0/stage0/REFUGE/pair03,dec2,Q0,0.391093962372929,REFUGE,0.00019347145904142067,False,3,0,0,0.030838294391161987,False,,0.016041517351045937,False
B0/seed0/stage0/REFUGE/pair03,dec2,Q1,-0.7141350635183886,REFUGE,-0.0010278877247491408,True,3,0,0,0.030838294391161987,False,,0.04667399469259813,False
B0/seed0/stage0/REFUGE/pair03,dec1,Q0,0.3094890833310722,REFUGE,0.109416024861723,False,3,0,0,0.6573417454708791,False,,0.5378292084946165,False
B0/seed0/stage0/REFUGE/pair03,dec1,Q1,0.09597263818861825,REFUGE,0.13224975288552132,False,3,0,0,0.6573417454708791,False,,2.096313457104497,False
B0/seed0/stage0/REFUGE/pair03,classifier.mu,Q0,-0.4836032588824066,REFUGE,-0.13784384728576482,True,3,0,0,0.4865452264581174,False,,0.585834509855062,False
B0/seed0/stage0/REFUGE/pair03,classifier.mu,Q1,0.8829005883758555,REFUGE,0.27205638336876736,False,3,0,0,0.4865452264581174,False,,0.6333210135672022,False
B0/seed0/stage0/REFUGE/pair04,encoder,Q0,-0.09894203576924876,REFUGE,-0.01393858638571251,True,4,0,0,0.42531817086896295,False,,0.33122564283940753,False
B0/seed0/stage0/REFUGE/pair04,encoder,Q1,-0.44979774912678566,REFUGE,-0.11758659887746795,True,4,0,0,0.42531817086896295,False,,0.6146481991865336,False
B0/seed0/stage0/REFUGE/pair04,bottleneck,Q0,-0.8070176351281666,REFUGE,-0.001615118242414337,True,4,0,0,0.060379725167224854,False,,0.033145926684270535,False
B0/seed0/stage0/REFUGE/pair04,bottleneck,Q1,-0.8399682113419279,REFUGE,-0.003660200310108963,True,4,0,0,0.060379725167224854,False,,0.07216903049662746,False
B0/seed0/stage0/REFUGE/pair04,dec3,Q0,-0.8270705640727929,REFUGE,-0.0003355693619938745,True,4,0,0,0.025845968905333198,False,,0.015698093822630137,False
B0/seed0/stage0/REFUGE/pair04,dec3,Q1,-0.8660778506543877,REFUGE,-0.0011924442745187677,True,4,0,0,0.025845968905333198,False,,0.05327069258808924,False
B0/seed0/stage0/REFUGE/pair04,dec2,Q0,0.21872992195930802,REFUGE,6.11212609621255e-05,False,4,0,0,0.020676759181031495,False,,0.01351455150519659,False
B0/seed0/stage0/REFUGE/pair04,dec2,Q1,-0.30701196860997376,REFUGE,-0.00016112274566835365,True,4,0,0,0.020676759181031495,False,,0.025381604815172217,False
B0/seed0/stage0/REFUGE/pair04,dec1,Q0,0.5538473446647418,REFUGE,0.08884981230437894,False,4,0,0,0.5878437399810106,False,,0.27290063052781993,False
B0/seed0/stage0/REFUGE/pair04,dec1,Q1,-0.620652968215026,REFUGE,-0.12870250724676338,True,4,0,0,0.5878437399810106,False,,0.35275751377515696,False
B0/seed0/stage0/REFUGE/pair04,classifier.mu,Q0,-0.36854156889092293,REFUGE,-0.03173110132883346,True,4,0,0,0.2794661591819459,False,,0.30808420929581426,False
B0/seed0/stage0/REFUGE/pair04,classifier.mu,Q1,-0.7082201557830639,REFUGE,-0.05934572150055599,True,4,0,0,0.2794661591819459,False,,0.2998416129138546,False
B0/seed0/stage0/REFUGE/pair05,encoder,Q0,-0.769886217511354,REFUGE,-0.17985375795857259,True,5,0,0,0.6381769965317184,False,,0.3660596211618279,False
B0/seed0/stage0/REFUGE/pair05,encoder,Q1,-0.774315439548857,REFUGE,-0.4870695687366215,True,5,0,0,0.6381769965317184,False,,0.9856708923981758,False
B0/seed0/stage0/REFUGE/pair05,bottleneck,Q0,-0.3540844247366069,REFUGE,-0.00035913461593231746,True,5,0,0,0.04751991684787453,False,,0.0213439488666342,False
B0/seed0/stage0/REFUGE/pair05,bottleneck,Q1,-0.42228878947029375,REFUGE,-0.0010775351236665112,True,5,0,0,0.04751991684787453,False,,0.05369652872094739,False
B0/seed0/stage0/REFUGE/pair05,dec3,Q0,-0.6824087606022946,REFUGE,-0.00021708723386232916,True,5,0,0,0.03029764874212611,False,,0.010499793673736688,False
B0/seed0/stage0/REFUGE/pair05,dec3,Q1,-0.7063034912330763,REFUGE,-0.0007245609972055212,True,5,0,0,0.03029764874212611,False,,0.03385904255458404,False
B0/seed0/stage0/REFUGE/pair05,dec2,Q0,-0.7027137484171914,REFUGE,-0.0002463583191937563,True,5,0,0,0.03924454001876866,False,,0.008933251044136668,False
B0/seed0/stage0/REFUGE/pair05,dec2,Q1,-0.7675177439150402,REFUGE,-0.0007367486013387956,True,5,0,0,0.03924454001876866,False,,0.024459729641864294,False
B0/seed0/stage0/REFUGE/pair05,dec1,Q0,-0.5516378004380933,REFUGE,-0.09004704770641517,True,5,0,0,0.739020802963126,False,,0.22088122221845885,False
B0/seed0/stage0/REFUGE/pair05,dec1,Q1,-0.5417085470569423,REFUGE,-0.17592464940713565,True,5,0,0,0.739020802963126,False,,0.4394448129801538,False
B0/seed0/stage0/REFUGE/pair05,classifier.mu,Q0,-0.8295564862981215,REFUGE,-0.1250584080387538,True,5,0,0,0.6329904270369582,False,,0.23816053127710765,False
B0/seed0/stage0/REFUGE/pair05,classifier.mu,Q1,-0.8491644202141854,REFUGE,-0.15070899106753427,True,5,0,0,0.6329904270369582,False,,0.28038206587330483,False
B0/seed0/stage0/REFUGE/pair06,encoder,Q0,0.17373389475572754,REFUGE,0.05146562850864804,False,6,0,0,0.4125456743906676,False,,0.7180599214922494,False
B0/seed0/stage0/REFUGE/pair06,encoder,Q1,0.06438065564941882,REFUGE,0.0387906672858775,False,6,0,0,0.4125456743906676,False,,1.4604941355928982,False
B0/seed0/stage0/REFUGE/pair06,bottleneck,Q0,0.278360115856369,REFUGE,0.0001009043728405792,False,6,0,0,0.013564935693869039,False,,0.026723001717041013,False
B0/seed0/stage0/REFUGE/pair06,bottleneck,Q1,0.6321578633836716,REFUGE,0.0006764031925085254,False,6,0,0,0.013564935693869039,False,,0.07887917596508731,False
B0/seed0/stage0/REFUGE/pair06,dec3,Q0,0.5690733642762522,REFUGE,0.0001072895482596231,False,6,0,0,0.0121176844459715,False,,0.015558564299304474,False
B0/seed0/stage0/REFUGE/pair06,dec3,Q1,-0.3870162344873127,REFUGE,-0.00030596904808021305,True,6,0,0,0.0121176844459715,False,,0.06524221142528792,False
B0/seed0/stage0/REFUGE/pair06,dec2,Q0,0.5218441064971396,REFUGE,0.0002825721565558821,False,6,0,0,0.015423218920471094,False,,0.035108603893795776,False
B0/seed0/stage0/REFUGE/pair06,dec2,Q1,0.2965033594924383,REFUGE,0.00024087230242832101,False,6,0,0,0.015423218920471094,False,,0.05267229267910654,False
B0/seed0/stage0/REFUGE/pair06,dec1,Q0,0.7967826119659268,REFUGE,0.2363318313687124,False,6,0,0,0.41215062262384594,False,,0.719658421888378,False
B0/seed0/stage0/REFUGE/pair06,dec1,Q1,0.5251623559150637,REFUGE,0.17750694311369652,False,6,0,0,0.41215062262384594,False,,0.8200980831242196,False
B0/seed0/stage0/REFUGE/pair06,classifier.mu,Q0,0.6786560032949831,REFUGE,0.11114513411075584,False,6,0,0,0.38529416125562277,False,,0.4250581339513513,False
B0/seed0/stage0/REFUGE/pair06,classifier.mu,Q1,-0.47980696758594904,REFUGE,-0.08484638591587612,True,6,0,0,0.38529416125562277,False,,0.45895950649474687,False
B0/seed0/stage0/REFUGE/pair07,encoder,Q0,0.6135263796569168,REFUGE,0.09113169852176937,False,7,0,0,0.7695687705908562,False,,0.19301398996058403,False
B0/seed0/stage0/REFUGE/pair07,encoder,Q1,0.3939001129036599,REFUGE,0.15480081371318624,False,7,0,0,0.7695687705908562,False,,0.5106692392267664,False
