GT_received_by_builder,MMPR_mass,MMPR_null_mass,R1_mass,R1_null_mass,active_pixels,case_id,class_id,cutoff_score,cutoff_tie_rows,deselected,hash_collisions,mass_difference,newly_selected,null_pixels,pixels,seed,selected_active_count,stage_index,stratum_mask_sha256,target_active_count,tied_score_groups,tied_score_rows
False,25081,0,25081,0,130878,REFUGE_train_n0188,0,0.9991645812988281,1,14010,0,0,14010,0,130878,0,25081,0,24abb68e73752daf8f403c13a645daefff8a349baf18ac67fd723c5ff08835d8,25081,1448,7126
False,815,0,815,0,2146,REFUGE_train_n0188,1,0.3551800544613968,1,563,0,0,563,0,2146,0,815,0,1fa4ea3c5006a24ea46f3b2e320497dfa69a730944c7514ccdcbb7ba2b1e9d4b,815,0,0
False,1664,0,1664,0,14432,REFUGE_train_n0188,2,0.5617857465254671,1,508,0,0,508,0,14432,0,1664,0,43a02be96872010fc0bc110bbd9b14a205371b71e7075988ff3ace74f598ebfa,1664,0,0
False,20700,0,20700,0,129630,REFUGE_test_n0144,0,0.9998206868116409,1,15910,0,0,15910,0,129630,0,20700,0,95af198755934ccc392b4712ff086995e292b8301b0eda5206396525f7f82a6a,20700,2038,13330
False,463,0,463,0,1696,REFUGE_test_n0144,1,0.5313817962784105,1,299,0,0,299,0,1696,0,463,0,f3fc0a916933126a4182a50b02e940e183c497e882358cad1a4bf487d1bed73c,463,0,0
False,1560,0,1560,0,16130,REFUGE_test_n0144,2,0.633584162411863,1,562,0,0,562,0,16130,0,1560,0,c045d9a2a3ab2f50aacf3eaeb22e03019ef8a80c38de9c48d018060a93afb705,1560,0,0
False,29329,0,29329,0,132829,REFUGE_test_n0312,0,0.9999708807363392,1,22985,0,0,22985,0,132829,0,29329,0,bd4a35b705e4524d7ae09c92720e5aaf921ee3bd1c8e94d52658cfe340708596,29329,3496,35653
False,1014,0,1014,0,6976,REFUGE_test_n0312,1,0.8928817272719926,1,937,0,0,937,0,6976,0,1014,0,49af1cca799409b927e99d1f46e29d0f19e75b255b336f87f9b69e7ed189d4aa,1014,0,0
False,2901,0,2901,0,7651,REFUGE_test_n0312,2,0.5807489526421307,1,936,0,0,936,0,7651,0,2901,0,e1320a505cbbfde737b122596f49e23e9027424e51ca7e9858be0d1739b77a1a,2901,0,0
False,27122,0,27122,0,115985,REFUGE_train_n0343,0,0.9999912977218628,88,21928,0,0,21928,0,115985,0,27122,0,bbd6a66a9dd5aa7ada4a7bdc8e9358f44fa0dd31b04f28b944293e3fc46d7e1e,27122,3468,46298
False,4668,0,4668,0,22556,REFUGE_train_n0343,1,0.9505640267362945,1,3950,0,0,3950,0,22556,0,4668,0,4497e17c859447bb2e5744ca145d8d4cae244492016fab37fbdc54f406fbdc63,4668,0,0
False,3278,0,3278,0,8915,REFUGE_train_n0343,2,0.397226570457379,1,1161,0,0,1161,0,8915,0,3278,0,fdfe64aea599bfd508a9cb99cee76db8edd1753ef8bb6ebeb847269adced87c9,3278,0,0
False,38151,0,38151,0,140092,REFUGE_train_n0088,0,0.9997092071964595,1,18884,0,0,18884,0,140092,0,38151,0,cf0ddefa5c8a40a202238398935fe19069a9e58826199b3546f4df4d2ff7b377,38151,4826,19688
False,1226,0,1226,0,3060,REFUGE_train_n0088,1,0.33372574839218255,1,829,0,0,829,0,3060,0,1226,0,de9f8a35199c0c42de6bc5d21afed20951c94d93c639ee325d0f5de9192448f3,1226,0,0
False,1282,0,1282,0,4304,REFUGE_train_n0088,2,0.7083831706329422,1,217,0,0,217,0,4304,0,1282,0,a37c7807c5b5fbbd9f0159b7b9ce6e0f8aed61cc2612f8ef6492cb916302c7f4,1282,0,0
False,20599,0,20599,0,127046,REFUGE_train_n0335,0,0.9999758005083165,1,16483,0,0,16483,0,127046,0,20599,0,4f1c311dad3f6d1b5b528a020401d04ebc3302764b794f4fe08d71b0ec711f6a,20599,3280,25552
False,3300,0,3300,0,12435,REFUGE_train_n0335,1,0.8333591019328291,1,2367,0,0,2367,0,12435,0,3300,0,427d80e91dbbd1e612565f99cbd362e555f38fffecd8c4eb44cfbf0e995e5420,3300,0,0
False,2176,0,2176,0,7975,REFUGE_train_n0335,2,0.1331279681323159,1,873,0,0,873,0,7975,0,2176,0,8c4fe5cf04205c18a88c3e5fd4a598540e6a280c401b33d9cadac10e5a16ad08,2176,0,0
False,24217,0,24217,0,120858,REFUGE_train_n0040,0,0.9991518159036643,1,16394,0,0,16394,0,120858,0,24217,0,78ca1f14fb52d8b3d5da40a8f6ade3790224b41e5737aaeac650d7efc6c44716,24217,3408,13024
False,1842,0,1842,0,8810,REFUGE_train_n0040,1,0.7898794421416401,1,1203,0,0,1203,0,8810,0,1842,0,2c9adcfbf5867815ab726f8325cc0cb6cc3b560d49d02f143f4557ce6fabb4d7,1842,0,0
False,1947,0,1947,0,17788,REFUGE_train_n0040,2,0.9015110771975926,1,1465,0,0,1465,0,17788,0,1947,0,d7b7c9357b738f64fa27cb9839f8fdfde31b43f8334fdc219eb45a142be07e79,1947,0,0
False,22998,0,22998,0,124359,REFUGE_test_g0031,0,0.9994083642959595,1,15580,0,0,15580,0,124359,0,22998,0,e0e62fea5bcb53a42b931ee2defcb04ce0b08d2cc38996efd00da17f0a967236,22998,3406,13067
False,482,0,482,0,6759,REFUGE_test_g0031,1,0.958719332739096,1,459,0,0,459,0,6759,0,482,0,f47e31b6ec77865675755b6714de2e56e4d6812fbc8f520f9a2315869bc94e3b,482,0,0
False,1429,0,1429,0,16338,REFUGE_test_g0031,2,0.9917364495999691,1,1375,0,0,1375,0,16338,0,1429,0,0bbdf5a4a6402a4f0a1752489184c0f347b08ba272334c63de17a95003bd31ea,1429,0,0
False,24393,0,24393,0,109716,REFUGE_train_g0009,0,0.9921998733901652,1,15120,0,0,15120,0,109716,0,24393,0,9588a974b3e7f2ca69c6714cf6c1729a56cc95545287090a11d440253c15cc43,24393,775,1671
False,1315,0,1315,0,7922,REFUGE_train_g0009,1,0.7723346510744075,1,1121,0,0,1121,0,7922,0,1315,0,4961167b734ec7f34836512fbfe5c2d554adacc2cca451334f61e849f4309bb6,1315,0,0
False,2229,0,2229,0,29818,REFUGE_train_g0009,2,0.7706228051082215,1,322,0,0,322,0,29818,0,2229,0,71a0c6e6f499712471c35cd657a06ce9f88325ef71d53efa9508e11db077c819,2229,0,0
False,19619,0,19619,0,94087,REFUGE_train_n0234,0,0.9988171008879233,1,14062,0,0,14062,0,94087,0,19619,0,9ec7935e2766bb9d4a33ede721b099683c800900327fed653ab8ccc84e4ff84e,19619,3107,13367
False,4037,0,4037,0,23479,REFUGE_train_n0234,1,0.8445396594329176,1,3358,0,0,3358,0,23479,0,4037,0,3026fb94bcc9a3eb8239c3cf297349160173a90d3be4f973cc122487ca0a4852,4037,0,0
False,2292,0,2292,0,29890,REFUGE_train_n0234,2,0.46200909206512736,1,793,0,0,793,0,29890,0,2292,0,b4f53342fd703efcda12ef31cf9f287ba446f65e78fbe05ca1b35fccbffd7470,2292,0,0
False,26415,0,26415,0,133459,REFUGE_test_n0199,0,0.9995744992852342,1,16588,0,0,16588,0,133459,0,26415,0,e0b92b564ae19da71e6a8dc2cec0bdff955f67b8b9b2c74035017910431b50f4,26415,5805,19890
