seed,stage_index,domain,case_id,class_id,candidate,level,valid_pixels,full_pixels,full_mass,R1_full_mass,full_mass_difference,selected_nonignore_mass,error_mass,case_fraction_selected,case_fraction_error,precision,weighted_error,ignored_pixels,selected_ignore_mass,null_pixels,selected_null_mass,cases,valid_stratum_cases,weighted_selected_mass,weighted_error_mass,case_error_defined,case_error_undefined,case_error_quantiles,reference_error,relative_error_reduction,precision_drop
0,0,REFUGE,REFUGE_test_n0024,2,Q0,case,3738,3738,1415.0,1415,0.0,1415.0,301.0,0.3785446762974853,0.08052434456928839,0.7872791519434629,0.2127208480565371,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0024,2,Q3,case,3738,3738,1532.1888792587617,1415,117.18887925876174,1532.1888792587617,415.78332066802335,0.40989536630785495,0.11123149295559748,0.7286344221026001,0.2713655778973999,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0045,0,Q1,case,145068,145068,27316.0,27316,0.0,27316.0,273.0,0.18829790167369787,0.0018818760856977416,0.9900058573729682,0.009994142627031776,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0045,0,Q2,case,145068,145068,27316.0,27316,0.0,27316.0,273.0,0.18829790167369787,0.0018818760856977416,0.9900058573729682,0.009994142627031776,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0045,0,Q0,case,145068,145068,27316.0,27316,0.0,27316.0,839.0,0.18829790167369787,0.005783494636997822,0.9692854004978767,0.030714599502123296,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0045,0,Q3,case,145068,145068,110617.19784897742,27316,83301.19784897742,110617.19784897742,1980.549197713713,0.7625196311314516,0.013652557405587126,0.9820954676467424,0.017904532353257598,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0045,1,Q1,case,1205,1205,435.0,435,0.0,435.0,208.0,0.36099585062240663,0.17261410788381742,0.5218390804597701,0.4781609195402299,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0045,1,Q2,case,1205,1205,435.0,435,0.0,435.0,208.0,0.36099585062240663,0.17261410788381742,0.5218390804597701,0.4781609195402299,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0045,1,Q0,case,1205,1205,435.0,435,0.0,435.0,181.0,0.36099585062240663,0.15020746887966804,0.5839080459770115,0.4160919540229885,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0045,1,Q3,case,1205,1205,368.3240287468928,435,-66.6759712531072,368.3240287468928,170.12617377016795,0.30566309439576167,0.14118354669723482,0.538107317220196,0.461892682779804,0,0.0,0,0.0,,,,,,,,,,
