trained_domain,REFUGE,RIM_ONE_r3,Drishti_GS
REFUGE,0.8440200600296357,,
RIM_ONE_r3,0.7249076775481373,0.6998357605792592,
Drishti_GS,0.5377505706964668,0.408461514094796,0.7828435804254548
