trained_domain,REFUGE,RIM_ONE_r3,Drishti_GS
REFUGE,0.893478056748041,,
RIM_ONE_r3,0.8107555386707069,0.7953380427147091,
Drishti_GS,0.6840230236752302,0.5949407659066229,0.8518020965191985
