level,policy,three_domain_gain,shared_gain,historical_gain,REFUGE_gain,RIM_ONE_r3_gain,current_domain_drop,maximum_current_class_drop,maximum_seed_domain_drop,positive_seed_count,route_frequency,route_count,route_precision,route_precision_numerator,route_precision_denominator,historical_recall,historical_recall_numerator,historical_recall_denominator,fold,candidate_id,kappa,tau,prediction_validity_denominator,route_eligibility_denominator
overall,C3,0.2035847773286392,0.2035847773286392,0.31303484788919705,0.307209994949924,0.3188597008284701,0.015315363792476487,0.01982162004051039,0.045946091377429464,3,0.797979797979798,158,0.9936708860759493,157,158,0.9345238095238095,157,168,,,,,,
overall,C4,0.18944078759546312,0.18944078759546312,0.29181886328943296,0.30554449749738494,0.2780932290814809,0.015315363792476487,0.01982162004051039,0.045946091377429464,3,0.7777777777777778,154,0.9935064935064936,153,154,0.9107142857142857,153,168,,,,,,
overall,C5,0.19665025702375158,0.19665025702375158,0.3113744695433874,0.30429228688690735,0.31845665219986735,0.032798168015519914,0.04013155651216874,0.05244841266913029,3,0.7929292929292929,157,0.9872611464968153,155,157,0.9226190476190477,155,168,,,,,,
overall,C6,0.2005138727803764,0.2005138727803764,0.30842849106680287,0.30429228688690735,0.31256469524669833,0.015315363792476487,0.01982162004051039,0.045946091377429464,3,0.7828282828282829,155,0.9935483870967742,154,155,0.9166666666666666,154,168,,,,,,
outer_fold_selection,C6,,,,,,,,,,0.6585365853658537,,,,,,,,0,k010_tau095,10,0.95,200,0
outer_fold_selection,C6,,,,,,,,,,0.7380952380952381,,,,,,,,1,k010_tau095,10,0.95,200,0
outer_fold_selection,C6,,,,,,,,,,0.7297297297297297,,,,,,,,2,k010_tau095,10,0.95,200,0
outer_fold_selection,C6,,,,,,,,,,0.7894736842105263,,,,,,,,3,k100_tau090,100,0.9,200,0
outer_fold_selection,C6,,,,,,,,,,1.0,,,,,,,,4,k100_tau090,100,0.9,200,200
