fold,selected,calibration_pass,candidate_id,consensus_sha256,current_false_override_p90,historical_recall_p10,kappa,median_accepted_historical_patients,median_probability_sha256,minimum_outer_finite_predictions,outer_route_count,outer_route_frequency,prediction_validity_count_max,prediction_validity_count_min,rho,route_agreement,route_eligibility_count_max,route_eligibility_count_min,route_precision_p10,route_sha256,tau
0,False,False,k010_tau090,c153c503d89926506708874a439f7d42a92e4933b2d1c16ccdebb9f0d1c23389,0.024999999999999998,0.9271180170181279,10,437.0,a8289ab8cbc1ec13c9efc3e418aa0867004013fb6f637aa1f552de9dfe0f63de,200,28,0.6829268292682927,200,200,0.8,0.9763384113166486,200,0,0.9879375202815706,5a9596127906a14c385911ebd1f4132fc22218636fe4bfadaf62b74b97b4dde4,0.9
0,True,True,k010_tau095,f6b2fd02bdcd89c99be61c10f2eae7d79bd0d83211cffb07a27d6a7b7ffefcfc,0.010416666666666666,0.908250092489826,10,429.0,a8289ab8cbc1ec13c9efc3e418aa0867004013fb6f637aa1f552de9dfe0f63de,200,27,0.6585365853658537,200,200,0.8,0.9792872687704025,200,0,0.994431185361973,f17db80eb389c3d16c50e02039daabfe65aef6527c39c3d3c4e21a9a85dc0b7b,0.95
0,False,True,k010_tau098,495e4a7410302d5d68facd56594f662ffaceaafbb356ee86417b72d016082d47,0.00625,0.843433222345542,10,418.5,a8289ab8cbc1ec13c9efc3e418aa0867004013fb6f637aa1f552de9dfe0f63de,200,25,0.6097560975609756,200,200,0.8,0.9714744287268771,200,0,0.9967734007667196,3f2de46b15f0b6ded91b7a6b6320c0ef31c80bec352c853f227d6f3d28e7a2bc,0.98
0,False,False,k030_tau090,15d04e97772d8fa2e0f87c0d1fb9dfadfc33602685fbcaaedc6e376026ea214d,0.024999999999999998,0.9271180170181279,30,439.0,73aea553988dd9911c09776aeb1f669a15278b7a9640de17ae31ae882fb5db62,200,29,0.7073170731707317,200,200,0.8,0.9749129488574538,200,0,0.9877126992184042,97e1bc9aa0e95e9c279ddfbd540828283cd37f6c8af3f552cd546debea060dbb,0.9
0,False,True,k030_tau095,c701ca198ddcd1fc5f26821d90c80654b7bc8f5ea02a7ed4358c69820d158d18,0.010416666666666666,0.879763226045135,30,428.0,73aea553988dd9911c09776aeb1f669a15278b7a9640de17ae31ae882fb5db62,200,27,0.6585365853658537,200,200,0.8,0.9738465723612622,200,0,0.9941037232418259,f17db80eb389c3d16c50e02039daabfe65aef6527c39c3d3c4e21a9a85dc0b7b,0.95
0,False,True,k030_tau098,0dd00dcd596504ad08de7fc58e8d84fef4723068c149d9a8779a91567e8f350f,0.00625,0.8267850536440992,30,405.0,73aea553988dd9911c09776aeb1f669a15278b7a9640de17ae31ae882fb5db62,200,25,0.6097560975609756,200,200,0.8,0.9730794341675735,200,0,0.9967778312922878,3f2de46b15f0b6ded91b7a6b6320c0ef31c80bec352c853f227d6f3d28e7a2bc,0.98
0,False,False,k100_tau090,6b4f433456d31ae6ed64aec09385864eb0acea35ec8e68f14a1d0b015b77a99a,0.024999999999999998,0.92267850536441,100,440.5,20e68240d1b88d4a9557279f59e230f8125ee7a916e021a2d31b7a5deb900e77,200,29,0.7073170731707317,200,200,0.8,0.9730685527747551,200,0,0.9870226177233963,97e1bc9aa0e95e9c279ddfbd540828283cd37f6c8af3f552cd546debea060dbb,0.9
0,False,True,k100_tau095,b38603dddff53280307029ce8c1a576e5a8ef0a300834ac0916520d16b08a00a,0.010416666666666666,0.8571957084720679,100,413.0,20e68240d1b88d4a9557279f59e230f8125ee7a916e021a2d31b7a5deb900e77,200,25,0.6097560975609756,200,200,0.8,0.9640533188248096,200,0,0.9911368015414257,3f2de46b15f0b6ded91b7a6b6320c0ef31c80bec352c853f227d6f3d28e7a2bc,0.95
0,False,True,k100_tau098,d4cc1a7b793709a34b6c4ef4cab4b9346389d4ecf10a1a45bc1d4b9cc31c9f2f,0.00625,0.8124306326304107,100,397.0,20e68240d1b88d4a9557279f59e230f8125ee7a916e021a2d31b7a5deb900e77,200,25,0.6097560975609756,200,200,0.8,0.9712459194776932,200,0,0.9965028170511321,3f2de46b15f0b6ded91b7a6b6320c0ef31c80bec352c853f227d6f3d28e7a2bc,0.98
0,False,False,kinf_tau090,71caa28d06fe29bf5d2e2313e50611bc4bab6865888ac7fdedc2e452993a8b0f,0.0375,0.8882722900480946,inf,446.0,6b80473cbbe52f012c3e1ae22ebea9aed0c292adb4587a28edd8851eb868b7ac,200,30,0.7317073170731707,200,200,0.8,0.972671381936888,200,0,0.9850091407678244,8b0fef69a384e859fd351da94328302ce623fadd46543c5416cbd1188187709d,0.9
